eventID,eventDate,year,decimalLatitude,decimalLongitude,footprintWKT,coordinateUncertaintyInMeters,minimumDepthInMeters,maximumDepthInMeters,type,geodeticDatum,samplingProtocol
npmsdd-33-1541,1994-06/1994-07,1994,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914
npmsdd-33-1542,1995-06/1995-07,1995,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914
npmsdd-33-1543,1996-06/1996-07,1996,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914
npmsdd-33-1544,1997-06/1997-07,1997,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914
npmsdd-33-1545,1998-06/1998-07,1998,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914
npmsdd-33-1546,1999-06/1999-07,1999,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914
npmsdd-33-1547,2000-06/2000-07,2000,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914
npmsdd-33-1548,2001-06/2001-07,2001,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914
npmsdd-33-1549,2002-06/2002-07,2002,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914
npmsdd-33-1550,1993-06/1993-07,1993,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914
npmsdd-33-1551,1994-06/1994-07,1994,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914
npmsdd-33-1552,1995-06/1995-07,1995,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914
npmsdd-33-1553,1996-06/1996-07,1996,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914
npmsdd-33-1554,1997-06/1997-07,1997,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914
npmsdd-33-1555,1998-06/1998-07,1998,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914
npmsdd-33-1556,1999-06/1999-07,1999,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914
npmsdd-33-1557,2000-06/2000-07,2000,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914
npmsdd-33-1558,2001-06/2001-07,2001,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914
npmsdd-33-1559,2002-06/2002-07,2002,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914
npmsdd-33-1566,1997-06/1997-07,1997,48.00865857151073,-180,"LINESTRING (-180.00000 38.00000, -180.00000 58.00000)",1111892.3264239517,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914
