resourceRelationshipID,resourceID,relatedResourceID,relationshipOfResource
npmsdd-33-1550-ppr4,npmsdd-33-1550-p,npmsdd-33-1550-pr4,hasEaten
npmsdd-33-1550-ppr5,npmsdd-33-1550-p,npmsdd-33-1550-pr5,hasEaten
npmsdd-33-1550-ppr6,npmsdd-33-1550-p,npmsdd-33-1550-pr6,hasEaten
npmsdd-33-1550-ppr7,npmsdd-33-1550-p,npmsdd-33-1550-pr7,hasEaten
npmsdd-33-1551-ppr1,npmsdd-33-1551-p,npmsdd-33-1551-pr1,hasEaten
npmsdd-33-1551-ppr2,npmsdd-33-1551-p,npmsdd-33-1551-pr2,hasEaten
npmsdd-33-1551-ppr3,npmsdd-33-1551-p,npmsdd-33-1551-pr3,hasEaten
npmsdd-33-1551-ppr4,npmsdd-33-1551-p,npmsdd-33-1551-pr4,hasEaten
npmsdd-33-1552-ppr1,npmsdd-33-1552-p,npmsdd-33-1552-pr1,hasEaten
npmsdd-33-1552-ppr2,npmsdd-33-1552-p,npmsdd-33-1552-pr2,hasEaten
npmsdd-33-1552-ppr3,npmsdd-33-1552-p,npmsdd-33-1552-pr3,hasEaten
npmsdd-33-1552-ppr4,npmsdd-33-1552-p,npmsdd-33-1552-pr4,hasEaten
npmsdd-33-1552-ppr5,npmsdd-33-1552-p,npmsdd-33-1552-pr5,hasEaten
npmsdd-33-1552-ppr6,npmsdd-33-1552-p,npmsdd-33-1552-pr6,hasEaten
npmsdd-33-1552-ppr7,npmsdd-33-1552-p,npmsdd-33-1552-pr7,hasEaten
npmsdd-33-1553-ppr1,npmsdd-33-1553-p,npmsdd-33-1553-pr1,hasEaten
npmsdd-33-1553-ppr2,npmsdd-33-1553-p,npmsdd-33-1553-pr2,hasEaten
npmsdd-33-1553-ppr3,npmsdd-33-1553-p,npmsdd-33-1553-pr3,hasEaten
npmsdd-33-1553-ppr4,npmsdd-33-1553-p,npmsdd-33-1553-pr4,hasEaten
npmsdd-33-1553-ppr5,npmsdd-33-1553-p,npmsdd-33-1553-pr5,hasEaten
npmsdd-33-1553-ppr6,npmsdd-33-1553-p,npmsdd-33-1553-pr6,hasEaten
npmsdd-33-1554-ppr1,npmsdd-33-1554-p,npmsdd-33-1554-pr1,hasEaten
npmsdd-33-1554-ppr2,npmsdd-33-1554-p,npmsdd-33-1554-pr2,hasEaten
npmsdd-33-1554-ppr3,npmsdd-33-1554-p,npmsdd-33-1554-pr3,hasEaten
npmsdd-33-1554-ppr4,npmsdd-33-1554-p,npmsdd-33-1554-pr4,hasEaten
npmsdd-33-1554-ppr5,npmsdd-33-1554-p,npmsdd-33-1554-pr5,hasEaten
npmsdd-33-1554-ppr6,npmsdd-33-1554-p,npmsdd-33-1554-pr6,hasEaten
npmsdd-33-1554-ppr7,npmsdd-33-1554-p,npmsdd-33-1554-pr7,hasEaten
npmsdd-33-1555-ppr1,npmsdd-33-1555-p,npmsdd-33-1555-pr1,hasEaten
npmsdd-33-1555-ppr2,npmsdd-33-1555-p,npmsdd-33-1555-pr2,hasEaten
npmsdd-33-1555-ppr3,npmsdd-33-1555-p,npmsdd-33-1555-pr3,hasEaten
npmsdd-33-1555-ppr4,npmsdd-33-1555-p,npmsdd-33-1555-pr4,hasEaten
npmsdd-33-1555-ppr5,npmsdd-33-1555-p,npmsdd-33-1555-pr5,hasEaten
npmsdd-33-1555-ppr6,npmsdd-33-1555-p,npmsdd-33-1555-pr6,hasEaten
npmsdd-33-1555-ppr7,npmsdd-33-1555-p,npmsdd-33-1555-pr7,hasEaten
npmsdd-33-1556-ppr1,npmsdd-33-1556-p,npmsdd-33-1556-pr1,hasEaten
npmsdd-33-1556-ppr2,npmsdd-33-1556-p,npmsdd-33-1556-pr2,hasEaten
npmsdd-33-1556-ppr3,npmsdd-33-1556-p,npmsdd-33-1556-pr3,hasEaten
npmsdd-33-1556-ppr4,npmsdd-33-1556-p,npmsdd-33-1556-pr4,hasEaten
npmsdd-33-1556-ppr5,npmsdd-33-1556-p,npmsdd-33-1556-pr5,hasEaten
npmsdd-33-1556-ppr6,npmsdd-33-1556-p,npmsdd-33-1556-pr6,hasEaten
npmsdd-33-1556-ppr7,npmsdd-33-1556-p,npmsdd-33-1556-pr7,hasEaten
npmsdd-33-1557-ppr1,npmsdd-33-1557-p,npmsdd-33-1557-pr1,hasEaten
npmsdd-33-1557-ppr2,npmsdd-33-1557-p,npmsdd-33-1557-pr2,hasEaten
npmsdd-33-1557-ppr3,npmsdd-33-1557-p,npmsdd-33-1557-pr3,hasEaten
npmsdd-33-1557-ppr4,npmsdd-33-1557-p,npmsdd-33-1557-pr4,hasEaten
npmsdd-33-1557-ppr5,npmsdd-33-1557-p,npmsdd-33-1557-pr5,hasEaten
npmsdd-33-1557-ppr6,npmsdd-33-1557-p,npmsdd-33-1557-pr6,hasEaten
npmsdd-33-1557-ppr7,npmsdd-33-1557-p,npmsdd-33-1557-pr7,hasEaten
npmsdd-33-1558-ppr1,npmsdd-33-1558-p,npmsdd-33-1558-pr1,hasEaten
npmsdd-33-1558-ppr2,npmsdd-33-1558-p,npmsdd-33-1558-pr2,hasEaten
npmsdd-33-1558-ppr3,npmsdd-33-1558-p,npmsdd-33-1558-pr3,hasEaten
npmsdd-33-1558-ppr4,npmsdd-33-1558-p,npmsdd-33-1558-pr4,hasEaten
npmsdd-33-1558-ppr5,npmsdd-33-1558-p,npmsdd-33-1558-pr5,hasEaten
npmsdd-33-1558-ppr6,npmsdd-33-1558-p,npmsdd-33-1558-pr6,hasEaten
npmsdd-33-1558-ppr7,npmsdd-33-1558-p,npmsdd-33-1558-pr7,hasEaten
npmsdd-33-1558-ppr8,npmsdd-33-1558-p,npmsdd-33-1558-pr8,hasEaten
npmsdd-33-1559-ppr1,npmsdd-33-1559-p,npmsdd-33-1559-pr1,hasEaten
npmsdd-33-1559-ppr2,npmsdd-33-1559-p,npmsdd-33-1559-pr2,hasEaten
npmsdd-33-1559-ppr3,npmsdd-33-1559-p,npmsdd-33-1559-pr3,hasEaten
npmsdd-33-1559-ppr4,npmsdd-33-1559-p,npmsdd-33-1559-pr4,hasEaten
npmsdd-33-1559-ppr5,npmsdd-33-1559-p,npmsdd-33-1559-pr5,hasEaten
npmsdd-33-1559-ppr6,npmsdd-33-1559-p,npmsdd-33-1559-pr6,hasEaten
npmsdd-33-1559-ppr7,npmsdd-33-1559-p,npmsdd-33-1559-pr7,hasEaten
npmsdd-33-1566-ppr1,npmsdd-33-1566-p,npmsdd-33-1566-pr1,hasEaten
npmsdd-33-1566-ppr2,npmsdd-33-1566-p,npmsdd-33-1566-pr2,hasEaten
npmsdd-33-1566-ppr3,npmsdd-33-1566-p,npmsdd-33-1566-pr3,hasEaten
npmsdd-33-1566-ppr4,npmsdd-33-1566-p,npmsdd-33-1566-pr4,hasEaten
npmsdd-33-1566-ppr5,npmsdd-33-1566-p,npmsdd-33-1566-pr5,hasEaten
npmsdd-33-1566-ppr6,npmsdd-33-1566-p,npmsdd-33-1566-pr6,hasEaten
npmsdd-33-1566-ppr7,npmsdd-33-1566-p,npmsdd-33-1566-pr7,hasEaten
npmsdd-33-1566-ppr8,npmsdd-33-1566-p,npmsdd-33-1566-pr8,hasEaten
npmsdd-33-1567-ppr1,npmsdd-33-1567-p,npmsdd-33-1567-pr1,hasEaten
npmsdd-33-1567-ppr2,npmsdd-33-1567-p,npmsdd-33-1567-pr2,hasEaten
npmsdd-33-1567-ppr3,npmsdd-33-1567-p,npmsdd-33-1567-pr3,hasEaten
npmsdd-33-1567-ppr4,npmsdd-33-1567-p,npmsdd-33-1567-pr4,hasEaten
npmsdd-33-1568-ppr1,npmsdd-33-1568-p,npmsdd-33-1568-pr1,hasEaten
npmsdd-33-1568-ppr2,npmsdd-33-1568-p,npmsdd-33-1568-pr2,hasEaten
npmsdd-33-1568-ppr3,npmsdd-33-1568-p,npmsdd-33-1568-pr3,hasEaten
npmsdd-33-1568-ppr4,npmsdd-33-1568-p,npmsdd-33-1568-pr4,hasEaten
npmsdd-33-1568-ppr5,npmsdd-33-1568-p,npmsdd-33-1568-pr5,hasEaten
npmsdd-33-1569-ppr1,npmsdd-33-1569-p,npmsdd-33-1569-pr1,hasEaten
npmsdd-33-1569-ppr2,npmsdd-33-1569-p,npmsdd-33-1569-pr2,hasEaten
npmsdd-33-1569-ppr3,npmsdd-33-1569-p,npmsdd-33-1569-pr3,hasEaten
npmsdd-33-1569-ppr4,npmsdd-33-1569-p,npmsdd-33-1569-pr4,hasEaten
npmsdd-33-1570-ppr1,npmsdd-33-1570-p,npmsdd-33-1570-pr1,hasEaten
npmsdd-33-1570-ppr2,npmsdd-33-1570-p,npmsdd-33-1570-pr2,hasEaten
npmsdd-33-1570-ppr3,npmsdd-33-1570-p,npmsdd-33-1570-pr3,hasEaten
npmsdd-33-1570-ppr4,npmsdd-33-1570-p,npmsdd-33-1570-pr4,hasEaten
npmsdd-33-1570-ppr5,npmsdd-33-1570-p,npmsdd-33-1570-pr5,hasEaten
npmsdd-33-1571-ppr1,npmsdd-33-1571-p,npmsdd-33-1571-pr1,hasEaten
npmsdd-33-1571-ppr2,npmsdd-33-1571-p,npmsdd-33-1571-pr2,hasEaten
npmsdd-33-1571-ppr3,npmsdd-33-1571-p,npmsdd-33-1571-pr3,hasEaten
npmsdd-33-1571-ppr4,npmsdd-33-1571-p,npmsdd-33-1571-pr4,hasEaten
npmsdd-33-1572-ppr1,npmsdd-33-1572-p,npmsdd-33-1572-pr1,hasEaten
npmsdd-33-1572-ppr2,npmsdd-33-1572-p,npmsdd-33-1572-pr2,hasEaten
npmsdd-33-1573-ppr1,npmsdd-33-1573-p,npmsdd-33-1573-pr1,hasEaten
npmsdd-33-1573-ppr2,npmsdd-33-1573-p,npmsdd-33-1573-pr2,hasEaten
npmsdd-33-1573-ppr3,npmsdd-33-1573-p,npmsdd-33-1573-pr3,hasEaten
npmsdd-33-1573-ppr4,npmsdd-33-1573-p,npmsdd-33-1573-pr4,hasEaten
npmsdd-33-1573-ppr5,npmsdd-33-1573-p,npmsdd-33-1573-pr5,hasEaten
npmsdd-33-1574-ppr1,npmsdd-33-1574-p,npmsdd-33-1574-pr1,hasEaten
npmsdd-33-1574-ppr2,npmsdd-33-1574-p,npmsdd-33-1574-pr2,hasEaten
npmsdd-33-1574-ppr3,npmsdd-33-1574-p,npmsdd-33-1574-pr3,hasEaten
npmsdd-33-1574-ppr4,npmsdd-33-1574-p,npmsdd-33-1574-pr4,hasEaten
npmsdd-33-1574-ppr5,npmsdd-33-1574-p,npmsdd-33-1574-pr5,hasEaten
npmsdd-33-1574-ppr6,npmsdd-33-1574-p,npmsdd-33-1574-pr6,hasEaten
npmsdd-33-1575-ppr1,npmsdd-33-1575-p,npmsdd-33-1575-pr1,hasEaten
npmsdd-33-1575-ppr2,npmsdd-33-1575-p,npmsdd-33-1575-pr2,hasEaten
npmsdd-33-1575-ppr3,npmsdd-33-1575-p,npmsdd-33-1575-pr3,hasEaten
npmsdd-33-1575-ppr4,npmsdd-33-1575-p,npmsdd-33-1575-pr4,hasEaten
npmsdd-33-1575-ppr5,npmsdd-33-1575-p,npmsdd-33-1575-pr5,hasEaten
npmsdd-33-1575-ppr6,npmsdd-33-1575-p,npmsdd-33-1575-pr6,hasEaten
npmsdd-33-1575-ppr7,npmsdd-33-1575-p,npmsdd-33-1575-pr7,hasEaten
npmsdd-33-1575-ppr8,npmsdd-33-1575-p,npmsdd-33-1575-pr8,hasEaten
npmsdd-33-1576-ppr1,npmsdd-33-1576-p,npmsdd-33-1576-pr1,hasEaten
npmsdd-33-1576-ppr2,npmsdd-33-1576-p,npmsdd-33-1576-pr2,hasEaten
npmsdd-33-1576-ppr3,npmsdd-33-1576-p,npmsdd-33-1576-pr3,hasEaten
npmsdd-33-1576-ppr4,npmsdd-33-1576-p,npmsdd-33-1576-pr4,hasEaten
npmsdd-33-1577-ppr1,npmsdd-33-1577-p,npmsdd-33-1577-pr1,hasEaten
npmsdd-33-1577-ppr2,npmsdd-33-1577-p,npmsdd-33-1577-pr2,hasEaten
npmsdd-33-1577-ppr3,npmsdd-33-1577-p,npmsdd-33-1577-pr3,hasEaten
npmsdd-33-1577-ppr4,npmsdd-33-1577-p,npmsdd-33-1577-pr4,hasEaten
npmsdd-33-1577-ppr5,npmsdd-33-1577-p,npmsdd-33-1577-pr5,hasEaten
npmsdd-33-1577-ppr6,npmsdd-33-1577-p,npmsdd-33-1577-pr6,hasEaten
npmsdd-33-1577-ppr7,npmsdd-33-1577-p,npmsdd-33-1577-pr7,hasEaten
npmsdd-33-1577-ppr8,npmsdd-33-1577-p,npmsdd-33-1577-pr8,hasEaten
npmsdd-33-1577-ppr9,npmsdd-33-1577-p,npmsdd-33-1577-pr9,hasEaten
npmsdd-33-1578-ppr1,npmsdd-33-1578-p,npmsdd-33-1578-pr1,hasEaten
npmsdd-33-1578-ppr2,npmsdd-33-1578-p,npmsdd-33-1578-pr2,hasEaten
npmsdd-33-1578-ppr3,npmsdd-33-1578-p,npmsdd-33-1578-pr3,hasEaten
npmsdd-33-1578-ppr4,npmsdd-33-1578-p,npmsdd-33-1578-pr4,hasEaten
npmsdd-33-1578-ppr5,npmsdd-33-1578-p,npmsdd-33-1578-pr5,hasEaten
npmsdd-33-1578-ppr6,npmsdd-33-1578-p,npmsdd-33-1578-pr6,hasEaten
npmsdd-33-1578-ppr7,npmsdd-33-1578-p,npmsdd-33-1578-pr7,hasEaten
