resourceRelationshipID,resourceID,relatedResourceID,relationshipOfResource
npmsdd-33-1541-ppr1,npmsdd-33-1541-p,npmsdd-33-1541-pr1,hasEaten
npmsdd-33-1541-ppr2,npmsdd-33-1541-p,npmsdd-33-1541-pr2,hasEaten
npmsdd-33-1541-ppr3,npmsdd-33-1541-p,npmsdd-33-1541-pr3,hasEaten
npmsdd-33-1541-ppr4,npmsdd-33-1541-p,npmsdd-33-1541-pr4,hasEaten
npmsdd-33-1542-ppr1,npmsdd-33-1542-p,npmsdd-33-1542-pr1,hasEaten
npmsdd-33-1542-ppr2,npmsdd-33-1542-p,npmsdd-33-1542-pr2,hasEaten
npmsdd-33-1542-ppr3,npmsdd-33-1542-p,npmsdd-33-1542-pr3,hasEaten
npmsdd-33-1542-ppr4,npmsdd-33-1542-p,npmsdd-33-1542-pr4,hasEaten
npmsdd-33-1542-ppr5,npmsdd-33-1542-p,npmsdd-33-1542-pr5,hasEaten
npmsdd-33-1542-ppr6,npmsdd-33-1542-p,npmsdd-33-1542-pr6,hasEaten
npmsdd-33-1543-ppr1,npmsdd-33-1543-p,npmsdd-33-1543-pr1,hasEaten
npmsdd-33-1543-ppr2,npmsdd-33-1543-p,npmsdd-33-1543-pr2,hasEaten
npmsdd-33-1543-ppr3,npmsdd-33-1543-p,npmsdd-33-1543-pr3,hasEaten
npmsdd-33-1543-ppr4,npmsdd-33-1543-p,npmsdd-33-1543-pr4,hasEaten
npmsdd-33-1543-ppr5,npmsdd-33-1543-p,npmsdd-33-1543-pr5,hasEaten
npmsdd-33-1544-ppr1,npmsdd-33-1544-p,npmsdd-33-1544-pr1,hasEaten
npmsdd-33-1544-ppr2,npmsdd-33-1544-p,npmsdd-33-1544-pr2,hasEaten
npmsdd-33-1544-ppr3,npmsdd-33-1544-p,npmsdd-33-1544-pr3,hasEaten
npmsdd-33-1544-ppr4,npmsdd-33-1544-p,npmsdd-33-1544-pr4,hasEaten
npmsdd-33-1545-ppr1,npmsdd-33-1545-p,npmsdd-33-1545-pr1,hasEaten
npmsdd-33-1545-ppr2,npmsdd-33-1545-p,npmsdd-33-1545-pr2,hasEaten
npmsdd-33-1545-ppr3,npmsdd-33-1545-p,npmsdd-33-1545-pr3,hasEaten
npmsdd-33-1545-ppr4,npmsdd-33-1545-p,npmsdd-33-1545-pr4,hasEaten
npmsdd-33-1545-ppr5,npmsdd-33-1545-p,npmsdd-33-1545-pr5,hasEaten
npmsdd-33-1545-ppr6,npmsdd-33-1545-p,npmsdd-33-1545-pr6,hasEaten
npmsdd-33-1546-ppr1,npmsdd-33-1546-p,npmsdd-33-1546-pr1,hasEaten
npmsdd-33-1546-ppr2,npmsdd-33-1546-p,npmsdd-33-1546-pr2,hasEaten
npmsdd-33-1546-ppr3,npmsdd-33-1546-p,npmsdd-33-1546-pr3,hasEaten
npmsdd-33-1546-ppr4,npmsdd-33-1546-p,npmsdd-33-1546-pr4,hasEaten
npmsdd-33-1547-ppr1,npmsdd-33-1547-p,npmsdd-33-1547-pr1,hasEaten
npmsdd-33-1547-ppr2,npmsdd-33-1547-p,npmsdd-33-1547-pr2,hasEaten
npmsdd-33-1547-ppr3,npmsdd-33-1547-p,npmsdd-33-1547-pr3,hasEaten
npmsdd-33-1547-ppr4,npmsdd-33-1547-p,npmsdd-33-1547-pr4,hasEaten
npmsdd-33-1547-ppr5,npmsdd-33-1547-p,npmsdd-33-1547-pr5,hasEaten
npmsdd-33-1547-ppr6,npmsdd-33-1547-p,npmsdd-33-1547-pr6,hasEaten
npmsdd-33-1547-ppr7,npmsdd-33-1547-p,npmsdd-33-1547-pr7,hasEaten
npmsdd-33-1547-ppr8,npmsdd-33-1547-p,npmsdd-33-1547-pr8,hasEaten
npmsdd-33-1548-ppr1,npmsdd-33-1548-p,npmsdd-33-1548-pr1,hasEaten
npmsdd-33-1548-ppr2,npmsdd-33-1548-p,npmsdd-33-1548-pr2,hasEaten
npmsdd-33-1549-ppr1,npmsdd-33-1549-p,npmsdd-33-1549-pr1,hasEaten
npmsdd-33-1549-ppr2,npmsdd-33-1549-p,npmsdd-33-1549-pr2,hasEaten
npmsdd-33-1549-ppr3,npmsdd-33-1549-p,npmsdd-33-1549-pr3,hasEaten
npmsdd-33-1549-ppr4,npmsdd-33-1549-p,npmsdd-33-1549-pr4,hasEaten
npmsdd-33-1549-ppr5,npmsdd-33-1549-p,npmsdd-33-1549-pr5,hasEaten
npmsdd-33-1549-ppr6,npmsdd-33-1549-p,npmsdd-33-1549-pr6,hasEaten
npmsdd-33-1550-ppr1,npmsdd-33-1550-p,npmsdd-33-1550-pr1,hasEaten
npmsdd-33-1550-ppr2,npmsdd-33-1550-p,npmsdd-33-1550-pr2,hasEaten
npmsdd-33-1550-ppr3,npmsdd-33-1550-p,npmsdd-33-1550-pr3,hasEaten
