eventID,eventDate,year,decimalLatitude,decimalLongitude,footprintWKT,coordinateUncertaintyInMeters,minimumDepthInMeters,maximumDepthInMeters,type,geodeticDatum,samplingProtocol,scientificName,scientificNameID,occurrenceStatus,occurrenceID,kingdom,phylum,class,order,sex,lifeStage,organismQuantity,organismQuantityType,basisOfRecord,institutionCode,collectionCode,catalogNumber,preparations,associatedTaxa
npmsdd-33-1541,6/7/1994,1994,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Oncorhynchus mykiss,urn:lsid:marinespecies.org:taxname:127185,present,npmsdd-33-1541-p,NA,NA,NA,NA,unspecified,NA,11,individuals,PreservedSpecimen, , , , ,
npmsdd-33-1541,6/7/1994,1994,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,npmsdd-33-1541-pr1,Animalia,Chordata,Actinopterygii,NA,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1541-p
npmsdd-33-1541,6/7/1994,1994,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,npmsdd-33-1541-pr2,Animalia,Mollusca,Cephalopoda,NA,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1541-p
npmsdd-33-1541,6/7/1994,1994,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Miscellaneous, ,present,npmsdd-33-1541-pr3,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1541-p
npmsdd-33-1541,6/7/1994,1994,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Pteropoda,urn:lsid:marinespecies.org:taxname:325345,present,npmsdd-33-1541-pr4,Animalia,Mollusca,Gastropoda,Pteropoda,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1541-p
npmsdd-33-1542,6/7/1995,1995,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Oncorhynchus mykiss,urn:lsid:marinespecies.org:taxname:127185,present,npmsdd-33-1542-p,NA,NA,NA,NA,unspecified,NA,10,individuals,PreservedSpecimen, , , , ,
npmsdd-33-1542,6/7/1995,1995,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,npmsdd-33-1542-pr1,Animalia,Chordata,Actinopterygii,NA,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1542-p
npmsdd-33-1542,6/7/1995,1995,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,npmsdd-33-1542-pr2,Animalia,Arthropoda,Malacostraca,Amphipoda,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1542-p
npmsdd-33-1542,6/7/1995,1995,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,npmsdd-33-1542-pr3,Animalia,Mollusca,Cephalopoda,NA,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1542-p
npmsdd-33-1542,6/7/1995,1995,50.00310754,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3214,NA,NA,Event,EPSG:4326,https://doi.org/10.1080/00028487.2012.675914,Crustacea,urn:lsid:marinespecies.org:taxname:1066,present,npmsdd-33-1542-pr4,Animalia,Arthropoda,NA,NA,NA,NA,NA,NA,PreservedSpecimen, , , , ,prey of: npmsdd-33-1542-p
