eventID,parentEventID,eventDate,decimalLatitude,decimalLongitude,footprintWKT,coordinateUncertaintyInMeters,minimumDepthInMeters,maximumDepthInMeters,eventRemarks,type,geodeticDatum
GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,cruise,Event,EPSG:4326
GoA2019_Stn3,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn4,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn5,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn6,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn7,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn8,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn10,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn15,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn16,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn17,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn18,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn20,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn21,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn22,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn23,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn25,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn26,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn27,GoA2019,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
