eventID,decimalLatitude,decimalLongitude,eventDate,measurementID,measurementType,measurementTypeID,measurementValue,measurementUnit,measurementUnitID
GoA2019_Stn1:cast1:niskin:0:T8,48.30116666666667,-128.52266666666668,2019-02-18T21:30:00Z,GoA2019_Stn1:cast1:niskin:0:T8:chl,chlorophyll a,http://vocab.nerc.ac.uk/collection/P01/current/CPHLHPP1/,0.6159807525925924,mg/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UMMC/
GoA2019_Stn1:cast1:niskin:0:T8,48.30116666666667,-128.52266666666668,2019-02-18T21:30:00Z,GoA2019_Stn1:cast1:niskin:0:T8:phe,phaeopigments,http://vocab.nerc.ac.uk/collection/P01/current/PHAEZZXX/,0.1616272573629629,mg/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UMMC/
GoA2019_Stn1:cast1:niskin:25:T54,48.30116666666667,-128.52266666666668,2019-02-18T21:30:00Z,GoA2019_Stn1:cast1:niskin:25:T54:chl,chlorophyll a,http://vocab.nerc.ac.uk/collection/P01/current/CPHLHPP1/,0.3858340977777777,mg/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UMMC/
GoA2019_Stn1:cast1:niskin:25:T54,48.30116666666667,-128.52266666666668,2019-02-18T21:30:00Z,GoA2019_Stn1:cast1:niskin:25:T54:phe,phaeopigments,http://vocab.nerc.ac.uk/collection/P01/current/PHAEZZXX/,0.4751851519999999,mg/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UMMC/
GoA2019_Stn1:cast1:niskin:50:T818,48.30116666666667,-128.52266666666668,2019-02-18T21:30:00Z,GoA2019_Stn1:cast1:niskin:50:T818:chl,chlorophyll a,http://vocab.nerc.ac.uk/collection/P01/current/CPHLHPP1/,0.652364231111111,mg/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UMMC/
GoA2019_Stn1:cast1:niskin:50:T818,48.30116666666667,-128.52266666666668,2019-02-18T21:30:00Z,GoA2019_Stn1:cast1:niskin:50:T818:phe,phaeopigments,http://vocab.nerc.ac.uk/collection/P01/current/PHAEZZXX/,0.21134570382222231,mg/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UMMC/
GoA2019_Stn1:cast1:niskin:75:T97,48.30116666666667,-128.52266666666668,2019-02-18T21:30:00Z,GoA2019_Stn1:cast1:niskin:75:T97:chl,chlorophyll a,http://vocab.nerc.ac.uk/collection/P01/current/CPHLHPP1/,0.046537007407407405,mg/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UMMC/
GoA2019_Stn1:cast1:niskin:75:T97,48.30116666666667,-128.52266666666668,2019-02-18T21:30:00Z,GoA2019_Stn1:cast1:niskin:75:T97:phe,phaeopigments,http://vocab.nerc.ac.uk/collection/P01/current/PHAEZZXX/,0.04584318293333332,mg/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UMMC/
GoA2019_Stn1:cast1:niskin:100:T40,48.30116666666667,-128.52266666666668,2019-02-18T21:30:00Z,GoA2019_Stn1:cast1:niskin:100:T40:chl,chlorophyll a,http://vocab.nerc.ac.uk/collection/P01/current/CPHLHPP1/,0.011845783703703709,mg/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UMMC/
GoA2019_Stn1:cast1:niskin:100:T40,48.30116666666667,-128.52266666666668,2019-02-18T21:30:00Z,GoA2019_Stn1:cast1:niskin:100:T40:phe,phaeopigments,http://vocab.nerc.ac.uk/collection/P01/current/PHAEZZXX/,0.02582380847407406,mg/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UMMC/
GoA2019_Stn1:cast1:niskin:150:T444,48.30116666666667,-128.52266666666668,2019-02-18T21:30:00Z,GoA2019_Stn1:cast1:niskin:150:T444:chl,chlorophyll a,http://vocab.nerc.ac.uk/collection/P01/current/CPHLHPP1/,0.008461274074074071,mg/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UMMC/
