measurementID,eventID,measurementType,measurementTypeID,measurementValue,measurementUnit,measurementUnitID,measurementRemarks
GoA2019_Stn29:cast1:depth,GoA2019_Stn29:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4000,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn30:cast1:depth,GoA2019_Stn30:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3700,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn31:cast1:depth,GoA2019_Stn31:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4500,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn32:cast1:depth,GoA2019_Stn32:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4500,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn33:cast1:depth,GoA2019_Stn33:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4000,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn34:cast1:depth,GoA2019_Stn34:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4000,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn35:cast1:depth,GoA2019_Stn35:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4170,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn36:cast1:depth,GoA2019_Stn36:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4000,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn37:cast1:depth,GoA2019_Stn37:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4000,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn38:cast1:depth,GoA2019_Stn38:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,2800,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn39:cast1:depth,GoA2019_Stn39:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4000,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn40:cast1:depth,GoA2019_Stn40:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3900,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn41:cast1:depth,GoA2019_Stn41:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3900,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn42:cast1:depth,GoA2019_Stn42:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3850,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn43:cast1:depth,GoA2019_Stn43:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3900,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn44:cast1:depth,GoA2019_Stn44:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4000,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn45:cast1:depth,GoA2019_Stn45:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4200,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn46:cast1:depth,GoA2019_Stn46:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4300,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn47:cast1:depth,GoA2019_Stn47:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4200,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn48:cast1:depth,GoA2019_Stn48:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4000,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn49:cast1:depth,GoA2019_Stn49:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3900,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn50:cast1:depth,GoA2019_Stn50:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3600,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn51:cast1:depth,GoA2019_Stn51:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3800,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
