eventID,parentEventID,eventDate,footprintWKT,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters
IYS:GoA2019_Stn52:trawl,IYS:GoA2019_Stn52,2019-03-10T13:53:00Z,POINT(-141.466666666667 53.6666666666667),-141.4666667,53.66666667,0
IYS:GoA2019_Stn23:trawl,IYS:GoA2019_Stn23,2019-02-28T16:09:00Z,POINT(-143.016666666667 55.6433333333333),-143.0166667,55.64333333,0
IYS:GoA2019_Stn37:trawl,IYS:GoA2019_Stn37,2019-03-05T08:59:00Z,POINT(-144.493333333333 52.6916666666667),-144.4933333,52.69166667,0
IYS:GoA2019_Stn40:trawl,IYS:GoA2019_Stn40,2019-03-06T07:57:00Z,POINT(-143 54.65),-143,54.65,0
IYS:GoA2019_Stn39:trawl,IYS:GoA2019_Stn39,2019-03-06T00:55:00Z,POINT(-144.458333333333 54.67),-144.4583333,54.67,0
IYS:GoA2019_Stn45:trawl,IYS:GoA2019_Stn45,2019-03-08T01:17:00Z,POINT(-142.953333333333 49.655),-142.9533333,49.655,0
IYS:GoA2019_Stn46:trawl,IYS:GoA2019_Stn46,2019-03-08T11:02:00Z,POINT(-142.958333333333 48.6783333333333),-142.9583333,48.67833333,0
IYS:GoA2019_Stn47:trawl,IYS:GoA2019_Stn47,2019-03-08T19:20:00Z,POINT(-141.46 48.6783333333333),-141.46,48.67833333,0
IYS:GoA2019_Stn48:trawl,IYS:GoA2019_Stn48,2019-03-09T04:39:00Z,POINT(-141.475 49.6866666666667),-141.475,49.68666667,0
IYS:GoA2019_Stn49:trawl,IYS:GoA2019_Stn49,2019-03-09T13:05:00Z,POINT(-141.473333333333 50.6783333333333),-141.4733333,50.67833333,0
IYS:GoA2019_Stn51:trawl,IYS:GoA2019_Stn51,2019-03-10T05:28:00Z,POINT(-141.481666666667 52.6866666666667),-141.4816667,52.68666667,0
IYS:GoA2019_Stn54:trawl,IYS:GoA2019_Stn54,2019-03-11T10:16:00Z,POINT(-139.966666666667 52.6633333333333),-139.9666667,52.66333333,0
IYS:GoA2019_Stn60:trawl,IYS:GoA2019_Stn60,2019-03-14T14:45:00Z,POINT(-136.95 48.6666666666667),-136.95,48.66666667,0
