measurementID,measurementType,measurementTypeID,measurementValue,measurementUnit,measurementUnitID
IYS:GoA2019_Stn3:trawl1:M0001:p:c_b_cys:Ct,Relative Ct-value, ,26.17153835, , 
IYS:GoA2019_Stn3:trawl1:M0001:p:hkg:Ct,Relative Ct-value, ,34.83729506, , 
IYS:GoA2019_Stn3:trawl1:M0001:p:ic_hof:Ct,Relative Ct-value, ,23.94974232, , 
IYS:GoA2019_Stn3:trawl1:M0001:p:lo_sal:Ct,Relative Ct-value, ,32.44956303, , 
IYS:GoA2019_Stn3:trawl1:M0001:p:pa_pse:Ct,Relative Ct-value, ,22.81573105, , 
IYS:GoA2019_Stn3:trawl1:M0001:p:pa_ther:Ct,Relative Ct-value, ,19.16055202, , 
IYS:GoA2019_Stn3:trawl1:M0001:p:sch:Ct,Relative Ct-value, ,17.17541504, , 
IYS:GoA2019_Stn3:trawl1:M0002:p:c_b_cys:Ct,Relative Ct-value, ,32.5293417, , 
IYS:GoA2019_Stn3:trawl1:M0002:p:hkg:Ct,Relative Ct-value, ,34.18847704, , 
IYS:GoA2019_Stn3:trawl1:M0002:p:ic_hof:Ct,Relative Ct-value, ,21.74460316, , 
IYS:GoA2019_Stn3:trawl1:M0002:p:IcD:Ct,Relative Ct-value, ,25.55366703, , 
IYS:GoA2019_Stn4:trawl1:M0003:p:c_b_cys:Ct,Relative Ct-value, ,26.43549061, , 
IYS:GoA2019_Stn4:trawl1:M0003:p:hkg:Ct,Relative Ct-value, ,34.27843523, , 
IYS:GoA2019_Stn4:trawl1:M0003:p:ic_hof:Ct,Relative Ct-value, ,23.85766983, , 
IYS:GoA2019_Stn4:trawl1:M0003:p:lo_sal:Ct,Relative Ct-value, ,31.58270788, , 
IYS:GoA2019_Stn4:trawl1:M0004:p:c_b_cys:Ct,Relative Ct-value, ,20.5059166, , 
IYS:GoA2019_Stn4:trawl1:M0004:p:hkg:Ct,Relative Ct-value, ,34.74944973, , 
IYS:GoA2019_Stn4:trawl1:M0004:p:ku_thy:Ct,Relative Ct-value, ,19.7456007, , 
IYS:GoA2019_Stn4:trawl1:M0005:p:c_b_cys:Ct,Relative Ct-value, ,33.53095007, , 
IYS:GoA2019_Stn4:trawl1:M0005:p:hkg:Ct,Relative Ct-value, ,33.8841033, , 
IYS:GoA2019_Stn4:trawl1:M0005:p:IcD:Ct,Relative Ct-value, ,29.58230137, , 
