station,latitude,longitude
trawl1,48.295,-128.51333333333332
trawl2,48.166666666666664,-129.92166666666665
trawl3,47.63666666666667,-137.02
trawl4,47.665,-138.43166666666667
trawl5,47.66166666666667,-139.97166666666666
trawl6,47.63333333333333,-141.51666666666668
trawl7,47.651666666666664,-143.045
trawl8,47.67666666666667,-144.54333333333332
trawl9,47.678333333333335,-146.02666666666667
trawl10,47.68833333333333,-147.52666666666667
trawl11,48.68666666666667,-147.61833333333334
trawl12,49.685,-147.515
trawl13,50.685,-147.52
trawl14,51.693333333333335,-147.53666666666666
trawl15,52.696666666666665,-147.51166666666666
trawl16,53.69833333333333,-147.49666666666667
trawl17,54.69166666666667,-147.50333333333333
trawl18,55.695,-147.5
trawl19,56.685,-147.51
trawl20,56.7,-145.995
trawl21,56.66166666666667,-144.47833333333332
trawl22,56.65,-142.97833333333332
trawl23,55.64333333333333,-143.01666666666668
trawl24,55.655,-144.56833333333333
trawl25,55.64833333333333,-145.99333333333334
trawl26,54.64333333333333,-146
trawl27,53.641666666666666,-145.99833333333333
trawl28,52.64333333333333,-146.015
trawl29,51.61666666666667,-145.99833333333333
trawl30,50.64,-146.00666666666666
trawl31,49.645,-146.00333333333333
trawl32,48.663333333333334,-145.97
trawl33,48.68666666666667,-144.43
trawl34,49.69166666666667,-144.51333333333332
trawl35,50.695,-144.53333333333333
trawl36,51.68833333333333,-144.50666666666666
trawl37,52.69166666666667,-144.49333333333334
trawl38,53.68666666666667,-144.5
trawl39,54.67,-144.45833333333334
trawl40,54.65,-143
trawl41,53.64,-143.00333333333333
trawl42,52.641666666666666,-143.015
trawl43,51.64666666666667,-143.00666666666666
trawl44,50.638333333333335,-142.97333333333333
trawl45,49.655,-142.95333333333335
trawl46,48.678333333333335,-142.95833333333334
trawl47,48.678333333333335,-141.46
trawl48,49.68666666666667,-141.475
trawl49,50.678333333333335,-141.47333333333333
trawl50,51.68666666666667,-141.48166666666665
trawl51,52.68666666666667,-141.48166666666665
trawl52,53.666666666666664,-141.46666666666667
trawl53,53.675,-139.97
trawl54,52.663333333333334,-139.96666666666667
trawl55,51.665,-139.955
trawl56,50.666666666666664,-139.96666666666667
trawl57,50.653333333333336,-138.465
trawl58,49.68333333333333,-138.48333333333332
trawl59,48.678333333333335,-138.465
trawl60,48.666666666666664,-136.95
trawl62,48.666666666666664,-134.43333333333334
trawl63,48.608333333333334,-130.36666666666667
trawl64,48.59166666666667,-128.42833333333334
