"","eventID","eventDate.x","eventDate.y","check"
"1","GoA2019_Stn1",2019-02-18 21:05:00,2019-02-18 21:30:00,"nomatch"
"2","GoA2019_Stn2",2019-02-19 07:05:00,2019-02-19 07:05:00,"match"
"3","GoA2019_Stn3",2019-02-21 08:21:00,2019-02-21 08:21:00,"match"
"4","GoA2019_Stn4",2019-02-21 19:00:00,2019-02-21 18:30:00,"nomatch"
"5","GoA2019_Stn5",2019-02-22 07:00:00,2019-02-22 07:00:00,"match"
"6","GoA2019_Stn6",2019-02-22 17:55:00,2019-02-22 18:00:00,"nomatch"
"7","GoA2019_Stn7",2019-02-23 03:20:00,2019-02-23 03:20:00,"match"
"8","GoA2019_Stn8",2019-02-23 11:10:00,2019-02-22 23:45:00,"nomatch"
"9","GoA2019_Stn9",2019-02-23 20:13:00,2019-02-23 20:15:00,"nomatch"
"10","GoA2019_Stn10",2019-02-24 04:50:00,2019-02-24 04:50:00,"match"
"11","GoA2019_Stn11",2019-02-24 14:05:00,2019-02-24 14:05:00,"match"
"12","GoA2019_Stn12",2019-02-24 23:00:00,2019-02-24 23:15:00,"nomatch"
"13","GoA2019_Stn13",2019-02-25 08:36:00,2019-02-25 08:36:00,"match"
"14","GoA2019_Stn14",2019-02-25 17:03:00,2019-02-25 17:15:00,"nomatch"
"15","GoA2019_Stn15",2019-02-26 01:30:00,2019-02-26 01:30:00,"match"
"16","GoA2019_Stn16",2019-02-26 09:25:00,2019-02-26 09:25:00,"match"
"17","GoA2019_Stn17",2019-02-26 17:32:00,2019-02-26 17:45:00,"nomatch"
"18","GoA2019_Stn18",2019-02-27 02:30:00,2019-02-27 02:30:00,"match"
"19","GoA2019_Stn19",2019-02-27 10:30:00,2019-02-27 10:27:00,"nomatch"
"20","GoA2019_Stn20",2019-02-27 18:15:00,2019-02-27 18:15:00,"match"
"21","GoA2019_Stn21",2019-02-28 01:50:00,2019-02-28 01:50:00,"match"
"22","GoA2019_Stn22",2019-02-28 09:05:00,2019-02-28 09:05:00,"match"
"23","GoA2019_Stn23",2019-02-28 17:23:00,2019-02-28 17:23:00,"match"
"24","GoA2019_Stn24",2019-03-01 01:15:00,2019-03-01 01:15:00,"match"
"25","GoA2019_Stn25",2019-03-01 08:30:00,2019-03-01 08:30:00,"match"
"26","GoA2019_Stn26",2019-03-01 16:40:00,2019-03-01 16:40:00,"match"
"27","GoA2019_Stn27",2019-03-02 00:50:00,2019-03-02 00:50:00,"match"
"28","GoA2019_Stn28",2019-03-02 08:40:00,2019-03-02 08:40:00,"match"
"29","GoA2019_Stn29",2019-03-02 16:47:00,2019-03-02 16:45:00,"nomatch"
"30","GoA2019_Stn30",2019-03-03 01:05:00,2019-03-03 01:05:00,"match"
"31","GoA2019_Stn31",2019-03-03 09:00:00,2019-03-03 08:50:00,"nomatch"
"32","GoA2019_Stn32",2019-03-03 17:35:00,2019-03-03 17:35:00,"match"
"33","GoA2019_Stn33",2019-03-04 01:51:00,2019-03-04 01:45:00,"nomatch"
"34","GoA2019_Stn34",2019-03-04 09:50:00,2019-03-04 09:45:00,"nomatch"
"35","GoA2019_Stn35",2019-03-04 18:17:00,2019-03-04 18:17:00,"match"
"36","GoA2019_Stn36",2019-03-05 02:25:00,2019-03-05 02:25:00,"match"
"37","GoA2019_Stn37",2019-03-05 10:20:00,2019-03-05 10:15:00,"nomatch"
"38","GoA2019_Stn38",2019-03-05 18:05:00,2019-03-05 18:05:00,"match"
"39","GoA2019_Stn39",2019-03-06 02:11:00,2019-03-06 02:10:00,"nomatch"
"40","GoA2019_Stn40",2019-03-06 09:10:00,2019-03-06 09:10:00,"match"
"41","GoA2019_Stn41",2019-03-06 17:15:00,2019-03-06 17:15:00,"match"
"42","GoA2019_Stn42",2019-03-07 01:15:00,2019-03-07 01:10:00,"nomatch"
"43","GoA2019_Stn43",2019-03-07 09:23:00,2019-03-07 09:23:00,"match"
"44","GoA2019_Stn44",2019-03-07 17:38:00,2019-03-07 17:58:00,"nomatch"
"45","GoA2019_Stn45",2019-03-08 02:35:00,2019-03-08 02:35:00,"match"
"46","GoA2019_Stn46",2019-03-08 12:19:00,2019-03-08 12:19:00,"match"
"47","GoA2019_Stn47",2019-03-08 20:30:00,2019-03-08 20:30:00,"match"
"48","GoA2019_Stn48",2019-03-09 05:50:00,2019-03-09 05:50:00,"match"
"49","GoA2019_Stn49",2019-03-09 14:24:00,2019-03-09 14:20:00,"nomatch"
"50","GoA2019_Stn50",2019-03-09 22:51:00,2019-03-09 22:51:00,"match"
"51","GoA2019_Stn51",2019-03-10 06:55:00,2019-03-10 06:55:00,"match"
"52","GoA2019_Stn52",2019-03-10 15:02:00,2019-03-10 15:02:00,"match"
"53","GoA2019_Stn53",2019-03-10 23:07:00,2019-03-10 23:07:00,"match"
"54","GoA2019_Stn54",2019-03-11 11:30:00,2019-03-11 11:20:00,"nomatch"
"55","GoA2019_Stn55",2019-03-11 22:27:00,2019-03-12 08:24:00,"nomatch"
"56","GoA2019_Stn56",2019-03-12 15:50:00,2019-03-12 15:50:00,"match"
"57","GoA2019_Stn57",2019-03-13 00:27:00,2019-03-13 00:27:00,"match"
"58","GoA2019_Stn58",2019-03-13 18:08:00,2019-03-13 18:08:00,"match"
"59","GoA2019_Stn59",2019-03-14 07:40:00,2019-03-14 07:40:00,"match"
"60","GoA2019_Stn60",2019-03-14 15:59:00,2019-03-14 15:59:00,"match"
