station,latitude,longitude
nut1,48.311,-128.51366666666667
nut2,48.19116666666667,-129.9175
nut3,47.66683333333334,-136.997
nut4,47.6645,-138.49933333333334
nut5,47.66616666666667,-139.999
nut6,47.66616666666667,-141.4985
nut7,47.666333333333334,-142.9985
nut8,47.67016666666667,-144.4955
nut9,47.66616666666667,-145.999
nut10,47.66833333333334,-147.50066666666666
nut11,48.6675,-147.50016666666667
nut12,49.66716666666667,-147.49683333333334
nut13,50.666666666666664,-147.48466666666667
nut14,51.66566666666667,-147.50133333333332
nut15,52.66716666666667,-147.50016666666667
nut16,53.66683333333334,-147.49783333333335
nut17,54.666,-147.50016666666667
nut18,55.66833333333334,-147.49866666666668
nut19,56.66733333333333,-147.50333333333333
nut20,56.66733333333333,-146.00133333333332
nut21,56.66683333333334,-144.5
nut22,56.66866666666667,-143.00016666666667
nut23,55.66716666666667,-142.99766666666667
nut24,55.6655,-144.50083333333333
nut25,55.667833333333334,-145.99683333333334
nut26,54.669333333333334,-145.99933333333334
nut27,53.66616666666667,-145.999
nut28,52.6685,-146.00416666666666
nut29,51.66716666666667,-146.00016666666667
nut30,50.66583333333333,-146.00083333333333
nut31,49.6675,-145.99933333333334
nut32,48.667,-145.99983333333333
nut33,48.665166666666664,-144.50166666666667
nut34,49.66683333333334,-144.67
nut35,50.667833333333334,-144.50066666666666
nut36,51.666666666666664,-144.5
nut37,52.666666666666664,-144.49916666666667
nut38,53.6655,-144.5005
nut39,54.667,-144.49983333333333
nut40,54.666666666666664,-143
nut41,53.66683333333334,-142.99783333333335
nut42,52.66583333333333,-143.00166666666667
nut43,51.666666666666664,-143.0025
nut44,50.6565,-142.9995
nut45,49.666666666666664,-142.99883333333332
nut46,48.667,-142.997
nut47,48.67333333333333,-141.50133333333332
nut48,49.66566666666667,-141.49933333333334
nut49,50.66583333333333,-141.49916666666667
nut50,51.66466666666667,-141.49816666666666
nut51,52.66566666666667,-141.494
nut52,53.66566666666667,-141.49733333333333
nut53,53.667,-140.00116666666668
nut54,52.66583333333333,-140.00066666666666
nut55,51.66766666666667,-139.9995
nut56,50.666666666666664,-140.00016666666667
nut57,50.666666666666664,-138.50083333333333
nut58,49.6655,-138.4993333
nut59,48.66666667,-138.5001667
nut60,48.66566667,-136.9973333
