station,latitude,longitude
pom1,48.30116667,-128.5226667
pom2,48.18333333,-129.9166667
pom3,47.66666667,-136.9966667
pom4,47.66166667,-138.5
pom5,47.66666667,-140
pom6,47.66616667,-141.4985
pom8,47.67016667,-144.4955
pom7,47.66666667,-143
pom9,47.66616667,-145.8656667
pom10,47.66666667,-147.5
pom11,48.6675,-147.5
pom12,49.66666667,-147.5
pom13,50.66666667,-147.5
pom14,51.66566667,-147.5013333
pom15,52.66666667,-147.5
pom16,53.66666667,-147.5
pom17,54.66666667,-147.5
pom18,55.66833333,-147.4995
pom19,56.66666667,-147.5
pom20,56.66733333,-146
pom21,56.66666667,-144.5
pom22,56.66666667,-143
pom23,55.66666667,-142.9976667
pom24,55.66666667,-144.5
pom25,55.66666667,-145.9968333
pom26,54.66933333,-145.986
pom27,53.66666667,-146
pom28,52.66833333,-146
pom29,51.66716667,-146
pom30,50.66666667,-146
pom31,49.66666667,-146
pom32,48.66666667,-146
pom33,48.66666667,-144.5
pom34,49.66666667,-144.5
pom35,50.66783333,-144.5066667
pom36,51.66666667,-144.5
pom37,52.66666667,-144.5
pom38,53.66666667,-144.5
pom39,54.66666667,-144.5
pom40,54.66666667,-143
pom41,53.66666667,-143
pom42,52.66666667,-143
pom43,51.66666667,-143.0025
pom44,50.6665,-142.9995
pom45,49.66666667,-142.9988333
pom46,48.667,-142.997
pom47,48.66666667,-141.5013333
pom48,49.66666667,-141.5
pom49,50.66583333,-141.4991667
pom50,51.66466667,-141.4981667
pom51,52.66666667,-141.5
pom52,53.6655,-141.4973333
pom53,53.66783333,-140.0011667
pom54,52.66666667,-140
pom55,51.66666667,-139.9995
pom56,50.66666667,-140.0001667
pom57,50.66666667,-138.5
pom58,49.66366667,-138.4968333
pom59,48.66666667,-138.5
pom60,48.66566667,-139.994
