eventID,measurementRemarks,measurementType,measurementValue,measurementID,measurementTypeID,measurementUnit,measurementUnitID,occurrenceID,measurementValueID
IYS:GoA2019_Stn1:bongo:Net2:Z53,NA,length,0.25,IYS:GoA2019_Stn1:bongo:Net2:Z53:length,http://vocab.nerc.ac.uk/collection/S06/current/S0600015/,millimeter,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,NA,NA
IYS:GoA2019_Stn1:bongo:Net2:Z53,NA,individualCount,1.0,IYS:GoA2019_Stn1:bongo:Net2:Z53:count,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA,NA
IYS:GoA2019_Stn1:bongo:Net2:Z53,NA,minimumLength,NA,IYS:GoA2019_Stn1:bongo:Net2:Z53:minLength,http://vocab.nerc.ac.uk/collection/P01/current/OBSMINLX/,millimeter,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,NA,NA
IYS:GoA2019_Stn1:bongo:Net2:Z53,NA,maximumLength,NA,IYS:GoA2019_Stn1:bongo:Net2:Z53:maxLength,http://vocab.nerc.ac.uk/collection/P01/current/OBSMAXLX/,millimeter,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,NA,NA
IYS:GoA2019_Stn1:bongo:Net2:Z53,NA,weight,24.0,IYS:GoA2019_Stn1:bongo:Net2:Z53:weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600087/,milligram,http://vocab.nerc.ac.uk/collection/P06/current/MGRM/,NA,NA
IYS:GoA2019_Stn1:bongo:Net2:Z53,NA,length_type,Size fraction,IYS:GoA2019_Stn1:bongo:Net2:Z53:length_type,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,NA,NA,NA,NA
IYS:GoA2019_Stn1:bongo:Net2:Z54,NA,length,0.5,IYS:GoA2019_Stn1:bongo:Net2:Z54:length,http://vocab.nerc.ac.uk/collection/S06/current/S0600015/,millimeter,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,NA,NA
IYS:GoA2019_Stn1:bongo:Net2:Z54,NA,individualCount,1.0,IYS:GoA2019_Stn1:bongo:Net2:Z54:count,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA,NA
IYS:GoA2019_Stn1:bongo:Net2:Z54,NA,minimumLength,NA,IYS:GoA2019_Stn1:bongo:Net2:Z54:minLength,http://vocab.nerc.ac.uk/collection/P01/current/OBSMINLX/,millimeter,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,NA,NA
IYS:GoA2019_Stn1:bongo:Net2:Z54,NA,maximumLength,NA,IYS:GoA2019_Stn1:bongo:Net2:Z54:maxLength,http://vocab.nerc.ac.uk/collection/P01/current/OBSMAXLX/,millimeter,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,NA,NA
IYS:GoA2019_Stn1:bongo:Net2:Z54,NA,weight,36.6,IYS:GoA2019_Stn1:bongo:Net2:Z54:weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600087/,milligram,http://vocab.nerc.ac.uk/collection/P06/current/MGRM/,NA,NA
IYS:GoA2019_Stn1:bongo:Net2:Z54,NA,length_type,Size fraction,IYS:GoA2019_Stn1:bongo:Net2:Z54:length_type,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,NA,NA,NA,NA
IYS:GoA2019_Stn1:bongo:Net2:Z55,NA,length,1.0,IYS:GoA2019_Stn1:bongo:Net2:Z55:length,http://vocab.nerc.ac.uk/collection/S06/current/S0600015/,millimeter,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,NA,NA
IYS:GoA2019_Stn1:bongo:Net2:Z55,NA,individualCount,1.0,IYS:GoA2019_Stn1:bongo:Net2:Z55:count,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA,NA
IYS:GoA2019_Stn1:bongo:Net2:Z55,NA,minimumLength,NA,IYS:GoA2019_Stn1:bongo:Net2:Z55:minLength,http://vocab.nerc.ac.uk/collection/P01/current/OBSMINLX/,millimeter,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,NA,NA
IYS:GoA2019_Stn1:bongo:Net2:Z55,NA,maximumLength,NA,IYS:GoA2019_Stn1:bongo:Net2:Z55:maxLength,http://vocab.nerc.ac.uk/collection/P01/current/OBSMAXLX/,millimeter,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,NA,NA
IYS:GoA2019_Stn1:bongo:Net2:Z55,NA,weight,18.6,IYS:GoA2019_Stn1:bongo:Net2:Z55:weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600087/,milligram,http://vocab.nerc.ac.uk/collection/P06/current/MGRM/,NA,NA
IYS:GoA2019_Stn1:bongo:Net2:Z55,NA,length_type,Size fraction,IYS:GoA2019_Stn1:bongo:Net2:Z55:length_type,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,NA,NA,NA,NA
IYS:GoA2019_Stn1:bongo:Net2:Z56,NA,length,2.0,IYS:GoA2019_Stn1:bongo:Net2:Z56:length,http://vocab.nerc.ac.uk/collection/S06/current/S0600015/,millimeter,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,NA,NA
IYS:GoA2019_Stn1:bongo:Net2:Z56,NA,individualCount,1.0,IYS:GoA2019_Stn1:bongo:Net2:Z56:count,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA,NA
IYS:GoA2019_Stn1:bongo:Net2:Z56,NA,minimumLength,NA,IYS:GoA2019_Stn1:bongo:Net2:Z56:minLength,http://vocab.nerc.ac.uk/collection/P01/current/OBSMINLX/,millimeter,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,NA,NA
IYS:GoA2019_Stn1:bongo:Net2:Z56,NA,maximumLength,NA,IYS:GoA2019_Stn1:bongo:Net2:Z56:maxLength,http://vocab.nerc.ac.uk/collection/P01/current/OBSMAXLX/,millimeter,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,NA,NA
IYS:GoA2019_Stn1:bongo:Net2:Z56,NA,weight,7.4,IYS:GoA2019_Stn1:bongo:Net2:Z56:weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600087/,milligram,http://vocab.nerc.ac.uk/collection/P06/current/MGRM/,NA,NA
IYS:GoA2019_Stn1:bongo:Net2:Z56,NA,length_type,Size fraction,IYS:GoA2019_Stn1:bongo:Net2:Z56:length_type,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,NA,NA,NA,NA
IYS:GoA2019_Stn1:bongo:Net2:Z86,NA,length,4.0,IYS:GoA2019_Stn1:bongo:Net2:Z86:length,http://vocab.nerc.ac.uk/collection/S06/current/S0600015/,millimeter,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,NA,NA
IYS:GoA2019_Stn1:bongo:Net2:Z86,NA,individualCount,1.0,IYS:GoA2019_Stn1:bongo:Net2:Z86:count,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA,NA
IYS:GoA2019_Stn1:bongo:Net2:Z86,NA,minimumLength,NA,IYS:GoA2019_Stn1:bongo:Net2:Z86:minLength,http://vocab.nerc.ac.uk/collection/P01/current/OBSMINLX/,millimeter,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,NA,NA
IYS:GoA2019_Stn1:bongo:Net2:Z86,NA,maximumLength,NA,IYS:GoA2019_Stn1:bongo:Net2:Z86:maxLength,http://vocab.nerc.ac.uk/collection/P01/current/OBSMAXLX/,millimeter,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,NA,NA
IYS:GoA2019_Stn1:bongo:Net2:Z86,NA,weight,22.5,IYS:GoA2019_Stn1:bongo:Net2:Z86:weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600087/,milligram,http://vocab.nerc.ac.uk/collection/P06/current/MGRM/,NA,NA
IYS:GoA2019_Stn1:bongo:Net2:Z86,NA,length_type,Size fraction,IYS:GoA2019_Stn1:bongo:Net2:Z86:length_type,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,NA,NA,NA,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,Length type: OA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,individualCount,1,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-6,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,weight,TBD,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600253/,milligram,http://vocab.nerc.ac.uk/collection/P06/current/MGRM/,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-6,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,length_type,OA,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:length_type,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,NA,NA,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-6,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,lifeStage,2.0,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:lifeStage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,NA,NA,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-6,http://vocab.nerc.ac.uk/collection/S11/current/S117/
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,NA,length,69.0,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:length,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,millimeter,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-6,NA
