eventID,specificEpithet,scientificName,scientificNameID,scientificAuthorityName,individualCount,lifeStage,sex,taxonRank,taxonomicStatus,identificationQualifier,kingdom,phylum,class,order,family,genus,occurrenceID
IYS:GoA2019_Stn1:bongo:Net1,NA,Chaetognatha,urn:lsid:marinespecies.org:taxname:2081,NA,36,NA,NA,Phylum,accepted,sp. inc,Animalia,Chaetognatha,NA,NA,NA,NA,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-1
IYS:GoA2019_Stn1:bongo:Net1,limacina,Clione limacina,urn:lsid:marinespecies.org:taxname:139178,"(Phipps, 1774)",1,NA,NA,Species,accepted,NA,Animalia,Mollusca,Gastropoda,Pteropoda,Clionidae,Clione,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-2
IYS:GoA2019_Stn1:bongo:Net1,bungii,Eucalanus bungii,urn:lsid:marinespecies.org:taxname:196775,"Giesbrecht, 1893",1,C6,M,Species,accepted,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,Eucalanus,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-3
IYS:GoA2019_Stn1:bongo:Net1,hamata,Eukrohnia hamata,urn:lsid:marinespecies.org:taxname:105416,"(Möbius, 1875)",5,NA,NA,Species,accepted,NA,Animalia,Chaetognatha,Sagittoidea,Phragmophora,Eukrohniidae,Eukrohnia,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-4
IYS:GoA2019_Stn1:bongo:Net1,cristatus,Neocalanus cristatus,urn:lsid:marinespecies.org:taxname:104470,"(Krøyer, 1848)",1,C4,NA,Species,accepted,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-5
IYS:GoA2019_Stn1:bongo:Net1,cristatus,Neocalanus cristatus,urn:lsid:marinespecies.org:taxname:104470,"(Krøyer, 1848)",1,C5,NA,Species,accepted,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-6
IYS:GoA2019_Stn1:bongo:Net1,elegans,Parasagitta elegans,urn:lsid:marinespecies.org:taxname:105440,"(Verrill, 1873)",69,NA,NA,Species,accepted,NA,Animalia,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Parasagitta,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-7
IYS:GoA2019_Stn1:bongo:Net1,longiremis,Acartia longiremis,urn:lsid:marinespecies.org:taxname:104257,"(Lilljeborg, 1853)",4,C6,F,Species,alternate representation,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-8
IYS:GoA2019_Stn1:bongo:Net1,longiremis,Acartia longiremis,urn:lsid:marinespecies.org:taxname:104257,"(Lilljeborg, 1853)",1,C6,M,Species,alternate representation,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-9
IYS:GoA2019_Stn1:bongo:Net1,NA,Calanus,urn:lsid:marinespecies.org:taxname:104152,"Leach, 1816",1,C1,NA,Genus,accepted,sp. inc,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-10
IYS:GoA2019_Stn1:bongo:Net1,NA,Calanus,urn:lsid:marinespecies.org:taxname:104152,"Leach, 1816",3,C2,NA,Genus,accepted,sp. inc,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-11
IYS:GoA2019_Stn1:bongo:Net1,styliremis,Calocalanus styliremis,urn:lsid:marinespecies.org:taxname:104673,"Giesbrecht, 1888",1,C5,NA,Species,accepted,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Calocalanus,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-12
IYS:GoA2019_Stn1:bongo:Net1,NA,Candacia,urn:lsid:marinespecies.org:taxname:104157,"Dana, 1846",1,C1,NA,Genus,accepted,sp. inc,Animalia,Arthropoda,Hexanauplia,Calanoida,Candaciidae,Candacia,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-13
IYS:GoA2019_Stn1:bongo:Net1,NA,Chaetognatha,urn:lsid:marinespecies.org:taxname:2081,NA,5,juvenile,NA,Phylum,accepted,sp. inc,Animalia,Chaetognatha,NA,NA,NA,NA,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-14
IYS:GoA2019_Stn1:bongo:Net1,parapergens,Clausocalanus parapergens,urn:lsid:marinespecies.org:taxname:104507,"Frost & Fleminger, 1968",2,C6,F,Species,accepted,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-15
IYS:GoA2019_Stn1:bongo:Net1,NA,Clausocalanus,urn:lsid:marinespecies.org:taxname:104161,"Giesbrecht, 1888",12,C5,NA,Genus,accepted,sp. inc,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-16
IYS:GoA2019_Stn1:bongo:Net1,NA,Clausocalanus,urn:lsid:marinespecies.org:taxname:104161,"Giesbrecht, 1888",2,C4,NA,Genus,accepted,sp. inc,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-17
IYS:GoA2019_Stn1:bongo:Net1,elegans,Discoconchoecia elegans,urn:lsid:marinespecies.org:taxname:127782,"(Sars, 1866)",2,NA,NA,Species,accepted,NA,Animalia,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Discoconchoecia,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-18
IYS:GoA2019_Stn1:bongo:Net1,bungii,Eucalanus bungii,urn:lsid:marinespecies.org:taxname:196775,"Giesbrecht, 1893",1,C4,NA,Species,accepted,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,Eucalanus,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-19
IYS:GoA2019_Stn1:bongo:Net1,NA,Euphausiidae,urn:lsid:marinespecies.org:taxname:110671,"Dana, 1852",1,calyptopsis,NA,Family,accepted,NA,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,NA,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-20
IYS:GoA2019_Stn1:bongo:Net1,NA,Euphausiidae,urn:lsid:marinespecies.org:taxname:110671,"Dana, 1852",7,egg,NA,Family,accepted,NA,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,NA,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-21
IYS:GoA2019_Stn1:bongo:Net1,NA,Halocyprididae,urn:lsid:marinespecies.org:taxname:127482,"Dana, 1853",2,<0.5mm,NA,Family,accepted,sp. inc,Animalia,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,NA,IYS:GoA2019_Stn1:bongo:Net1:zoop_occ-22
