eventID,scientificName,occurrenceID,occurrenceStatus,reproductiveCondition,scientificNameID,scientificAuthorityName,individualCount,vernacularName,taxonRank,taxonomicStatus,sex,lifeStage,kingdom,phylum,class,order,family,genus,Preparations,occurrenceRemarks
IYS:GoA2019_Stn5:bongo:Net2:S50,Eusergestes similis,IYS:GoA2019_Stn5:bongo:Net2:S50:zoop_occ-1,present,NA,urn:lsid:marinespecies.org:taxname:514127,"(Hansen, 1903)",1,NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Malacostraca,Decapoda,Sergestidae,Eusergestes,size fractionated & frozen,NA
IYS:GoA2019_Stn5:bongo:Net2:S51,Euphausia pacifica,IYS:GoA2019_Stn5:bongo:Net2:S51:zoop_occ-2,present,NA,urn:lsid:marinespecies.org:taxname:237851,"Hansen, 1911",1,NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,size fractionated & frozen,NA
IYS:GoA2019_Stn5:bongo:Net2:S52,Euphausia pacifica,IYS:GoA2019_Stn5:bongo:Net2:S52:zoop_occ-3,present,NA,urn:lsid:marinespecies.org:taxname:237851,"Hansen, 1911",1,NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,size fractionated & frozen,NA
IYS:GoA2019_Stn5:bongo:Net2:S53,Thysanoessa spinifera,IYS:GoA2019_Stn5:bongo:Net2:S53:zoop_occ-4,present,NA,urn:lsid:marinespecies.org:taxname:237874,"Holmes, 1900",1,NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,size fractionated & frozen,NA
IYS:GoA2019_Stn5:bongo:Net2:S54,Thysanoessa spinifera,IYS:GoA2019_Stn5:bongo:Net2:S54:zoop_occ-5,present,NA,urn:lsid:marinespecies.org:taxname:237874,"Holmes, 1900",1,NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,size fractionated & frozen,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,Salpa aspera,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-6,present,NA,urn:lsid:marinespecies.org:taxname:137270,"Chamisso, 1819",1,NA,Species,accepted,NA,2.0,Animalia,Chordata,Thaliacea,Salpida,Salpidae,Salpa,formalin,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,Salpa aspera,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-7,present,NA,urn:lsid:marinespecies.org:taxname:137270,"Chamisso, 1819",1,NA,Species,accepted,NA,NA,Animalia,Chordata,Thaliacea,Salpida,Salpidae,Salpa,formalin,Spent
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,Salpa aspera,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-8,present,NA,urn:lsid:marinespecies.org:taxname:137270,"Chamisso, 1819",1,NA,Species,accepted,NA,4.0,Animalia,Chordata,Thaliacea,Salpida,Salpidae,Salpa,formalin,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,Salpa aspera,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-9,present,NA,urn:lsid:marinespecies.org:taxname:137270,"Chamisso, 1819",1,NA,Species,accepted,NA,4.0,Animalia,Chordata,Thaliacea,Salpida,Salpidae,Salpa,formalin,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,Salpa aspera,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-10,present,NA,urn:lsid:marinespecies.org:taxname:137270,"Chamisso, 1819",1,NA,Species,accepted,NA,NA,Animalia,Chordata,Thaliacea,Salpida,Salpidae,Salpa,formalin,Spent
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,Salpa aspera,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-11,present,NA,urn:lsid:marinespecies.org:taxname:137270,"Chamisso, 1819",1,NA,Species,accepted,NA,NA,Animalia,Chordata,Thaliacea,Salpida,Salpidae,Salpa,formalin,Spent
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,Salpa aspera,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-12,present,NA,urn:lsid:marinespecies.org:taxname:137270,"Chamisso, 1819",1,NA,Species,accepted,NA,NA,Animalia,Chordata,Thaliacea,Salpida,Salpidae,Salpa,formalin,Spent
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,Salpa aspera,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-13,present,NA,urn:lsid:marinespecies.org:taxname:137270,"Chamisso, 1819",1,NA,Species,accepted,NA,NA,Animalia,Chordata,Thaliacea,Salpida,Salpidae,Salpa,formalin,Spent
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,Salpa aspera,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-14,present,NA,urn:lsid:marinespecies.org:taxname:137270,"Chamisso, 1819",1,NA,Species,accepted,NA,NA,Animalia,Chordata,Thaliacea,Salpida,Salpidae,Salpa,formalin,Spent
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,Salpa aspera,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-15,present,NA,urn:lsid:marinespecies.org:taxname:137270,"Chamisso, 1819",1,NA,Species,accepted,NA,4.0,Animalia,Chordata,Thaliacea,Salpida,Salpidae,Salpa,formalin,NA
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,Salpa aspera,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-16,present,NA,urn:lsid:marinespecies.org:taxname:137270,"Chamisso, 1819",1,NA,Species,accepted,NA,NA,Animalia,Chordata,Thaliacea,Salpida,Salpidae,Salpa,formalin,Spent
IYS:GoA2019_Stn10:bongo:Net1:Petri dish,Salpa aspera,IYS:GoA2019_Stn10:bongo:Net1:Petri dish:zoop_occ-17,present,NA,urn:lsid:marinespecies.org:taxname:137270,"Chamisso, 1819",1,NA,Species,accepted,NA,NA,Animalia,Chordata,Thaliacea,Salpida,Salpidae,Salpa,formalin,Spent
IYS:GoA2019_Stn11:bongo:Net1:Petri dish,Salpa aspera,IYS:GoA2019_Stn11:bongo:Net1:Petri dish:zoop_occ-18,present,NA,urn:lsid:marinespecies.org:taxname:137270,"Chamisso, 1819",1,NA,Species,accepted,NA,"NA",Animalia,Chordata,Thaliacea,Salpida,Salpidae,Salpa,formalin,NA
IYS:GoA2019_Stn11:bongo:Net1:Petri dish,Salpa aspera,IYS:GoA2019_Stn11:bongo:Net1:Petri dish:zoop_occ-19,present,NA,urn:lsid:marinespecies.org:taxname:137270,"Chamisso, 1819",1,NA,Species,accepted,NA,"NA",Animalia,Chordata,Thaliacea,Salpida,Salpidae,Salpa,formalin,NA
IYS:GoA2019_Stn11:bongo:Net1:Petri dish,Salpa aspera,IYS:GoA2019_Stn11:bongo:Net1:Petri dish:zoop_occ-20,present,NA,urn:lsid:marinespecies.org:taxname:137270,"Chamisso, 1819",1,NA,Species,accepted,NA,"NA",Animalia,Chordata,Thaliacea,Salpida,Salpidae,Salpa,formalin,NA
IYS:GoA2019_Stn11:bongo:Net1:Petri dish,Salpa aspera,IYS:GoA2019_Stn11:bongo:Net1:Petri dish:zoop_occ-21,present,NA,urn:lsid:marinespecies.org:taxname:137270,"Chamisso, 1819",1,NA,Species,accepted,NA,"NA",Animalia,Chordata,Thaliacea,Salpida,Salpidae,Salpa,formalin,NA
IYS:GoA2019_Stn11:bongo:Net1:Petri dish,Salpa aspera,IYS:GoA2019_Stn11:bongo:Net1:Petri dish:zoop_occ-22,present,NA,urn:lsid:marinespecies.org:taxname:137270,"Chamisso, 1819",1,NA,Species,accepted,NA,"NA",Animalia,Chordata,Thaliacea,Salpida,Salpidae,Salpa,formalin,NA
IYS:GoA2019_Stn11:bongo:Net1:Petri dish,Salpa aspera,IYS:GoA2019_Stn11:bongo:Net1:Petri dish:zoop_occ-23,present,NA,urn:lsid:marinespecies.org:taxname:137270,"Chamisso, 1819",1,NA,Species,accepted,NA,"NA",Animalia,Chordata,Thaliacea,Salpida,Salpidae,Salpa,formalin,NA
IYS:GoA2019_Stn11:bongo:Net1:Petri dish,Salpa aspera,IYS:GoA2019_Stn11:bongo:Net1:Petri dish:zoop_occ-24,present,NA,urn:lsid:marinespecies.org:taxname:137270,"Chamisso, 1819",1,NA,Species,accepted,NA,"NA",Animalia,Chordata,Thaliacea,Salpida,Salpidae,Salpa,formalin,NA
IYS:GoA2019_Stn11:bongo:Net1:Petri dish,Salpa aspera,IYS:GoA2019_Stn11:bongo:Net1:Petri dish:zoop_occ-25,present,NA,urn:lsid:marinespecies.org:taxname:137270,"Chamisso, 1819",1,NA,Species,accepted,NA,"NA",Animalia,Chordata,Thaliacea,Salpida,Salpidae,Salpa,formalin,NA
IYS:GoA2019_Stn11:bongo:Net1:Petri dish,Salpa aspera,IYS:GoA2019_Stn11:bongo:Net1:Petri dish:zoop_occ-26,present,NA,urn:lsid:marinespecies.org:taxname:137270,"Chamisso, 1819",1,NA,Species,accepted,NA,"NA",Animalia,Chordata,Thaliacea,Salpida,Salpidae,Salpa,formalin,NA
IYS:GoA2019_Stn11:bongo:Net1:Petri dish,Salpa aspera,IYS:GoA2019_Stn11:bongo:Net1:Petri dish:zoop_occ-27,present,NA,urn:lsid:marinespecies.org:taxname:137270,"Chamisso, 1819",1,NA,Species,accepted,NA,"NA",Animalia,Chordata,Thaliacea,Salpida,Salpidae,Salpa,formalin,NA
IYS:GoA2019_Stn11:bongo:Net1:Petri dish,Salpa aspera,IYS:GoA2019_Stn11:bongo:Net1:Petri dish:zoop_occ-28,present,NA,urn:lsid:marinespecies.org:taxname:137270,"Chamisso, 1819",3,NA,Species,accepted,NA,"NA",Animalia,Chordata,Thaliacea,Salpida,Salpidae,Salpa,formalin,NA
IYS:GoA2019_Stn11:bongo:Net1:S109,Euphausia pacifica,IYS:GoA2019_Stn11:bongo:Net1:S109:zoop_occ-29,present,NA,urn:lsid:marinespecies.org:taxname:237851,"Hansen, 1911",1,NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,formalin,NA
IYS:GoA2019_Stn11:bongo:Net1:S110,Euphausia pacifica,IYS:GoA2019_Stn11:bongo:Net1:S110:zoop_occ-30,present,NA,urn:lsid:marinespecies.org:taxname:237851,"Hansen, 1911",1,NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,formalin,NA
IYS:GoA2019_Stn11:bongo:Net1:S111,Neocalanus cristatus,IYS:GoA2019_Stn11:bongo:Net1:S111:zoop_occ-31,present,NA,urn:lsid:marinespecies.org:taxname:104470,"(Krøyer, 1848)",1,NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,formalin,NA
IYS:GoA2019_Stn11:bongo:Net1:S112,Neocalanus cristatus,IYS:GoA2019_Stn11:bongo:Net1:S112:zoop_occ-32,present,NA,urn:lsid:marinespecies.org:taxname:104470,"(Krøyer, 1848)",1,NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,formalin,NA
IYS:GoA2019_Stn11:bongo:Net1:S113,Neocalanus cristatus,IYS:GoA2019_Stn11:bongo:Net1:S113:zoop_occ-33,present,NA,urn:lsid:marinespecies.org:taxname:104470,"(Krøyer, 1848)",1,NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,formalin,NA
IYS:GoA2019_Stn11:bongo:Net2:22000,Thysanoessa spinifera,IYS:GoA2019_Stn11:bongo:Net2:22000:zoop_occ-34,present,NA,urn:lsid:marinespecies.org:taxname:237874,"Holmes, 1900",1,NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,size fractionated & frozen,NA
