eventID,scientificName,scientificNameID,occurrenceStatus,sex,lifeStage,basisOfRecord,institutionCode,collectionCode,catalogNumber,preparations,occurrenceID
npmsdd-44-116-p,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-116-p
npmsdd-44-116-pr1,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-116-pr1
npmsdd-44-117-p,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-117-p
npmsdd-44-117-pr1,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-117-pr1
npmsdd-44-118-p,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present,male,mature,PreservedSpecimen, , , , ,npmsdd-44-118-p
npmsdd-44-118-pr1,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-118-pr1
npmsdd-44-119-p,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present,male,immature,PreservedSpecimen, , , , ,npmsdd-44-119-p
npmsdd-44-119-pr1,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-119-pr1
npmsdd-44-120-p,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-120-p
npmsdd-44-120-pr1,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-120-pr1
npmsdd-44-121-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,unspecified,NA,PreservedSpecimen, , , , ,npmsdd-44-121-p
npmsdd-44-121-pr1,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-121-pr1
npmsdd-44-122-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,unspecified,NA,PreservedSpecimen, , , , ,npmsdd-44-122-p
npmsdd-44-122-pr1,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-122-pr1
npmsdd-44-122-pr2,Brachyura,urn:lsid:marinespecies.org:taxname:106673,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-122-pr2
npmsdd-44-123-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,unspecified,NA,PreservedSpecimen, , , , ,npmsdd-44-123-p
npmsdd-44-123-pr1,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-123-pr1
npmsdd-44-124-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,unspecified,NA,PreservedSpecimen, , , , ,npmsdd-44-124-p
npmsdd-44-124-pr1,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-124-pr1
npmsdd-44-125-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,unspecified,NA,PreservedSpecimen, , , , ,npmsdd-44-125-p
npmsdd-44-125-pr1,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-125-pr1
npmsdd-44-1827-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-1827-p
npmsdd-44-1827-pr1,Copepoda,urn:lsid:marinespecies.org:taxname:1080,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1827-pr1
npmsdd-44-1828-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-1828-p
npmsdd-44-1828-pr1,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1828-pr1
npmsdd-44-1829-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-1829-p
npmsdd-44-1829-pr1,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1829-pr1
npmsdd-44-1830-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-1830-p
npmsdd-44-1830-pr1,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1830-pr1
npmsdd-44-1831-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-1831-p
npmsdd-44-1831-pr1,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1831-pr1
npmsdd-44-1832-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,male,immature,PreservedSpecimen, , , , ,npmsdd-44-1832-p
npmsdd-44-1832-pr1,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1832-pr1
npmsdd-44-1832-pr2,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1832-pr2
npmsdd-44-1833-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-1833-p
npmsdd-44-1833-pr1,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1833-pr1
npmsdd-44-1834-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,female,immature,PreservedSpecimen, , , , ,npmsdd-44-1834-p
npmsdd-44-1834-pr1,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1834-pr1
npmsdd-44-1834-pr2,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1834-pr2
npmsdd-44-1835-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,female,immature,PreservedSpecimen, , , , ,npmsdd-44-1835-p
npmsdd-44-1835-pr1,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1835-pr1
npmsdd-44-1836-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,male,mature,PreservedSpecimen, , , , ,npmsdd-44-1836-p
npmsdd-44-1836-pr1,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1836-pr1
npmsdd-44-1837-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-1837-p
npmsdd-44-1837-pr1,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1837-pr1
npmsdd-44-1837-pr2,Copepoda,urn:lsid:marinespecies.org:taxname:1080,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1837-pr2
npmsdd-44-1837-pr3,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1837-pr3
npmsdd-44-1838-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,male,immature,PreservedSpecimen, , , , ,npmsdd-44-1838-p
npmsdd-44-1838-pr1,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1838-pr1
npmsdd-44-1838-pr2,Copepoda,urn:lsid:marinespecies.org:taxname:1080,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1838-pr2
npmsdd-44-1839-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,unspecified,NA,PreservedSpecimen, , , , ,npmsdd-44-1839-p
npmsdd-44-1839-pr1,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1839-pr1
npmsdd-44-1840-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,male,immature,PreservedSpecimen, , , , ,npmsdd-44-1840-p
npmsdd-44-1840-pr1,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1840-pr1
npmsdd-44-1840-pr2,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1840-pr2
npmsdd-44-1841-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,male,mature,PreservedSpecimen, , , , ,npmsdd-44-1841-p
npmsdd-44-1841-pr1,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1841-pr1
npmsdd-44-1841-pr2,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1841-pr2
npmsdd-44-1842-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-1842-p
npmsdd-44-1842-pr1,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1842-pr1
npmsdd-44-1842-pr2,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1842-pr2
npmsdd-44-1842-pr3,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1842-pr3
npmsdd-44-1842-pr4,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1842-pr4
npmsdd-44-1843-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-1843-p
npmsdd-44-1843-pr1,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1843-pr1
npmsdd-44-1844-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,male,immature,PreservedSpecimen, , , , ,npmsdd-44-1844-p
npmsdd-44-1844-pr1,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1844-pr1
npmsdd-44-1844-pr2,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1844-pr2
npmsdd-44-1845-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,male,mature,PreservedSpecimen, , , , ,npmsdd-44-1845-p
npmsdd-44-1845-pr1,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1845-pr1
npmsdd-44-1846-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,female,immature,PreservedSpecimen, , , , ,npmsdd-44-1846-p
npmsdd-44-1846-pr1,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1846-pr1
npmsdd-44-1846-pr2,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1846-pr2
npmsdd-44-1847-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,male,immature,PreservedSpecimen, , , , ,npmsdd-44-1847-p
npmsdd-44-1847-pr1,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1847-pr1
npmsdd-44-1848-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,female,immature,PreservedSpecimen, , , , ,npmsdd-44-1848-p
npmsdd-44-1848-pr1,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1848-pr1
npmsdd-44-1848-pr2,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1848-pr2
npmsdd-44-1849-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,female,immature,PreservedSpecimen, , , , ,npmsdd-44-1849-p
npmsdd-44-1849-pr1,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1849-pr1
npmsdd-44-1850-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-1850-p
npmsdd-44-1850-pr1,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1850-pr1
npmsdd-44-1850-pr2,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1850-pr2
npmsdd-44-1850-pr3,Copepoda,urn:lsid:marinespecies.org:taxname:1080,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1850-pr3
npmsdd-44-1851-p,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-1851-p
npmsdd-44-1851-pr1,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1851-pr1
npmsdd-44-1851-pr2,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1851-pr2
npmsdd-44-1852-p,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-1852-p
npmsdd-44-1852-pr1,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1852-pr1
npmsdd-44-1853-p,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present,male,mature,PreservedSpecimen, , , , ,npmsdd-44-1853-p
npmsdd-44-1853-pr1,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1853-pr1
npmsdd-44-1854-p,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present,male,mature,PreservedSpecimen, , , , ,npmsdd-44-1854-p
npmsdd-44-1854-pr1,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1854-pr1
npmsdd-44-1855-p,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present,female,immature,PreservedSpecimen, , , , ,npmsdd-44-1855-p
npmsdd-44-1855-pr1,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1855-pr1
npmsdd-44-1856-p,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present,male,mature,PreservedSpecimen, , , , ,npmsdd-44-1856-p
npmsdd-44-1856-pr1,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1856-pr1
npmsdd-44-1856-pr2,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1856-pr2
npmsdd-44-1857-p,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present,male,immature,PreservedSpecimen, , , , ,npmsdd-44-1857-p
npmsdd-44-1857-pr1,Copepoda,urn:lsid:marinespecies.org:taxname:1080,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1857-pr1
npmsdd-44-1857-pr2,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1857-pr2
npmsdd-44-1858-p,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-1858-p
npmsdd-44-1858-pr1,Copepoda,urn:lsid:marinespecies.org:taxname:1080,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1858-pr1
npmsdd-44-1858-pr2,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1858-pr2
npmsdd-44-1859-p,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present,male,immature,PreservedSpecimen, , , , ,npmsdd-44-1859-p
npmsdd-44-1859-pr1,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1859-pr1
npmsdd-44-1860-p,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present,male,immature,PreservedSpecimen, , , , ,npmsdd-44-1860-p
npmsdd-44-1860-pr1,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1860-pr1
npmsdd-44-1861-p,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,present,male,mature,PreservedSpecimen, , , , ,npmsdd-44-1861-p
npmsdd-44-1861-pr1,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1861-pr1
npmsdd-44-1861-pr2,Copepoda,urn:lsid:marinespecies.org:taxname:1080,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1861-pr2
npmsdd-44-1861-pr3,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1861-pr3
npmsdd-44-1861-pr4,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1861-pr4
npmsdd-44-1862-p,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,present,male,mature,PreservedSpecimen, , , , ,npmsdd-44-1862-p
npmsdd-44-1862-pr1,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1862-pr1
npmsdd-44-1863-p,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-1863-p
npmsdd-44-1863-pr1,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1863-pr1
npmsdd-44-1864-p,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,present,male,mature,PreservedSpecimen, , , , ,npmsdd-44-1864-p
npmsdd-44-1864-pr1,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1864-pr1
npmsdd-44-1865-p,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-1865-p
npmsdd-44-1865-pr1,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1865-pr1
npmsdd-44-1866-p,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,present,male,mature,PreservedSpecimen, , , , ,npmsdd-44-1866-p
npmsdd-44-1866-pr1,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1866-pr1
npmsdd-44-1866-pr2,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1866-pr2
npmsdd-44-1867-p,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-1867-p
npmsdd-44-1867-pr1,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1867-pr1
npmsdd-44-1867-pr2,Copepoda,urn:lsid:marinespecies.org:taxname:1080,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1867-pr2
npmsdd-44-1867-pr3,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1867-pr3
npmsdd-44-1867-pr4,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1867-pr4
npmsdd-44-1868-p,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,present,male,mature,PreservedSpecimen, , , , ,npmsdd-44-1868-p
npmsdd-44-1868-pr1,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1868-pr1
npmsdd-44-1869-p,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,present,male,mature,PreservedSpecimen, , , , ,npmsdd-44-1869-p
npmsdd-44-1869-pr1,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1869-pr1
npmsdd-44-1870-p,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,present,male,mature,PreservedSpecimen, , , , ,npmsdd-44-1870-p
npmsdd-44-1870-pr1,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1870-pr1
npmsdd-44-1871-p,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-1871-p
npmsdd-44-1871-pr1,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1871-pr1
npmsdd-44-1871-pr2,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1871-pr2
npmsdd-44-1872-p,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,present,male,mature,PreservedSpecimen, , , , ,npmsdd-44-1872-p
npmsdd-44-1872-pr1,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1872-pr1
npmsdd-44-1873-p,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,present,male,mature,PreservedSpecimen, , , , ,npmsdd-44-1873-p
npmsdd-44-1873-pr1,Copepoda,urn:lsid:marinespecies.org:taxname:1080,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1873-pr1
npmsdd-44-1873-pr2,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1873-pr2
npmsdd-44-1874-p,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,present,male,mature,PreservedSpecimen, , , , ,npmsdd-44-1874-p
npmsdd-44-1874-pr1,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1874-pr1
npmsdd-44-1875-p,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,present,male,mature,PreservedSpecimen, , , , ,npmsdd-44-1875-p
npmsdd-44-1875-pr1,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1875-pr1
npmsdd-44-1876-p,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,present,male,mature,PreservedSpecimen, , , , ,npmsdd-44-1876-p
npmsdd-44-1876-pr1,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1876-pr1
npmsdd-44-1876-pr2,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1876-pr2
npmsdd-44-1877-p,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,present,male,mature,PreservedSpecimen, , , , ,npmsdd-44-1877-p
npmsdd-44-1877-pr1,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1877-pr1
npmsdd-44-1877-pr2,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1877-pr2
npmsdd-44-1877-pr3,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1877-pr3
npmsdd-44-1877-pr4,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1877-pr4
npmsdd-44-1878-p,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-1878-p
npmsdd-44-1878-pr1,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1878-pr1
npmsdd-44-1878-pr2,Copepoda,urn:lsid:marinespecies.org:taxname:1080,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1878-pr2
npmsdd-44-1879-p,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,present,male,mature,PreservedSpecimen, , , , ,npmsdd-44-1879-p
npmsdd-44-1879-pr1,Copepoda,urn:lsid:marinespecies.org:taxname:1080,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1879-pr1
npmsdd-44-1880-p,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,present,male,immature,PreservedSpecimen, , , , ,npmsdd-44-1880-p
npmsdd-44-1880-pr1,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1880-pr1
npmsdd-44-1881-p,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-1881-p
npmsdd-44-1881-pr1,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1881-pr1
npmsdd-44-1882-p,Oncorhynchus mykiss,urn:lsid:marinespecies.org:taxname:127185,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-1882-p
npmsdd-44-1882-pr1,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1882-pr1
npmsdd-44-1883-p,Oncorhynchus mykiss,urn:lsid:marinespecies.org:taxname:127185,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-1883-p
npmsdd-44-1883-pr1,Anomura,urn:lsid:marinespecies.org:taxname:106671,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1883-pr1
npmsdd-44-1884-p,Oncorhynchus mykiss,urn:lsid:marinespecies.org:taxname:127185,present,female,NA,PreservedSpecimen, , , , ,npmsdd-44-1884-p
npmsdd-44-1884-pr1,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1884-pr1
npmsdd-44-1885-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-1885-p
npmsdd-44-1885-pr1,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1885-pr1
npmsdd-44-1886-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,male,mature,PreservedSpecimen, , , , ,npmsdd-44-1886-p
npmsdd-44-1886-pr1,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1886-pr1
npmsdd-44-1886-pr2,Anomura,urn:lsid:marinespecies.org:taxname:106671,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1886-pr2
npmsdd-44-1887-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-1887-p
npmsdd-44-1887-pr1,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1887-pr1
npmsdd-44-1887-pr2,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1887-pr2
