eventID,eventDate,year,month,decimalLatitude,decimalLongitude,footprintWKT,coordinateUncertaintyInMeters,type,geodeticDatum
npmsdd-33-1547-pr2,2000-06/07,2000,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1547-pr3,2000-06/07,2000,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1547-pr4,2000-06/07,2000,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1547-pr5,2000-06/07,2000,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1547-pr6,2000-06/07,2000,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1547-pr7,2000-06/07,2000,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1547-pr8,2000-06/07,2000,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1548-pr1,2001-06/07,2001,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1548-pr2,2001-06/07,2001,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1549-pr1,2002-06/07,2002,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1549-pr2,2002-06/07,2002,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1549-pr3,2002-06/07,2002,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1549-pr4,2002-06/07,2002,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1549-pr5,2002-06/07,2002,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1549-pr6,2002-06/07,2002,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1550-pr1,1993-06/07,1993,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1550-pr2,1993-06/07,1993,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1550-pr3,1993-06/07,1993,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
npmsdd-33-1550-pr4,1993-06/07,1993,NA,50.0031075448847,-145,"LINESTRING (-145.00000 44.00000, -145.00000 56.00000)",667370.3213711029,Event,EPSG:4326
