resourceRelationshipID,resourceID,relatedResourceID,relationshipOfResource
npmsdd-44-1859-ppr1,npmsdd-44-1859-p,npmsdd-44-1859-pr1,hasEaten
npmsdd-44-1860-ppr1,npmsdd-44-1860-p,npmsdd-44-1860-pr1,hasEaten
npmsdd-44-1861-ppr1,npmsdd-44-1861-p,npmsdd-44-1861-pr1,hasEaten
npmsdd-44-1861-ppr2,npmsdd-44-1861-p,npmsdd-44-1861-pr2,hasEaten
npmsdd-44-1861-ppr3,npmsdd-44-1861-p,npmsdd-44-1861-pr3,hasEaten
npmsdd-44-1861-ppr4,npmsdd-44-1861-p,npmsdd-44-1861-pr4,hasEaten
npmsdd-44-1862-ppr1,npmsdd-44-1862-p,npmsdd-44-1862-pr1,hasEaten
npmsdd-44-1863-ppr1,npmsdd-44-1863-p,npmsdd-44-1863-pr1,hasEaten
npmsdd-44-1864-ppr1,npmsdd-44-1864-p,npmsdd-44-1864-pr1,hasEaten
npmsdd-44-1865-ppr1,npmsdd-44-1865-p,npmsdd-44-1865-pr1,hasEaten
npmsdd-44-1866-ppr1,npmsdd-44-1866-p,npmsdd-44-1866-pr1,hasEaten
npmsdd-44-1866-ppr2,npmsdd-44-1866-p,npmsdd-44-1866-pr2,hasEaten
npmsdd-44-1867-ppr1,npmsdd-44-1867-p,npmsdd-44-1867-pr1,hasEaten
npmsdd-44-1867-ppr2,npmsdd-44-1867-p,npmsdd-44-1867-pr2,hasEaten
npmsdd-44-1867-ppr3,npmsdd-44-1867-p,npmsdd-44-1867-pr3,hasEaten
npmsdd-44-1867-ppr4,npmsdd-44-1867-p,npmsdd-44-1867-pr4,hasEaten
npmsdd-44-1868-ppr1,npmsdd-44-1868-p,npmsdd-44-1868-pr1,hasEaten
npmsdd-44-1869-ppr1,npmsdd-44-1869-p,npmsdd-44-1869-pr1,hasEaten
npmsdd-44-1870-ppr1,npmsdd-44-1870-p,npmsdd-44-1870-pr1,hasEaten
npmsdd-44-1871-ppr1,npmsdd-44-1871-p,npmsdd-44-1871-pr1,hasEaten
npmsdd-44-1871-ppr2,npmsdd-44-1871-p,npmsdd-44-1871-pr2,hasEaten
npmsdd-44-1872-ppr1,npmsdd-44-1872-p,npmsdd-44-1872-pr1,hasEaten
npmsdd-44-1873-ppr1,npmsdd-44-1873-p,npmsdd-44-1873-pr1,hasEaten
npmsdd-44-1873-ppr2,npmsdd-44-1873-p,npmsdd-44-1873-pr2,hasEaten
npmsdd-44-1874-ppr1,npmsdd-44-1874-p,npmsdd-44-1874-pr1,hasEaten
npmsdd-44-1875-ppr1,npmsdd-44-1875-p,npmsdd-44-1875-pr1,hasEaten
npmsdd-44-1876-ppr1,npmsdd-44-1876-p,npmsdd-44-1876-pr1,hasEaten
npmsdd-44-1876-ppr2,npmsdd-44-1876-p,npmsdd-44-1876-pr2,hasEaten
npmsdd-44-1877-ppr1,npmsdd-44-1877-p,npmsdd-44-1877-pr1,hasEaten
npmsdd-44-1877-ppr2,npmsdd-44-1877-p,npmsdd-44-1877-pr2,hasEaten
npmsdd-44-1877-ppr3,npmsdd-44-1877-p,npmsdd-44-1877-pr3,hasEaten
npmsdd-44-1877-ppr4,npmsdd-44-1877-p,npmsdd-44-1877-pr4,hasEaten
npmsdd-44-1878-ppr1,npmsdd-44-1878-p,npmsdd-44-1878-pr1,hasEaten
npmsdd-44-1878-ppr2,npmsdd-44-1878-p,npmsdd-44-1878-pr2,hasEaten
npmsdd-44-1879-ppr1,npmsdd-44-1879-p,npmsdd-44-1879-pr1,hasEaten
npmsdd-44-1880-ppr1,npmsdd-44-1880-p,npmsdd-44-1880-pr1,hasEaten
npmsdd-44-1881-ppr1,npmsdd-44-1881-p,npmsdd-44-1881-pr1,hasEaten
npmsdd-44-1882-ppr1,npmsdd-44-1882-p,npmsdd-44-1882-pr1,hasEaten
npmsdd-44-1883-ppr1,npmsdd-44-1883-p,npmsdd-44-1883-pr1,hasEaten
npmsdd-44-1884-ppr1,npmsdd-44-1884-p,npmsdd-44-1884-pr1,hasEaten
npmsdd-44-1885-ppr1,npmsdd-44-1885-p,npmsdd-44-1885-pr1,hasEaten
npmsdd-44-1886-ppr1,npmsdd-44-1886-p,npmsdd-44-1886-pr1,hasEaten
npmsdd-44-1886-ppr2,npmsdd-44-1886-p,npmsdd-44-1886-pr2,hasEaten
npmsdd-44-1887-ppr1,npmsdd-44-1887-p,npmsdd-44-1887-pr1,hasEaten
npmsdd-44-1887-ppr2,npmsdd-44-1887-p,npmsdd-44-1887-pr2,hasEaten
npmsdd-44-1888-ppr1,npmsdd-44-1888-p,npmsdd-44-1888-pr1,hasEaten
npmsdd-44-1889-ppr1,npmsdd-44-1889-p,npmsdd-44-1889-pr1,hasEaten
npmsdd-44-1890-ppr1,npmsdd-44-1890-p,npmsdd-44-1890-pr1,hasEaten
npmsdd-44-1890-ppr2,npmsdd-44-1890-p,npmsdd-44-1890-pr2,hasEaten
npmsdd-44-1890-ppr3,npmsdd-44-1890-p,npmsdd-44-1890-pr3,hasEaten
npmsdd-44-1891-ppr1,npmsdd-44-1891-p,npmsdd-44-1891-pr1,hasEaten
npmsdd-44-1891-ppr2,npmsdd-44-1891-p,npmsdd-44-1891-pr2,hasEaten
npmsdd-44-1892-ppr1,npmsdd-44-1892-p,npmsdd-44-1892-pr1,hasEaten
npmsdd-44-1893-ppr1,npmsdd-44-1893-p,npmsdd-44-1893-pr1,hasEaten
npmsdd-44-1893-ppr2,npmsdd-44-1893-p,npmsdd-44-1893-pr2,hasEaten
npmsdd-44-1893-ppr3,npmsdd-44-1893-p,npmsdd-44-1893-pr3,hasEaten
npmsdd-44-1894-ppr1,npmsdd-44-1894-p,npmsdd-44-1894-pr1,hasEaten
npmsdd-44-1895-ppr1,npmsdd-44-1895-p,npmsdd-44-1895-pr1,hasEaten
npmsdd-44-1895-ppr2,npmsdd-44-1895-p,npmsdd-44-1895-pr2,hasEaten
npmsdd-44-1895-ppr3,npmsdd-44-1895-p,npmsdd-44-1895-pr3,hasEaten
npmsdd-44-1896-ppr1,npmsdd-44-1896-p,npmsdd-44-1896-pr1,hasEaten
npmsdd-44-1896-ppr2,npmsdd-44-1896-p,npmsdd-44-1896-pr2,hasEaten
npmsdd-44-1897-ppr1,npmsdd-44-1897-p,npmsdd-44-1897-pr1,hasEaten
npmsdd-44-1897-ppr2,npmsdd-44-1897-p,npmsdd-44-1897-pr2,hasEaten
npmsdd-44-1898-ppr1,npmsdd-44-1898-p,npmsdd-44-1898-pr1,hasEaten
npmsdd-44-1898-ppr2,npmsdd-44-1898-p,npmsdd-44-1898-pr2,hasEaten
npmsdd-44-1899-ppr1,npmsdd-44-1899-p,npmsdd-44-1899-pr1,hasEaten
npmsdd-44-1899-ppr2,npmsdd-44-1899-p,npmsdd-44-1899-pr2,hasEaten
npmsdd-44-1900-ppr1,npmsdd-44-1900-p,npmsdd-44-1900-pr1,hasEaten
npmsdd-44-1900-ppr2,npmsdd-44-1900-p,npmsdd-44-1900-pr2,hasEaten
npmsdd-44-1900-ppr3,npmsdd-44-1900-p,npmsdd-44-1900-pr3,hasEaten
npmsdd-44-1901-ppr1,npmsdd-44-1901-p,npmsdd-44-1901-pr1,hasEaten
npmsdd-44-1901-ppr2,npmsdd-44-1901-p,npmsdd-44-1901-pr2,hasEaten
npmsdd-44-1901-ppr3,npmsdd-44-1901-p,npmsdd-44-1901-pr3,hasEaten
npmsdd-44-1901-ppr4,npmsdd-44-1901-p,npmsdd-44-1901-pr4,hasEaten
npmsdd-44-1901-ppr5,npmsdd-44-1901-p,npmsdd-44-1901-pr5,hasEaten
npmsdd-44-1901-ppr6,npmsdd-44-1901-p,npmsdd-44-1901-pr6,hasEaten
npmsdd-44-1902-ppr1,npmsdd-44-1902-p,npmsdd-44-1902-pr1,hasEaten
npmsdd-44-1902-ppr2,npmsdd-44-1902-p,npmsdd-44-1902-pr2,hasEaten
npmsdd-44-1902-ppr3,npmsdd-44-1902-p,npmsdd-44-1902-pr3,hasEaten
npmsdd-44-1902-ppr4,npmsdd-44-1902-p,npmsdd-44-1902-pr4,hasEaten
npmsdd-44-1903-ppr1,npmsdd-44-1903-p,npmsdd-44-1903-pr1,hasEaten
npmsdd-44-1903-ppr2,npmsdd-44-1903-p,npmsdd-44-1903-pr2,hasEaten
npmsdd-44-1904-ppr1,npmsdd-44-1904-p,npmsdd-44-1904-pr1,hasEaten
npmsdd-44-1904-ppr2,npmsdd-44-1904-p,npmsdd-44-1904-pr2,hasEaten
npmsdd-44-1904-ppr3,npmsdd-44-1904-p,npmsdd-44-1904-pr3,hasEaten
npmsdd-44-1904-ppr4,npmsdd-44-1904-p,npmsdd-44-1904-pr4,hasEaten
npmsdd-44-1905-ppr1,npmsdd-44-1905-p,npmsdd-44-1905-pr1,hasEaten
npmsdd-44-1905-ppr2,npmsdd-44-1905-p,npmsdd-44-1905-pr2,hasEaten
npmsdd-44-1905-ppr3,npmsdd-44-1905-p,npmsdd-44-1905-pr3,hasEaten
npmsdd-44-1906-ppr1,npmsdd-44-1906-p,npmsdd-44-1906-pr1,hasEaten
npmsdd-44-1906-ppr2,npmsdd-44-1906-p,npmsdd-44-1906-pr2,hasEaten
npmsdd-44-1906-ppr3,npmsdd-44-1906-p,npmsdd-44-1906-pr3,hasEaten
npmsdd-44-1907-ppr1,npmsdd-44-1907-p,npmsdd-44-1907-pr1,hasEaten
npmsdd-44-1907-ppr2,npmsdd-44-1907-p,npmsdd-44-1907-pr2,hasEaten
npmsdd-44-1907-ppr3,npmsdd-44-1907-p,npmsdd-44-1907-pr3,hasEaten
npmsdd-44-1907-ppr4,npmsdd-44-1907-p,npmsdd-44-1907-pr4,hasEaten
npmsdd-44-1908-ppr1,npmsdd-44-1908-p,npmsdd-44-1908-pr1,hasEaten
npmsdd-44-1908-ppr2,npmsdd-44-1908-p,npmsdd-44-1908-pr2,hasEaten
npmsdd-44-1908-ppr3,npmsdd-44-1908-p,npmsdd-44-1908-pr3,hasEaten
npmsdd-44-1909-ppr1,npmsdd-44-1909-p,npmsdd-44-1909-pr1,hasEaten
npmsdd-44-1909-ppr2,npmsdd-44-1909-p,npmsdd-44-1909-pr2,hasEaten
npmsdd-44-1909-ppr3,npmsdd-44-1909-p,npmsdd-44-1909-pr3,hasEaten
npmsdd-44-1910-ppr1,npmsdd-44-1910-p,npmsdd-44-1910-pr1,hasEaten
npmsdd-44-1910-ppr2,npmsdd-44-1910-p,npmsdd-44-1910-pr2,hasEaten
npmsdd-44-1910-ppr3,npmsdd-44-1910-p,npmsdd-44-1910-pr3,hasEaten
npmsdd-44-1910-ppr4,npmsdd-44-1910-p,npmsdd-44-1910-pr4,hasEaten
npmsdd-44-1911-ppr1,npmsdd-44-1911-p,npmsdd-44-1911-pr1,hasEaten
npmsdd-44-1911-ppr2,npmsdd-44-1911-p,npmsdd-44-1911-pr2,hasEaten
npmsdd-44-1911-ppr3,npmsdd-44-1911-p,npmsdd-44-1911-pr3,hasEaten
npmsdd-44-1912-ppr1,npmsdd-44-1912-p,npmsdd-44-1912-pr1,hasEaten
npmsdd-44-1912-ppr2,npmsdd-44-1912-p,npmsdd-44-1912-pr2,hasEaten
npmsdd-44-1912-ppr3,npmsdd-44-1912-p,npmsdd-44-1912-pr3,hasEaten
npmsdd-44-1913-ppr1,npmsdd-44-1913-p,npmsdd-44-1913-pr1,hasEaten
npmsdd-44-1913-ppr2,npmsdd-44-1913-p,npmsdd-44-1913-pr2,hasEaten
npmsdd-44-1914-ppr1,npmsdd-44-1914-p,npmsdd-44-1914-pr1,hasEaten
npmsdd-44-1915-ppr1,npmsdd-44-1915-p,npmsdd-44-1915-pr1,hasEaten
npmsdd-44-1916-ppr1,npmsdd-44-1916-p,npmsdd-44-1916-pr1,hasEaten
npmsdd-44-1916-ppr2,npmsdd-44-1916-p,npmsdd-44-1916-pr2,hasEaten
npmsdd-44-1916-ppr3,npmsdd-44-1916-p,npmsdd-44-1916-pr3,hasEaten
npmsdd-44-1917-ppr1,npmsdd-44-1917-p,npmsdd-44-1917-pr1,hasEaten
npmsdd-44-1917-ppr2,npmsdd-44-1917-p,npmsdd-44-1917-pr2,hasEaten
npmsdd-44-1917-ppr3,npmsdd-44-1917-p,npmsdd-44-1917-pr3,hasEaten
npmsdd-44-1918-ppr1,npmsdd-44-1918-p,npmsdd-44-1918-pr1,hasEaten
npmsdd-44-1919-ppr1,npmsdd-44-1919-p,npmsdd-44-1919-pr1,hasEaten
npmsdd-44-1919-ppr2,npmsdd-44-1919-p,npmsdd-44-1919-pr2,hasEaten
npmsdd-44-1919-ppr3,npmsdd-44-1919-p,npmsdd-44-1919-pr3,hasEaten
npmsdd-44-1920-ppr1,npmsdd-44-1920-p,npmsdd-44-1920-pr1,hasEaten
npmsdd-44-1921-ppr1,npmsdd-44-1921-p,npmsdd-44-1921-pr1,hasEaten
npmsdd-44-1921-ppr2,npmsdd-44-1921-p,npmsdd-44-1921-pr2,hasEaten
npmsdd-44-1921-ppr3,npmsdd-44-1921-p,npmsdd-44-1921-pr3,hasEaten
npmsdd-44-1922-ppr1,npmsdd-44-1922-p,npmsdd-44-1922-pr1,hasEaten
npmsdd-44-1922-ppr2,npmsdd-44-1922-p,npmsdd-44-1922-pr2,hasEaten
npmsdd-44-1923-ppr1,npmsdd-44-1923-p,npmsdd-44-1923-pr1,hasEaten
npmsdd-44-1923-ppr2,npmsdd-44-1923-p,npmsdd-44-1923-pr2,hasEaten
npmsdd-44-1923-ppr3,npmsdd-44-1923-p,npmsdd-44-1923-pr3,hasEaten
npmsdd-44-1924-ppr1,npmsdd-44-1924-p,npmsdd-44-1924-pr1,hasEaten
npmsdd-44-1924-ppr2,npmsdd-44-1924-p,npmsdd-44-1924-pr2,hasEaten
npmsdd-44-1924-ppr3,npmsdd-44-1924-p,npmsdd-44-1924-pr3,hasEaten
npmsdd-44-1925-ppr1,npmsdd-44-1925-p,npmsdd-44-1925-pr1,hasEaten
npmsdd-44-1925-ppr2,npmsdd-44-1925-p,npmsdd-44-1925-pr2,hasEaten
npmsdd-44-1925-ppr3,npmsdd-44-1925-p,npmsdd-44-1925-pr3,hasEaten
npmsdd-44-1926-ppr1,npmsdd-44-1926-p,npmsdd-44-1926-pr1,hasEaten
npmsdd-44-1926-ppr2,npmsdd-44-1926-p,npmsdd-44-1926-pr2,hasEaten
npmsdd-44-1927-ppr1,npmsdd-44-1927-p,npmsdd-44-1927-pr1,hasEaten
npmsdd-44-1927-ppr2,npmsdd-44-1927-p,npmsdd-44-1927-pr2,hasEaten
npmsdd-44-1927-ppr3,npmsdd-44-1927-p,npmsdd-44-1927-pr3,hasEaten
npmsdd-44-1927-ppr4,npmsdd-44-1927-p,npmsdd-44-1927-pr4,hasEaten
npmsdd-44-1928-ppr1,npmsdd-44-1928-p,npmsdd-44-1928-pr1,hasEaten
npmsdd-44-1928-ppr2,npmsdd-44-1928-p,npmsdd-44-1928-pr2,hasEaten
npmsdd-44-1928-ppr3,npmsdd-44-1928-p,npmsdd-44-1928-pr3,hasEaten
npmsdd-44-1928-ppr4,npmsdd-44-1928-p,npmsdd-44-1928-pr4,hasEaten
npmsdd-44-1929-ppr1,npmsdd-44-1929-p,npmsdd-44-1929-pr1,hasEaten
npmsdd-44-1929-ppr2,npmsdd-44-1929-p,npmsdd-44-1929-pr2,hasEaten
npmsdd-44-1930-ppr1,npmsdd-44-1930-p,npmsdd-44-1930-pr1,hasEaten
npmsdd-44-1931-ppr1,npmsdd-44-1931-p,npmsdd-44-1931-pr1,hasEaten
npmsdd-44-1932-ppr1,npmsdd-44-1932-p,npmsdd-44-1932-pr1,hasEaten
npmsdd-44-1932-ppr2,npmsdd-44-1932-p,npmsdd-44-1932-pr2,hasEaten
npmsdd-44-1933-ppr1,npmsdd-44-1933-p,npmsdd-44-1933-pr1,hasEaten
npmsdd-44-1933-ppr2,npmsdd-44-1933-p,npmsdd-44-1933-pr2,hasEaten
npmsdd-44-1933-ppr3,npmsdd-44-1933-p,npmsdd-44-1933-pr3,hasEaten
npmsdd-44-1934-ppr1,npmsdd-44-1934-p,npmsdd-44-1934-pr1,hasEaten
npmsdd-44-1934-ppr2,npmsdd-44-1934-p,npmsdd-44-1934-pr2,hasEaten
npmsdd-44-1934-ppr3,npmsdd-44-1934-p,npmsdd-44-1934-pr3,hasEaten
npmsdd-44-1935-ppr1,npmsdd-44-1935-p,npmsdd-44-1935-pr1,hasEaten
npmsdd-44-1936-ppr1,npmsdd-44-1936-p,npmsdd-44-1936-pr1,hasEaten
npmsdd-44-1936-ppr2,npmsdd-44-1936-p,npmsdd-44-1936-pr2,hasEaten
npmsdd-44-1936-ppr3,npmsdd-44-1936-p,npmsdd-44-1936-pr3,hasEaten
npmsdd-44-1937-ppr1,npmsdd-44-1937-p,npmsdd-44-1937-pr1,hasEaten
npmsdd-44-1938-ppr1,npmsdd-44-1938-p,npmsdd-44-1938-pr1,hasEaten
npmsdd-44-1939-ppr1,npmsdd-44-1939-p,npmsdd-44-1939-pr1,hasEaten
npmsdd-44-1939-ppr2,npmsdd-44-1939-p,npmsdd-44-1939-pr2,hasEaten
npmsdd-44-1940-ppr1,npmsdd-44-1940-p,npmsdd-44-1940-pr1,hasEaten
npmsdd-44-1940-ppr2,npmsdd-44-1940-p,npmsdd-44-1940-pr2,hasEaten
npmsdd-44-1941-ppr1,npmsdd-44-1941-p,npmsdd-44-1941-pr1,hasEaten
npmsdd-44-1941-ppr2,npmsdd-44-1941-p,npmsdd-44-1941-pr2,hasEaten
npmsdd-44-1942-ppr1,npmsdd-44-1942-p,npmsdd-44-1942-pr1,hasEaten
npmsdd-44-1942-ppr2,npmsdd-44-1942-p,npmsdd-44-1942-pr2,hasEaten
npmsdd-44-1943-ppr1,npmsdd-44-1943-p,npmsdd-44-1943-pr1,hasEaten
npmsdd-44-1944-ppr1,npmsdd-44-1944-p,npmsdd-44-1944-pr1,hasEaten
npmsdd-44-1945-ppr1,npmsdd-44-1945-p,npmsdd-44-1945-pr1,hasEaten
npmsdd-44-1946-ppr1,npmsdd-44-1946-p,npmsdd-44-1946-pr1,hasEaten
npmsdd-44-1946-ppr2,npmsdd-44-1946-p,npmsdd-44-1946-pr2,hasEaten
npmsdd-44-1947-ppr1,npmsdd-44-1947-p,npmsdd-44-1947-pr1,hasEaten
npmsdd-44-1948-ppr1,npmsdd-44-1948-p,npmsdd-44-1948-pr1,hasEaten
npmsdd-44-1948-ppr2,npmsdd-44-1948-p,npmsdd-44-1948-pr2,hasEaten
npmsdd-44-1949-ppr1,npmsdd-44-1949-p,npmsdd-44-1949-pr1,hasEaten
npmsdd-44-1949-ppr2,npmsdd-44-1949-p,npmsdd-44-1949-pr2,hasEaten
npmsdd-44-1950-ppr1,npmsdd-44-1950-p,npmsdd-44-1950-pr1,hasEaten
npmsdd-44-1950-ppr2,npmsdd-44-1950-p,npmsdd-44-1950-pr2,hasEaten
npmsdd-44-1950-ppr3,npmsdd-44-1950-p,npmsdd-44-1950-pr3,hasEaten
npmsdd-44-1950-ppr4,npmsdd-44-1950-p,npmsdd-44-1950-pr4,hasEaten
npmsdd-44-1951-ppr1,npmsdd-44-1951-p,npmsdd-44-1951-pr1,hasEaten
npmsdd-44-1951-ppr2,npmsdd-44-1951-p,npmsdd-44-1951-pr2,hasEaten
npmsdd-44-1952-ppr1,npmsdd-44-1952-p,npmsdd-44-1952-pr1,hasEaten
npmsdd-44-1952-ppr2,npmsdd-44-1952-p,npmsdd-44-1952-pr2,hasEaten
npmsdd-44-1953-ppr1,npmsdd-44-1953-p,npmsdd-44-1953-pr1,hasEaten
npmsdd-44-1953-ppr2,npmsdd-44-1953-p,npmsdd-44-1953-pr2,hasEaten
npmsdd-44-1953-ppr3,npmsdd-44-1953-p,npmsdd-44-1953-pr3,hasEaten
npmsdd-44-1954-ppr1,npmsdd-44-1954-p,npmsdd-44-1954-pr1,hasEaten
npmsdd-44-1954-ppr2,npmsdd-44-1954-p,npmsdd-44-1954-pr2,hasEaten
npmsdd-44-1954-ppr3,npmsdd-44-1954-p,npmsdd-44-1954-pr3,hasEaten
npmsdd-44-1955-ppr1,npmsdd-44-1955-p,npmsdd-44-1955-pr1,hasEaten
npmsdd-44-1955-ppr2,npmsdd-44-1955-p,npmsdd-44-1955-pr2,hasEaten
npmsdd-44-1956-ppr1,npmsdd-44-1956-p,npmsdd-44-1956-pr1,hasEaten
npmsdd-44-1957-ppr1,npmsdd-44-1957-p,npmsdd-44-1957-pr1,hasEaten
npmsdd-44-1958-ppr1,npmsdd-44-1958-p,npmsdd-44-1958-pr1,hasEaten
npmsdd-44-1959-ppr1,npmsdd-44-1959-p,npmsdd-44-1959-pr1,hasEaten
npmsdd-44-1959-ppr2,npmsdd-44-1959-p,npmsdd-44-1959-pr2,hasEaten
npmsdd-44-1959-ppr3,npmsdd-44-1959-p,npmsdd-44-1959-pr3,hasEaten
npmsdd-44-1959-ppr4,npmsdd-44-1959-p,npmsdd-44-1959-pr4,hasEaten
npmsdd-44-1959-ppr5,npmsdd-44-1959-p,npmsdd-44-1959-pr5,hasEaten
npmsdd-44-1960-ppr1,npmsdd-44-1960-p,npmsdd-44-1960-pr1,hasEaten
npmsdd-44-1960-ppr2,npmsdd-44-1960-p,npmsdd-44-1960-pr2,hasEaten
npmsdd-44-1960-ppr3,npmsdd-44-1960-p,npmsdd-44-1960-pr3,hasEaten
npmsdd-44-1961-ppr1,npmsdd-44-1961-p,npmsdd-44-1961-pr1,hasEaten
npmsdd-44-1961-ppr2,npmsdd-44-1961-p,npmsdd-44-1961-pr2,hasEaten
