resourceRelationshipID,resourceID,relatedResourceID,relationshipOfResource
npmsdd-44-116-ppr1,npmsdd-44-116-p,npmsdd-44-116-pr1,hasEaten
npmsdd-44-117-ppr1,npmsdd-44-117-p,npmsdd-44-117-pr1,hasEaten
npmsdd-44-118-ppr1,npmsdd-44-118-p,npmsdd-44-118-pr1,hasEaten
npmsdd-44-119-ppr1,npmsdd-44-119-p,npmsdd-44-119-pr1,hasEaten
npmsdd-44-120-ppr1,npmsdd-44-120-p,npmsdd-44-120-pr1,hasEaten
npmsdd-44-121-ppr1,npmsdd-44-121-p,npmsdd-44-121-pr1,hasEaten
npmsdd-44-122-ppr1,npmsdd-44-122-p,npmsdd-44-122-pr1,hasEaten
npmsdd-44-122-ppr2,npmsdd-44-122-p,npmsdd-44-122-pr2,hasEaten
npmsdd-44-123-ppr1,npmsdd-44-123-p,npmsdd-44-123-pr1,hasEaten
npmsdd-44-124-ppr1,npmsdd-44-124-p,npmsdd-44-124-pr1,hasEaten
npmsdd-44-125-ppr1,npmsdd-44-125-p,npmsdd-44-125-pr1,hasEaten
npmsdd-44-1827-ppr1,npmsdd-44-1827-p,npmsdd-44-1827-pr1,hasEaten
npmsdd-44-1828-ppr1,npmsdd-44-1828-p,npmsdd-44-1828-pr1,hasEaten
npmsdd-44-1829-ppr1,npmsdd-44-1829-p,npmsdd-44-1829-pr1,hasEaten
npmsdd-44-1830-ppr1,npmsdd-44-1830-p,npmsdd-44-1830-pr1,hasEaten
npmsdd-44-1831-ppr1,npmsdd-44-1831-p,npmsdd-44-1831-pr1,hasEaten
npmsdd-44-1832-ppr1,npmsdd-44-1832-p,npmsdd-44-1832-pr1,hasEaten
npmsdd-44-1832-ppr2,npmsdd-44-1832-p,npmsdd-44-1832-pr2,hasEaten
npmsdd-44-1833-ppr1,npmsdd-44-1833-p,npmsdd-44-1833-pr1,hasEaten
npmsdd-44-1834-ppr1,npmsdd-44-1834-p,npmsdd-44-1834-pr1,hasEaten
npmsdd-44-1834-ppr2,npmsdd-44-1834-p,npmsdd-44-1834-pr2,hasEaten
npmsdd-44-1835-ppr1,npmsdd-44-1835-p,npmsdd-44-1835-pr1,hasEaten
npmsdd-44-1836-ppr1,npmsdd-44-1836-p,npmsdd-44-1836-pr1,hasEaten
npmsdd-44-1837-ppr1,npmsdd-44-1837-p,npmsdd-44-1837-pr1,hasEaten
npmsdd-44-1837-ppr2,npmsdd-44-1837-p,npmsdd-44-1837-pr2,hasEaten
npmsdd-44-1837-ppr3,npmsdd-44-1837-p,npmsdd-44-1837-pr3,hasEaten
npmsdd-44-1838-ppr1,npmsdd-44-1838-p,npmsdd-44-1838-pr1,hasEaten
npmsdd-44-1838-ppr2,npmsdd-44-1838-p,npmsdd-44-1838-pr2,hasEaten
npmsdd-44-1839-ppr1,npmsdd-44-1839-p,npmsdd-44-1839-pr1,hasEaten
npmsdd-44-1840-ppr1,npmsdd-44-1840-p,npmsdd-44-1840-pr1,hasEaten
npmsdd-44-1840-ppr2,npmsdd-44-1840-p,npmsdd-44-1840-pr2,hasEaten
npmsdd-44-1841-ppr1,npmsdd-44-1841-p,npmsdd-44-1841-pr1,hasEaten
npmsdd-44-1841-ppr2,npmsdd-44-1841-p,npmsdd-44-1841-pr2,hasEaten
npmsdd-44-1842-ppr1,npmsdd-44-1842-p,npmsdd-44-1842-pr1,hasEaten
npmsdd-44-1842-ppr2,npmsdd-44-1842-p,npmsdd-44-1842-pr2,hasEaten
npmsdd-44-1842-ppr3,npmsdd-44-1842-p,npmsdd-44-1842-pr3,hasEaten
npmsdd-44-1842-ppr4,npmsdd-44-1842-p,npmsdd-44-1842-pr4,hasEaten
npmsdd-44-1843-ppr1,npmsdd-44-1843-p,npmsdd-44-1843-pr1,hasEaten
npmsdd-44-1844-ppr1,npmsdd-44-1844-p,npmsdd-44-1844-pr1,hasEaten
npmsdd-44-1844-ppr2,npmsdd-44-1844-p,npmsdd-44-1844-pr2,hasEaten
npmsdd-44-1845-ppr1,npmsdd-44-1845-p,npmsdd-44-1845-pr1,hasEaten
npmsdd-44-1846-ppr1,npmsdd-44-1846-p,npmsdd-44-1846-pr1,hasEaten
npmsdd-44-1846-ppr2,npmsdd-44-1846-p,npmsdd-44-1846-pr2,hasEaten
npmsdd-44-1847-ppr1,npmsdd-44-1847-p,npmsdd-44-1847-pr1,hasEaten
npmsdd-44-1848-ppr1,npmsdd-44-1848-p,npmsdd-44-1848-pr1,hasEaten
npmsdd-44-1848-ppr2,npmsdd-44-1848-p,npmsdd-44-1848-pr2,hasEaten
npmsdd-44-1849-ppr1,npmsdd-44-1849-p,npmsdd-44-1849-pr1,hasEaten
npmsdd-44-1850-ppr1,npmsdd-44-1850-p,npmsdd-44-1850-pr1,hasEaten
npmsdd-44-1850-ppr2,npmsdd-44-1850-p,npmsdd-44-1850-pr2,hasEaten
npmsdd-44-1850-ppr3,npmsdd-44-1850-p,npmsdd-44-1850-pr3,hasEaten
npmsdd-44-1851-ppr1,npmsdd-44-1851-p,npmsdd-44-1851-pr1,hasEaten
npmsdd-44-1851-ppr2,npmsdd-44-1851-p,npmsdd-44-1851-pr2,hasEaten
npmsdd-44-1852-ppr1,npmsdd-44-1852-p,npmsdd-44-1852-pr1,hasEaten
npmsdd-44-1853-ppr1,npmsdd-44-1853-p,npmsdd-44-1853-pr1,hasEaten
npmsdd-44-1854-ppr1,npmsdd-44-1854-p,npmsdd-44-1854-pr1,hasEaten
npmsdd-44-1855-ppr1,npmsdd-44-1855-p,npmsdd-44-1855-pr1,hasEaten
npmsdd-44-1856-ppr1,npmsdd-44-1856-p,npmsdd-44-1856-pr1,hasEaten
npmsdd-44-1856-ppr2,npmsdd-44-1856-p,npmsdd-44-1856-pr2,hasEaten
npmsdd-44-1857-ppr1,npmsdd-44-1857-p,npmsdd-44-1857-pr1,hasEaten
npmsdd-44-1857-ppr2,npmsdd-44-1857-p,npmsdd-44-1857-pr2,hasEaten
npmsdd-44-1858-ppr1,npmsdd-44-1858-p,npmsdd-44-1858-pr1,hasEaten
npmsdd-44-1858-ppr2,npmsdd-44-1858-p,npmsdd-44-1858-pr2,hasEaten
