measurementID,measurementType,measurementTypeID,measurementValue,measurementUnit,measurementUnitID,eventID,measurementValueID
IYS:GoA2019_Stn1:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,2300,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn2:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,2550,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn3:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4100,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn4:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4100,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn5:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4100,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn6:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4200,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn7:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4200,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn8:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4500,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn9:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4500,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn10:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4600,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn11:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4700,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn12:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4800,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2019_Stn13:juday:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4800,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
