eventID,scientificName,scientificNameID,scientificNameAuthorship,taxonomicStatus,taxonRank,parentNameUsageID,kingdom,phylum,class,order,family,genus,occurrenceStatus,occurrenceID
IYS:GoA2019_Stn6:juday,Copepoda,urn:lsid:marinespecies.org:taxname:1080,"Milne Edwards, 1840",accepted,Subclass,889925,Animalia,Arthropoda,Hexanauplia,NA,NA,NA,present,IYS:GoA2019_Stn6:juday:jocc:23
IYS:GoA2019_Stn6:juday,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,"Dana, 1852",accepted,Order,1089,Animalia,Arthropoda,Malacostraca,Euphausiacea,NA,NA,present,IYS:GoA2019_Stn6:juday:jocc:24
IYS:GoA2019_Stn6:juday,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,"Latreille, 1816",accepted,Order,1090,Animalia,Arthropoda,Malacostraca,Amphipoda,NA,NA,present,IYS:GoA2019_Stn6:juday:jocc:25
IYS:GoA2019_Stn6:juday,Pteropoda,urn:lsid:marinespecies.org:taxname:325345,"Cuvier, 1804",accepted,Order,1057250,Animalia,Mollusca,Gastropoda,Pteropoda,NA,NA,present,IYS:GoA2019_Stn6:juday:jocc:26
IYS:GoA2019_Stn6:juday,Chaetognatha,urn:lsid:marinespecies.org:taxname:2081,NA,accepted,Phylum,2,Animalia,Chaetognatha,NA,NA,NA,NA,present,IYS:GoA2019_Stn6:juday:jocc:27
IYS:GoA2019_Stn6:juday,Hydrozoa,urn:lsid:marinespecies.org:taxname:1337,"Owen, 1843",accepted,Class,1267,Animalia,Cnidaria,Hydrozoa,NA,NA,NA,present,IYS:GoA2019_Stn6:juday:jocc:28
IYS:GoA2019_Stn7:juday,Copepoda,urn:lsid:marinespecies.org:taxname:1080,"Milne Edwards, 1840",accepted,Subclass,889925,Animalia,Arthropoda,Hexanauplia,NA,NA,NA,present,IYS:GoA2019_Stn7:juday:jocc:29
IYS:GoA2019_Stn7:juday,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,"Dana, 1852",accepted,Order,1089,Animalia,Arthropoda,Malacostraca,Euphausiacea,NA,NA,present,IYS:GoA2019_Stn7:juday:jocc:30
IYS:GoA2019_Stn7:juday,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,"Latreille, 1816",accepted,Order,1090,Animalia,Arthropoda,Malacostraca,Amphipoda,NA,NA,present,IYS:GoA2019_Stn7:juday:jocc:31
IYS:GoA2019_Stn7:juday,Pteropoda,urn:lsid:marinespecies.org:taxname:325345,"Cuvier, 1804",accepted,Order,1057250,Animalia,Mollusca,Gastropoda,Pteropoda,NA,NA,present,IYS:GoA2019_Stn7:juday:jocc:32
IYS:GoA2019_Stn7:juday,Chaetognatha,urn:lsid:marinespecies.org:taxname:2081,NA,accepted,Phylum,2,Animalia,Chaetognatha,NA,NA,NA,NA,present,IYS:GoA2019_Stn7:juday:jocc:33
IYS:GoA2019_Stn7:juday,Hydrozoa,urn:lsid:marinespecies.org:taxname:1337,"Owen, 1843",accepted,Class,1267,Animalia,Cnidaria,Hydrozoa,NA,NA,NA,present,IYS:GoA2019_Stn7:juday:jocc:34
IYS:GoA2019_Stn8:juday,Copepoda,urn:lsid:marinespecies.org:taxname:1080,"Milne Edwards, 1840",accepted,Subclass,889925,Animalia,Arthropoda,Hexanauplia,NA,NA,NA,present,IYS:GoA2019_Stn8:juday:jocc:35
IYS:GoA2019_Stn8:juday,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,"Dana, 1852",accepted,Order,1089,Animalia,Arthropoda,Malacostraca,Euphausiacea,NA,NA,present,IYS:GoA2019_Stn8:juday:jocc:36
IYS:GoA2019_Stn8:juday,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,"Latreille, 1816",accepted,Order,1090,Animalia,Arthropoda,Malacostraca,Amphipoda,NA,NA,present,IYS:GoA2019_Stn8:juday:jocc:37
IYS:GoA2019_Stn8:juday,Pteropoda,urn:lsid:marinespecies.org:taxname:325345,"Cuvier, 1804",accepted,Order,1057250,Animalia,Mollusca,Gastropoda,Pteropoda,NA,NA,present,IYS:GoA2019_Stn8:juday:jocc:38
IYS:GoA2019_Stn8:juday,Chaetognatha,urn:lsid:marinespecies.org:taxname:2081,NA,accepted,Phylum,2,Animalia,Chaetognatha,NA,NA,NA,NA,present,IYS:GoA2019_Stn8:juday:jocc:39
IYS:GoA2019_Stn8:juday,Hydrozoa,urn:lsid:marinespecies.org:taxname:1337,"Owen, 1843",accepted,Class,1267,Animalia,Cnidaria,Hydrozoa,NA,NA,NA,present,IYS:GoA2019_Stn8:juday:jocc:40
IYS:GoA2019_Stn9:juday,Copepoda,urn:lsid:marinespecies.org:taxname:1080,"Milne Edwards, 1840",accepted,Subclass,889925,Animalia,Arthropoda,Hexanauplia,NA,NA,NA,present,IYS:GoA2019_Stn9:juday:jocc:41
IYS:GoA2019_Stn9:juday,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,"Dana, 1852",accepted,Order,1089,Animalia,Arthropoda,Malacostraca,Euphausiacea,NA,NA,present,IYS:GoA2019_Stn9:juday:jocc:42
IYS:GoA2019_Stn9:juday,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,"Latreille, 1816",accepted,Order,1090,Animalia,Arthropoda,Malacostraca,Amphipoda,NA,NA,present,IYS:GoA2019_Stn9:juday:jocc:43
IYS:GoA2019_Stn9:juday,Pteropoda,urn:lsid:marinespecies.org:taxname:325345,"Cuvier, 1804",accepted,Order,1057250,Animalia,Mollusca,Gastropoda,Pteropoda,NA,NA,present,IYS:GoA2019_Stn9:juday:jocc:44
IYS:GoA2019_Stn9:juday,Chaetognatha,urn:lsid:marinespecies.org:taxname:2081,NA,accepted,Phylum,2,Animalia,Chaetognatha,NA,NA,NA,NA,present,IYS:GoA2019_Stn9:juday:jocc:45
