eventID,parentEventID,eventDate,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,minimumDepthInMetres,maximumDepthInMetres,eventRemarks,type,geodeticDatum
GoA2019,NA,NA,NA,NA,NA,NA,NA,cruise,Event,EPSG:4326
GoA2019_Stn1,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn2,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn3,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn4,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn5,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn6,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn7,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn8,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn9,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn10,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn11,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn12,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn13,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn14,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn15,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn16,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn17,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn18,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn19,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn20,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn21,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn22,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn23,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn24,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn25,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn26,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn27,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn28,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn29,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn30,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn31,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn32,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn33,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn34,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn35,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn36,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn37,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn38,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn39,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn40,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn41,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn42,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn43,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn44,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn45,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn46,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn47,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn48,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn49,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn50,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn51,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn52,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn53,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn54,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn55,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn56,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn57,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn58,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn59,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn60,GoA2019,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326
GoA2019_Stn1:cast1,GoA2019_Stn1,2019-02-19T00:00:00Z,48.311,-128.51366666666667,0,NA,NA,cast,Event,EPSG:4326
GoA2019_Stn2:cast1,GoA2019_Stn2,2019-02-19T00:00:00Z,48.19116666666667,-129.9175,0,NA,NA,cast,Event,EPSG:4326
GoA2019_Stn3:cast1,GoA2019_Stn3,2019-02-21T00:00:00Z,47.66683333333334,-136.997,0,NA,NA,cast,Event,EPSG:4326
GoA2019_Stn4:cast1,GoA2019_Stn4,2019-02-22T00:00:00Z,47.6645,-138.49933333333334,0,NA,NA,cast,Event,EPSG:4326
GoA2019_Stn5:cast1,GoA2019_Stn5,2019-02-22T00:00:00Z,47.66616666666667,-139.999,0,NA,NA,cast,Event,EPSG:4326
GoA2019_Stn6:cast1,GoA2019_Stn6,2019-02-23T00:00:00Z,47.66616666666667,-141.4985,0,NA,NA,cast,Event,EPSG:4326
GoA2019_Stn7:cast1,GoA2019_Stn7,2019-02-23T00:00:00Z,47.666333333333334,-142.9985,0,NA,NA,cast,Event,EPSG:4326
GoA2019_Stn8:cast1,GoA2019_Stn8,2019-02-23T00:00:00Z,47.67016666666667,-144.4955,0,NA,NA,cast,Event,EPSG:4326
GoA2019_Stn9:cast1,GoA2019_Stn9,2019-02-24T00:00:00Z,47.66616666666667,-145.999,0,NA,NA,cast,Event,EPSG:4326
GoA2019_Stn10:cast1,GoA2019_Stn10,2019-02-24T00:00:00Z,47.66833333333334,-147.50066666666666,0,NA,NA,cast,Event,EPSG:4326
GoA2019_Stn11:cast1,GoA2019_Stn11,2019-02-25T00:00:00Z,48.6675,-147.50016666666667,0,NA,NA,cast,Event,EPSG:4326
GoA2019_Stn12:cast1,GoA2019_Stn12,2019-02-25T00:00:00Z,49.66716666666667,-147.49683333333334,0,NA,NA,cast,Event,EPSG:4326
GoA2019_Stn13:cast1,GoA2019_Stn13,2019-02-25T00:00:00Z,50.666666666666664,-147.48466666666667,0,NA,NA,cast,Event,EPSG:4326
GoA2019_Stn14:cast1,GoA2019_Stn14,2019-02-26T00:00:00Z,51.66566666666667,-147.50133333333332,0,NA,NA,cast,Event,EPSG:4326
GoA2019_Stn15:cast1,GoA2019_Stn15,2019-02-26T00:00:00Z,52.66716666666667,-147.50016666666667,0,NA,NA,cast,Event,EPSG:4326
GoA2019_Stn16:cast1,GoA2019_Stn16,2019-02-26T00:00:00Z,53.66683333333334,-147.49783333333335,0,NA,NA,cast,Event,EPSG:4326
GoA2019_Stn17:cast1,GoA2019_Stn17,2019-02-27T00:00:00Z,54.666,-147.50016666666667,0,NA,NA,cast,Event,EPSG:4326
GoA2019_Stn18:cast1,GoA2019_Stn18,2019-02-27T00:00:00Z,55.66833333333334,-147.49866666666668,0,NA,NA,cast,Event,EPSG:4326
GoA2019_Stn19:cast1,GoA2019_Stn19,2019-02-27T00:00:00Z,56.66733333333333,-147.50333333333333,0,NA,NA,cast,Event,EPSG:4326
GoA2019_Stn20:cast1,GoA2019_Stn20,2019-02-28T00:00:00Z,56.66733333333333,-146.00133333333332,0,NA,NA,cast,Event,EPSG:4326
GoA2019_Stn21:cast1,GoA2019_Stn21,2019-02-28T00:00:00Z,56.66683333333334,-144.5,0,NA,NA,cast,Event,EPSG:4326
GoA2019_Stn22:cast1,GoA2019_Stn22,2019-02-28T00:00:00Z,56.66866666666667,-143.00016666666667,0,NA,NA,cast,Event,EPSG:4326
GoA2019_Stn23:cast1,GoA2019_Stn23,2019-03-01T00:00:00Z,55.66716666666667,-142.99766666666667,0,NA,NA,cast,Event,EPSG:4326
GoA2019_Stn24:cast1,GoA2019_Stn24,2019-03-01T00:00:00Z,55.6655,-144.50083333333333,0,NA,NA,cast,Event,EPSG:4326
GoA2019_Stn25:cast1,GoA2019_Stn25,2019-03-01T00:00:00Z,55.667833333333334,-145.99683333333334,0,NA,NA,cast,Event,EPSG:4326
GoA2019_Stn26:cast1,GoA2019_Stn26,2019-03-02T00:00:00Z,54.669333333333334,-145.99933333333334,0,NA,NA,cast,Event,EPSG:4326
GoA2019_Stn27:cast1,GoA2019_Stn27,2019-03-02T00:00:00Z,53.66616666666667,-145.999,0,NA,NA,cast,Event,EPSG:4326
GoA2019_Stn28:cast1,GoA2019_Stn28,2019-03-02T00:00:00Z,52.6685,-146.00416666666666,0,NA,NA,cast,Event,EPSG:4326
GoA2019_Stn29:cast1,GoA2019_Stn29,2019-03-03T00:00:00Z,51.66716666666667,-146.00016666666667,0,NA,NA,cast,Event,EPSG:4326
GoA2019_Stn30:cast1,GoA2019_Stn30,2019-03-03T00:00:00Z,50.66583333333333,-146.00083333333333,0,NA,NA,cast,Event,EPSG:4326
GoA2019_Stn31:cast1,GoA2019_Stn31,2019-03-03T00:00:00Z,49.6675,-145.99933333333334,0,NA,NA,cast,Event,EPSG:4326
GoA2019_Stn32:cast1,GoA2019_Stn32,2019-03-04T00:00:00Z,48.667,-145.99983333333333,0,NA,NA,cast,Event,EPSG:4326
GoA2019_Stn33:cast1,GoA2019_Stn33,2019-03-04T00:00:00Z,48.665166666666664,-144.50166666666667,0,NA,NA,cast,Event,EPSG:4326
GoA2019_Stn34:cast1,GoA2019_Stn34,2019-03-04T00:00:00Z,49.66683333333334,-144.67,0,NA,NA,cast,Event,EPSG:4326
GoA2019_Stn35:cast1,GoA2019_Stn35,2019-03-05T00:00:00Z,50.667833333333334,-144.50066666666666,0,NA,NA,cast,Event,EPSG:4326
GoA2019_Stn36:cast1,GoA2019_Stn36,2019-03-05T00:00:00Z,51.666666666666664,-144.5,0,NA,NA,cast,Event,EPSG:4326
GoA2019_Stn37:cast1,GoA2019_Stn37,2019-03-05T00:00:00Z,52.666666666666664,-144.49916666666667,0,NA,NA,cast,Event,EPSG:4326
GoA2019_Stn38:cast1,GoA2019_Stn38,2019-03-06T00:00:00Z,53.6655,-144.5005,0,NA,NA,cast,Event,EPSG:4326
GoA2019_Stn39:cast1,GoA2019_Stn39,2019-03-06T00:00:00Z,54.667,-144.49983333333333,0,NA,NA,cast,Event,EPSG:4326
GoA2019_Stn40:cast1,GoA2019_Stn40,2019-03-06T00:00:00Z,54.666666666666664,-143,0,NA,NA,cast,Event,EPSG:4326
