eventID,parentEventID,eventDate,year,month,day,decimalLatitude,decimalLongitude,footprintWKT,coordinateUncertaintyInMeters,minimumDepthInMeters,maximumDepthInMeters,samplingProtocol,locality,locationID,type,fieldNotes
IYS:GoA2019_Stn32:trawl:sample:1345,IYS:GoA2019_Stn32:trawl,2019-03-03T18:21:00Z,2019,3,3,48.39650431208416,-145.55049907401943,"LINESTRING ( -145.582 48.398 , -145.519 48.395 )",2338.5854628456796,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn32:trawl:sample:1346,IYS:GoA2019_Stn32:trawl,2019-03-03T18:21:00Z,2019,3,3,48.39650431208416,-145.55049907401943,"LINESTRING ( -145.582 48.398 , -145.519 48.395 )",2338.5854628456796,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn32:trawl:sample:1347,IYS:GoA2019_Stn32:trawl,2019-03-03T18:21:00Z,2019,3,3,48.39650431208416,-145.55049907401943,"LINESTRING ( -145.582 48.398 , -145.519 48.395 )",2338.5854628456796,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn32:trawl:sample:1348,IYS:GoA2019_Stn32:trawl,2019-03-03T18:21:00Z,2019,3,3,48.39650431208416,-145.55049907401943,"LINESTRING ( -145.582 48.398 , -145.519 48.395 )",2338.5854628456796,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn32:trawl:sample:1349,IYS:GoA2019_Stn32:trawl,2019-03-03T18:21:00Z,2019,3,3,48.39650431208416,-145.55049907401943,"LINESTRING ( -145.582 48.398 , -145.519 48.395 )",2338.5854628456796,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn32:trawl:sample:1350,IYS:GoA2019_Stn32:trawl,2019-03-03T18:21:00Z,2019,3,3,48.39650431208416,-145.55049907401943,"LINESTRING ( -145.582 48.398 , -145.519 48.395 )",2338.5854628456796,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn32:trawl:sample:1351,IYS:GoA2019_Stn32:trawl,2019-03-03T18:21:00Z,2019,3,3,48.39650431208416,-145.55049907401943,"LINESTRING ( -145.582 48.398 , -145.519 48.395 )",2338.5854628456796,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn32:trawl:sample:1352,IYS:GoA2019_Stn32:trawl,2019-03-03T18:21:00Z,2019,3,3,48.39650431208416,-145.55049907401943,"LINESTRING ( -145.582 48.398 , -145.519 48.395 )",2338.5854628456796,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn32:trawl:sample:1353,IYS:GoA2019_Stn32:trawl,2019-03-03T18:21:00Z,2019,3,3,48.39650431208416,-145.55049907401943,"LINESTRING ( -145.582 48.398 , -145.519 48.395 )",2338.5854628456796,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn32:trawl:sample:1354,IYS:GoA2019_Stn32:trawl,2019-03-03T18:21:00Z,2019,3,3,48.39650431208416,-145.55049907401943,"LINESTRING ( -145.582 48.398 , -145.519 48.395 )",2338.5854628456796,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn32:trawl:sample:1355,IYS:GoA2019_Stn32:trawl,2019-03-03T18:21:00Z,2019,3,3,48.39650431208416,-145.55049907401943,"LINESTRING ( -145.582 48.398 , -145.519 48.395 )",2338.5854628456796,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn32:trawl:sample:1356,IYS:GoA2019_Stn32:trawl,2019-03-03T18:21:00Z,2019,3,3,48.39650431208416,-145.55049907401943,"LINESTRING ( -145.582 48.398 , -145.519 48.395 )",2338.5854628456796,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn32:trawl:sample:1357,IYS:GoA2019_Stn32:trawl,2019-03-03T18:21:00Z,2019,3,3,48.39650431208416,-145.55049907401943,"LINESTRING ( -145.582 48.398 , -145.519 48.395 )",2338.5854628456796,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn32:trawl:sample:1358,IYS:GoA2019_Stn32:trawl,2019-03-03T18:21:00Z,2019,3,3,48.39650431208416,-145.55049907401943,"LINESTRING ( -145.582 48.398 , -145.519 48.395 )",2338.5854628456796,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn32:trawl:sample:1359,IYS:GoA2019_Stn32:trawl,2019-03-03T18:21:00Z,2019,3,3,48.39650431208416,-145.55049907401943,"LINESTRING ( -145.582 48.398 , -145.519 48.395 )",2338.5854628456796,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn32:trawl:sample:1360,IYS:GoA2019_Stn32:trawl,2019-03-03T18:21:00Z,2019,3,3,48.39650431208416,-145.55049907401943,"LINESTRING ( -145.582 48.398 , -145.519 48.395 )",2338.5854628456796,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn33:trawl:sample:1361,IYS:GoA2019_Stn33:trawl,2019-03-04T02:25:00Z,2019,3,4,48.43200082678978,-144.27149470205285,"LINESTRING ( -144.258 48.412 , -144.285 48.452 )",2438.046004533399,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn33:trawl:sample:1362,IYS:GoA2019_Stn33:trawl,2019-03-04T02:25:00Z,2019,3,4,48.43200082678978,-144.27149470205285,"LINESTRING ( -144.258 48.412 , -144.285 48.452 )",2438.046004533399,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn33:trawl:sample:1363,IYS:GoA2019_Stn33:trawl,2019-03-04T02:25:00Z,2019,3,4,48.43200082678978,-144.27149470205285,"LINESTRING ( -144.258 48.412 , -144.285 48.452 )",2438.046004533399,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn33:trawl:sample:1364,IYS:GoA2019_Stn33:trawl,2019-03-04T02:25:00Z,2019,3,4,48.43200082678978,-144.27149470205285,"LINESTRING ( -144.258 48.412 , -144.285 48.452 )",2438.046004533399,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn33:trawl:sample:1365,IYS:GoA2019_Stn33:trawl,2019-03-04T02:25:00Z,2019,3,4,48.43200082678978,-144.27149470205285,"LINESTRING ( -144.258 48.412 , -144.285 48.452 )",2438.046004533399,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn33:trawl:sample:1366,IYS:GoA2019_Stn33:trawl,2019-03-04T02:25:00Z,2019,3,4,48.43200082678978,-144.27149470205285,"LINESTRING ( -144.258 48.412 , -144.285 48.452 )",2438.046004533399,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn33:trawl:sample:1367,IYS:GoA2019_Stn33:trawl,2019-03-04T02:25:00Z,2019,3,4,48.43200082678978,-144.27149470205285,"LINESTRING ( -144.258 48.412 , -144.285 48.452 )",2438.046004533399,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn33:trawl:sample:1368,IYS:GoA2019_Stn33:trawl,2019-03-04T02:25:00Z,2019,3,4,48.43200082678978,-144.27149470205285,"LINESTRING ( -144.258 48.412 , -144.285 48.452 )",2438.046004533399,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn33:trawl:sample:1369,IYS:GoA2019_Stn33:trawl,2019-03-04T02:25:00Z,2019,3,4,48.43200082678978,-144.27149470205285,"LINESTRING ( -144.258 48.412 , -144.285 48.452 )",2438.046004533399,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn33:trawl:sample:1370,IYS:GoA2019_Stn33:trawl,2019-03-04T02:25:00Z,2019,3,4,48.43200082678978,-144.27149470205285,"LINESTRING ( -144.258 48.412 , -144.285 48.452 )",2438.046004533399,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn33:trawl:sample:1371,IYS:GoA2019_Stn33:trawl,2019-03-04T02:25:00Z,2019,3,4,48.43200082678978,-144.27149470205285,"LINESTRING ( -144.258 48.412 , -144.285 48.452 )",2438.046004533399,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn33:trawl:sample:1372,IYS:GoA2019_Stn33:trawl,2019-03-04T02:25:00Z,2019,3,4,48.43200082678978,-144.27149470205285,"LINESTRING ( -144.258 48.412 , -144.285 48.452 )",2438.046004533399,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
IYS:GoA2019_Stn33:trawl:sample:1373,IYS:GoA2019_Stn33:trawl,2019-03-04T02:25:00Z,2019,3,4,48.43200082678978,-144.27149470205285,"LINESTRING ( -144.258 48.412 , -144.285 48.452 )",2438.046004533399,0,54.8,surface trawl,Gulf of Alaska,NA,individual sample,NA
