eventID,occurrenceID,occurrenceStatus,organismQuantity,organismQuantityType,scientificName,scientificNameID,identificationQualifier,scientificNameAuthorship,taxonomicStatus,taxonRank,kingdom,phylum,class,order,family,genus.y,lifeStage,sex,occurrenceRemarks
IYS:GoA2019_Stn2:trawl,IYS:GoA2019_Stn2:trawl:occ-13,present,179,individuals,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,NA,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Tarletonbeania,NA,NA,NA
IYS:GoA2019_Stn2:trawl,IYS:GoA2019_Stn2:trawl:occ-14,present,58,individuals,Thysanoessa spinifera,urn:lsid:marinespecies.org:taxname:237874,NA,"Holmes, 1900",accepted,Species,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,NA,NA,NA
IYS:GoA2019_Stn2:trawl:sample:2,IYS:GoA2019_Stn2:trawl:sample:2:occ-2,present,1,individual,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,NA,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,juvenile,NA,NA
IYS:GoA2019_Stn2:trawl:sample:3,IYS:GoA2019_Stn2:trawl:sample:3:occ-3,present,1,individual,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,NA,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,juvenile,NA,NA
IYS:GoA2019_Stn2:trawl:sample:4,IYS:GoA2019_Stn2:trawl:sample:4:occ-4,present,1,individual,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,NA,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,juvenile,NA,NA
IYS:GoA2019_Stn2:trawl:sample:5,IYS:GoA2019_Stn2:trawl:sample:5:occ-5,present,1,individual,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,NA,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,juvenile,NA,NA
IYS:GoA2019_Stn2:trawl:sample:6,IYS:GoA2019_Stn2:trawl:sample:6:occ-6,present,1,individual,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,NA,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,juvenile,NA,NA
IYS:GoA2019_Stn2:trawl:sample:7,IYS:GoA2019_Stn2:trawl:sample:7:occ-7,present,1,individual,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,NA,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,juvenile,NA,NA
IYS:GoA2019_Stn2:trawl:sample:8,IYS:GoA2019_Stn2:trawl:sample:8:occ-8,present,1,individual,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,NA,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,juvenile,NA,NA
IYS:GoA2019_Stn2:trawl:sample:9,IYS:GoA2019_Stn2:trawl:sample:9:occ-9,present,1,individual,Gonatus onyx,urn:lsid:marinespecies.org:taxname:341859,NA,"Young, 1972",accepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Gonatus,juvenile,NA,NA
IYS:GoA2019_Stn2:trawl:sample:10,IYS:GoA2019_Stn2:trawl:sample:10:occ-10,present,1,individual,Microstomus pacificus,urn:lsid:marinespecies.org:taxname:274294,NA,"(Lockington, 1879)",accepted,Species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Microstomus,NA,unknown,NA
IYS:GoA2019_Stn2:trawl:sample:11,IYS:GoA2019_Stn2:trawl:sample:11:occ-11,present,1,individual,Onychoteuthis borealijaponica,urn:lsid:marinespecies.org:taxname:342069,NA,"Okada, 1927",accepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Onychoteuthidae,Onychoteuthis,NA,male,NA
IYS:GoA2019_Stn2:trawl:sample:12,IYS:GoA2019_Stn2:trawl:sample:12:occ-12,present,1,individual,Onychoteuthis borealijaponica,urn:lsid:marinespecies.org:taxname:342069,NA,"Okada, 1927",accepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Onychoteuthidae,Onychoteuthis,juvenile,NA,NA
IYS:GoA2019_Stn2:trawl:sample:13,IYS:GoA2019_Stn2:trawl:sample:13:occ-13,present,1,individual,Onychoteuthis borealijaponica,urn:lsid:marinespecies.org:taxname:342069,NA,"Okada, 1927",accepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Onychoteuthidae,Onychoteuthis,juvenile,NA,NA
IYS:GoA2019_Stn2:trawl:sample:14,IYS:GoA2019_Stn2:trawl:sample:14:occ-14,present,1,individual,Onychoteuthis borealijaponica,urn:lsid:marinespecies.org:taxname:342069,NA,"Okada, 1927",accepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Onychoteuthidae,Onychoteuthis,juvenile,NA,NA
IYS:GoA2019_Stn2:trawl:sample:15,IYS:GoA2019_Stn2:trawl:sample:15:occ-15,present,1,individual,Onychoteuthis borealijaponica,urn:lsid:marinespecies.org:taxname:342069,NA,"Okada, 1927",accepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Onychoteuthidae,Onychoteuthis,juvenile,NA,NA
IYS:GoA2019_Stn2:trawl:sample:16,IYS:GoA2019_Stn2:trawl:sample:16:occ-16,present,1,individual,Phacellophora camtschatica,urn:lsid:marinespecies.org:taxname:135309,NA,"Brandt, 1835",accepted,Species,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Phacellophoridae,Phacellophora,NA,unknown,NA
IYS:GoA2019_Stn2:trawl:sample:17,IYS:GoA2019_Stn2:trawl:sample:17:occ-17,present,1,individual,Phacellophora camtschatica,urn:lsid:marinespecies.org:taxname:135309,NA,"Brandt, 1835",accepted,Species,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Phacellophoridae,Phacellophora,NA,unknown,NA
IYS:GoA2019_Stn2:trawl:sample:18,IYS:GoA2019_Stn2:trawl:sample:18:occ-18,present,1,individual,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,NA,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Tarletonbeania,NA,unknown,NA
IYS:GoA2019_Stn2:trawl:sample:19,IYS:GoA2019_Stn2:trawl:sample:19:occ-19,present,1,individual,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,NA,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Tarletonbeania,NA,unknown,NA
IYS:GoA2019_Stn2:trawl:sample:20,IYS:GoA2019_Stn2:trawl:sample:20:occ-20,present,1,individual,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,NA,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Tarletonbeania,NA,unknown,NA
IYS:GoA2019_Stn2:trawl:sample:21,IYS:GoA2019_Stn2:trawl:sample:21:occ-21,present,1,individual,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,NA,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Tarletonbeania,NA,unknown,NA
IYS:GoA2019_Stn2:trawl:sample:22,IYS:GoA2019_Stn2:trawl:sample:22:occ-22,present,1,individual,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,NA,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Tarletonbeania,NA,unknown,NA
IYS:GoA2019_Stn2:trawl:sample:23,IYS:GoA2019_Stn2:trawl:sample:23:occ-23,present,1,individual,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,NA,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Tarletonbeania,NA,unknown,NA
IYS:GoA2019_Stn2:trawl:sample:24,IYS:GoA2019_Stn2:trawl:sample:24:occ-24,present,1,individual,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,NA,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Tarletonbeania,NA,unknown,NA
IYS:GoA2019_Stn2:trawl:sample:25,IYS:GoA2019_Stn2:trawl:sample:25:occ-25,present,1,individual,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,NA,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Tarletonbeania,NA,unknown,NA
IYS:GoA2019_Stn2:trawl:sample:26,IYS:GoA2019_Stn2:trawl:sample:26:occ-26,present,1,individual,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,NA,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Tarletonbeania,NA,unknown,NA
IYS:GoA2019_Stn2:trawl:sample:27,IYS:GoA2019_Stn2:trawl:sample:27:occ-27,present,1,individual,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,NA,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Tarletonbeania,NA,unknown,NA
IYS:GoA2019_Stn2:trawl:sample:28,IYS:GoA2019_Stn2:trawl:sample:28:occ-28,present,1,individual,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,NA,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Tarletonbeania,NA,unknown,NA
IYS:GoA2019_Stn2:trawl:sample:29,IYS:GoA2019_Stn2:trawl:sample:29:occ-29,present,1,individual,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,NA,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Tarletonbeania,NA,unknown,NA
IYS:GoA2019_Stn2:trawl:sample:30,IYS:GoA2019_Stn2:trawl:sample:30:occ-30,present,1,individual,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,NA,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Tarletonbeania,NA,unknown,NA
IYS:GoA2019_Stn2:trawl:sample:31,IYS:GoA2019_Stn2:trawl:sample:31:occ-31,present,1,individual,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,NA,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Tarletonbeania,NA,unknown,NA
IYS:GoA2019_Stn2:trawl:sample:32,IYS:GoA2019_Stn2:trawl:sample:32:occ-32,present,1,individual,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,NA,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Tarletonbeania,NA,unknown,NA
IYS:GoA2019_Stn2:trawl:sample:33,IYS:GoA2019_Stn2:trawl:sample:33:occ-33,present,1,individual,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,NA,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Tarletonbeania,NA,unknown,NA
IYS:GoA2019_Stn2:trawl:sample:34,IYS:GoA2019_Stn2:trawl:sample:34:occ-34,present,1,individual,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,NA,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Tarletonbeania,NA,unknown,NA
IYS:GoA2019_Stn2:trawl:sample:35,IYS:GoA2019_Stn2:trawl:sample:35:occ-35,present,1,individual,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,NA,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Tarletonbeania,NA,unknown,NA
