eventID,parentEventID,eventDate,decimalLatitude,decimalLongitude,footprintWKT,coordinateUncertaintyInMeters,minimumDepthInMeters,maximumDepthInMeters,year,month,day
IYS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020,IYS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn1,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn2,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn3,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn4,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn6,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn7,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn8,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn9,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn10,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn11,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn12,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn13,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn14,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn16,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn17,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn18,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn20,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn21,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn22,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn23,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn24,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn25,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn26,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn27,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn28,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn34,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn35,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn36,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn37,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn38,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn39,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn40,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn41,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn42,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn43,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn44,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn45,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn46,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn47,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IYS:GoA2020_Stn1:Sample:W1747,IYS:GoA2020_Stn1,2020-03-12T00:00:00Z,48.400599702227574,-127.99614753241687,"LINESTRING ( -128.0575 48.4165 , -127.934833333333 48.3846666666667 )",4874.17245117177, , ,2020,3,12
IYS:GoA2020_Stn2:Sample:W1750,IYS:GoA2020_Stn2,2020-03-13T00:00:00Z,48.388755480023406,-129.47839003158734,"LINESTRING ( -129.5135 48.4275 , -129.443333333333 48.35 )",5031.731961405982, , ,2020,3,13
IYS:GoA2020_Stn3:Sample:W1752,IYS:GoA2020_Stn3,2020-03-15T00:00:00Z,47.380836980942135,-137.01168854350192,"LINESTRING ( -136.983333333333 47.4216666666667 , -137.04 47.34 )",5018.696010680944, , ,2020,3,15
IYS:GoA2020_Stn4:Sample:W1753,IYS:GoA2020_Stn4,2020-03-15T00:00:00Z,47.35916789485459,-138.5274288183568,"LINESTRING ( -138.511666666667 47.4 , -138.543166666667 47.3183333333333 )",4693.09444533224, , ,2020,3,15
IYS:GoA2020_Stn6:Sample:W1756,IYS:GoA2020_Stn6,2020-03-16T00:00:00Z,47.37083482745562,-140.01918072540477,"LINESTRING ( -140.001666666667 47.4133333333333 , -140.036666666667 47.3283333333333 )",4906.451981177034, , ,2020,3,16
IYS:GoA2020_Stn7:Sample:W1758,IYS:GoA2020_Stn7,2020-03-16T00:00:00Z,47.39833447923185,-141.50667896517547,"LINESTRING ( -141.491666666667 47.4416666666667 , -141.521666666667 47.355 )",4949.0194498647, , ,2020,3,16
IYS:GoA2020_Stn8:Sample:W1760,IYS:GoA2020_Stn8,2020-03-17T00:00:00Z,47.395998043180526,-142.50134993100437,"LINESTRING ( -142.98 47.43 , -142.023333333333 47.36 )",36319.948296970375, , ,2020,3,17
IYS:GoA2020_Stn9:Sample:W1761,IYS:GoA2020_Stn9,2020-03-17T00:00:00Z,48.4091845754886,-143.07581551071982,"LINESTRING ( -143.011666666667 48.395 , -143.14 48.4233333333333 )",5004.8563880421525, , ,2020,3,17
IYS:GoA2020_Stn9:Sample:W1762,IYS:GoA2020_Stn9,2020-03-17T00:00:00Z,48.4091845754886,-143.07581551071982,"LINESTRING ( -143.011666666667 48.395 , -143.14 48.4233333333333 )",5004.8563880421525, , ,2020,3,17
IYS:GoA2020_Stn10:Sample:W1764,IYS:GoA2020_Stn10,2020-03-17T00:00:00Z,48.39334855477232,-144.5408449272129,"LINESTRING ( -144.481666666667 48.4033333333333 , -144.6 48.3833333333333 )",4520.563312143585, , ,2020,3,17
IYS:GoA2020_Stn11:Sample:W1766,IYS:GoA2020_Stn11,2020-03-18T00:00:00Z,48.407516978981334,-146.0441758565498,"LINESTRING ( -145.981666666667 48.415 , -146.106666666667 48.4 )",4701.790937163563, , ,2020,3,18
IYS:GoA2020_Stn12:Sample:W1768,IYS:GoA2020_Stn12,2020-03-18T00:00:00Z,48.431666954239816,-147.49583791175303,"LINESTRING ( -147.501666666667 48.3916666666667 , -147.49 48.4716666666667 )",4468.846099056203, , ,2020,3,18
IYS:GoA2020_Stn13:Sample:W1770,IYS:GoA2020_Stn13,2020-03-18T00:00:00Z,49.396681390152,-147.46665482339034,"LINESTRING ( -147.525 49.4066666666667 , -147.408333333333 49.3866666666667 )",4377.97887978884, , ,2020,3,18
IYS:GoA2020_Stn14:Sample:W1772,IYS:GoA2020_Stn14,2020-03-19T00:00:00Z,50.375752908516965,-147.4885599340825,"LINESTRING ( -147.513833333333 50.4198333333333 , -147.463333333333 50.3316666666667 )",5222.276139163386, , ,2020,3,19
IYS:GoA2020_Stn16:Sample:W1774,IYS:GoA2020_Stn16,2020-03-19T00:00:00Z,51.3850171425177,-147.4516413609143,"LINESTRING ( -147.515 51.4033333333333 , -147.388333333333 51.3666666666667 )",4857.903945460189, , ,2020,3,19
IYS:GoA2020_Stn17:Sample:W1776,IYS:GoA2020_Stn17,2020-03-20T00:00:00Z,51.38833666495421,-145.9891456870244,"LINESTRING ( -146.016666666667 51.4233333333333 , -145.961666666667 51.3533333333333 )",4339.043430673271, , ,2020,3,20
IYS:GoA2020_Stn18:Sample:W1778,IYS:GoA2020_Stn18,2020-03-20T00:00:00Z,51.36917474425017,-145.99997404307166,"LINESTRING ( -145.956666666667 51.3416666666667 , -146.043333333333 51.3966666666667 )",4297.343679629662, , ,2020,3,20
IYS:GoA2020_Stn21:Sample:W1782,IYS:GoA2020_Stn21,2020-03-21T00:00:00Z,51.50251990503581,-144.4383395649395,"LINESTRING ( -144.506666666667 51.4983333333333 , -144.37 51.5066666666667 )",4767.433640581453, , ,2020,3,21
IYS:GoA2020_Stn22:Sample:W1783,IYS:GoA2020_Stn22,2020-03-21T00:00:00Z,51.515005326047934,-142.9700268231469,"LINESTRING ( -143.005 51.48 , -142.935 51.55 )",4589.831343217624, , ,2020,3,21
IYS:GoA2020_Stn22:Sample:W1784,IYS:GoA2020_Stn22,2020-03-21T00:00:00Z,51.515005326047934,-142.9700268231469,"LINESTRING ( -143.005 51.48 , -142.935 51.55 )",4589.831343217624, , ,2020,3,21
IYS:GoA2020_Stn23:Sample:W1786,IYS:GoA2020_Stn23,2020-03-22T00:00:00Z,53.36835485746655,-139.96998042029395,"LINESTRING ( -140.041666666667 53.38 , -139.898333333333 53.3566666666667 )",4943.9978674829135, , ,2020,3,22
IYS:GoA2020_Stn24:Sample:W1788,IYS:GoA2020_Stn24,2020-03-24T00:00:00Z,54.38835191723489,-135.48159102784993,"LINESTRING ( -135.548333333333 54.435 , -135.415 54.3416666666667 )",6763.17063101688, , ,2020,3,24
