Type,Name,Description,Image,Reference
Person,Bruce Patten,,,
Person,Shigehiko Urawa,,,
Person,Eric Peterson,,,
Person,Sventlana Eukenselova,,,
Person,Evgeny Pakhomov,,,
Person,Mark Saunders,,,
Person,Brett Johnson,,,
Person,Brian Hunt,,,
Person,Christoph Deeg,,,
Person,Ward Appletans,,,
Person,Maycira Costa,,,
Person,Gennady Kantakov,,,
Person,Kristi Miller,,,
Person,Vladmir Radchenko,,,
Person,Terry Beacham,,,
Person,Chrys Neville,,,
Person,Vishnu Perumthuruthil Suseelan,,,
Person,Charlie Waters,,,
Dataset,Pink stock ID,,,
Dataset,CTD,,,
Dataset,Sockeye stock ID,,,
Dataset,Pathogens,,,
Organization,North Pacific Working Group,,,
Dataset,Fish Trawl Abundance,,,
Organization,NPAFC North Pacific Anadromous Fish Comission,,,
Dataset,POM,,,
Organization,MBON Marine Biodiversity Observation Network,,,
Dataset,Nutrients,,,
Dataset,Real-time Coho stock ID,,,
Organization,NASCO North Atlantic Salmon Conservation Organization,,,
Organization,Tula Foundation,,,
Organization,UN - United Nations,,,
Dataset,Zooplankton [Bongo Net],,,
Organization,CIOOS Pacific,,,
Organization,NOAA National Oceanic and Atmospheric Association,,,
Organization,Ocean Best Practices,,,
Organization,Hakai Institute,,,
Organization,PSF Pacific Salmon Foundation,,,
Dataset,Plastics,,,
Organization,GOOS Global Ocean Observation System,,,
Dataset,Hydroacoustic ,,,
Organization,Tohoku National Fisheries Research Institute,,,
Organization,Theme counsel groups,,,
Dataset,Satellite chl-a,,,
Organization,North Pacific Steering Committtee,,,
Organization,PICES North Pacific Marine Sciences Organization,,,
Organization,IYS International Year of the Salmon,,,
Organization,OBIS Ocean Biogeographiv Information System,,,
Dataset,Fish energy density,,,
Organization,TINRO - Russian Pacific Federal Fisheries Research Institute,,,
Organization,ONC Ocean Networks Canada,,,
Dataset,Salmon diet data,,,
Dataset,HPLC,,,
Dataset,Phytoplankton Biomass,,,
Organization,OBIS Ocean Biogeographic Information System,,,
Organization,Data Standards Study Group,,,
Dataset,Coho stock ID,,,
Dataset,Chlorophyll-a,,,
Dataset,Chinook stock ID,,,
Dataset,eDNA,,,
Organization,IOC Intergovernmental Oceanographic Commission,,,
Organization,UBC University of British Columbia,,,
Organization,GBIF Global Biodiversity Information Facility,,,
Dataset,Zooplankton [Juday net],,,
Organization,Institute of Oceans and Fisheries,,,
Organization,UVic University of Victoria,,,
Organization,DFO Department of Fisheries and Oceans Canada,,,
Dataset,Chlorophyll-a,,,
Dataset,Oxygen,,,
Dataset,Chum stock ID,,,
Organization,CIOOS,,,
Organization,UNESCO,,,
