eventID,measurementID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID
IYS:GoA2020_Stn1:trawl,IYS:GoA2020_Stn1:trawl:bottom_depth_at_15_min,bottom_depth_at_15_min,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0481/,2600,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn1:trawl,IYS:GoA2020_Stn1:trawl:bottom_depth_at_30_min,bottom_depth_at_30_min,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0481/,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn1:trawl,IYS:GoA2020_Stn1:trawl:bottom_depth_at_45_min,bottom_depth_at_45_min,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0481/,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn1:trawl,IYS:GoA2020_Stn1:trawl:bottom_depth_at_end,bottom_depth_at_end,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0481/,2600,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn2:trawl,IYS:GoA2020_Stn2:trawl:bottom_depth_at_15_min,bottom_depth_at_15_min,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0481/,2000,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn2:trawl,IYS:GoA2020_Stn2:trawl:bottom_depth_at_30_min,bottom_depth_at_30_min,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0481/,2000,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn2:trawl,IYS:GoA2020_Stn2:trawl:bottom_depth_at_45_min,bottom_depth_at_45_min,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0481/,2000,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn2:trawl,IYS:GoA2020_Stn2:trawl:bottom_depth_at_end,bottom_depth_at_end,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0481/,2000,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn3:trawl,IYS:GoA2020_Stn3:trawl:bottom_depth_at_15_min,bottom_depth_at_15_min,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0481/,4100,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn3:trawl,IYS:GoA2020_Stn3:trawl:bottom_depth_at_30_min,bottom_depth_at_30_min,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0481/,4100,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn3:trawl,IYS:GoA2020_Stn3:trawl:bottom_depth_at_45_min,bottom_depth_at_45_min,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0481/,4100,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn3:trawl,IYS:GoA2020_Stn3:trawl:bottom_depth_at_end,bottom_depth_at_end,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0481/,4100,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn4:trawl,IYS:GoA2020_Stn4:trawl:bottom_depth_at_15_min,bottom_depth_at_15_min,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0481/,4150,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn4:trawl,IYS:GoA2020_Stn4:trawl:bottom_depth_at_30_min,bottom_depth_at_30_min,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0481/,4150,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn4:trawl,IYS:GoA2020_Stn4:trawl:bottom_depth_at_45_min,bottom_depth_at_45_min,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0481/,4150,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn4:trawl,IYS:GoA2020_Stn4:trawl:bottom_depth_at_end,bottom_depth_at_end,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0481/,4150,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn5:trawl,IYS:GoA2020_Stn5:trawl:bottom_depth_at_15_min,bottom_depth_at_15_min,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0481/,4200,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn5:trawl,IYS:GoA2020_Stn5:trawl:bottom_depth_at_30_min,bottom_depth_at_30_min,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0481/,4200,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn5:trawl,IYS:GoA2020_Stn5:trawl:bottom_depth_at_45_min,bottom_depth_at_45_min,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0481/,4200,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn5:trawl,IYS:GoA2020_Stn5:trawl:bottom_depth_at_end,bottom_depth_at_end,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0481/,4200,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn6:trawl,IYS:GoA2020_Stn6:trawl:bottom_depth_at_15_min,bottom_depth_at_15_min,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0481/,4200,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn6:trawl,IYS:GoA2020_Stn6:trawl:bottom_depth_at_30_min,bottom_depth_at_30_min,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0481/,4200,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn6:trawl,IYS:GoA2020_Stn6:trawl:bottom_depth_at_45_min,bottom_depth_at_45_min,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0481/,4200,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn6:trawl,IYS:GoA2020_Stn6:trawl:bottom_depth_at_end,bottom_depth_at_end,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0481/,4200,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn7:trawl,IYS:GoA2020_Stn7:trawl:bottom_depth_at_15_min,bottom_depth_at_15_min,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0481/,4300,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn7:trawl,IYS:GoA2020_Stn7:trawl:bottom_depth_at_30_min,bottom_depth_at_30_min,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0481/,4300,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn7:trawl,IYS:GoA2020_Stn7:trawl:bottom_depth_at_45_min,bottom_depth_at_45_min,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0481/,4300,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn7:trawl,IYS:GoA2020_Stn7:trawl:bottom_depth_at_end,bottom_depth_at_end,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0481/,4300,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn8:trawl,IYS:GoA2020_Stn8:trawl:bottom_depth_at_15_min,bottom_depth_at_15_min,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0481/,4400,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn8:trawl,IYS:GoA2020_Stn8:trawl:bottom_depth_at_30_min,bottom_depth_at_30_min,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0481/,4400,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn8:trawl,IYS:GoA2020_Stn8:trawl:bottom_depth_at_45_min,bottom_depth_at_45_min,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0481/,4400,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn8:trawl,IYS:GoA2020_Stn8:trawl:bottom_depth_at_end,bottom_depth_at_end,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0481/,4400,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn9:trawl,IYS:GoA2020_Stn9:trawl:bottom_depth_at_15_min,bottom_depth_at_15_min,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0481/,4300,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn9:trawl,IYS:GoA2020_Stn9:trawl:bottom_depth_at_30_min,bottom_depth_at_30_min,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0481/,4300,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn9:trawl,IYS:GoA2020_Stn9:trawl:bottom_depth_at_45_min,bottom_depth_at_45_min,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0481/,4300,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn9:trawl,IYS:GoA2020_Stn9:trawl:bottom_depth_at_end,bottom_depth_at_end,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0481/,4300,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
