occurrenceID,measurementID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID,measurementMethod
IYS:GoA2020_Stn1:trawl:occ-9,IYS:GoA2020_Stn1:trawl:occ-9-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.001,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,total
IYS:GoA2020_Stn1:trawl:occ-10,IYS:GoA2020_Stn1:trawl:occ-10-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,20,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020_Stn1:trawl:occ-10,IYS:GoA2020_Stn1:trawl:occ-10-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.003,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,total
IYS:GoA2020_Stn1:trawl:occ-11,IYS:GoA2020_Stn1:trawl:occ-11-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020_Stn1:trawl:occ-11,IYS:GoA2020_Stn1:trawl:occ-11-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.001,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,total
IYS:GoA2020_Stn1:trawl:occ-12,IYS:GoA2020_Stn1:trawl:occ-12-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,33,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020_Stn1:trawl:occ-12,IYS:GoA2020_Stn1:trawl:occ-12-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.015,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,total
IYS:GoA2020_Stn1:trawl:occ-13,IYS:GoA2020_Stn1:trawl:occ-13-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,51,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020_Stn1:trawl:occ-13,IYS:GoA2020_Stn1:trawl:occ-13-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.018,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,total
IYS:GoA2020_Stn1:trawl:occ-14,IYS:GoA2020_Stn1:trawl:occ-14-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020_Stn1:trawl:occ-14,IYS:GoA2020_Stn1:trawl:occ-14-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,NA,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,NA
IYS:GoA2020_Stn2:trawl:occ-15,IYS:GoA2020_Stn2:trawl:occ-15-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,NA,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2020_Stn2:trawl:occ-15,IYS:GoA2020_Stn2:trawl:occ-15-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,1.473,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,total
IYS:GoA2020_Stn2:trawl:occ-16,IYS:GoA2020_Stn2:trawl:occ-16-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,7,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020_Stn2:trawl:occ-16,IYS:GoA2020_Stn2:trawl:occ-16-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.022,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,total
IYS:GoA2020_Stn3:trawl:occ-17,IYS:GoA2020_Stn3:trawl:occ-17-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,126,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
