eventID,occurrenceID,occurrenceStatus,organismQuantity,scientificName,scientificNameID,scientificNameAuthorship,taxonomicStatus,taxonRank,parentNameUsageID,kingdom,phylum,class,order,family,genus,lifeStage
IYS:GoA2020_Stn1:trawl,IYS:GoA2020_Stn1:trawl:occ:11,present,1,Salpa,urn:lsid:marinespecies.org:taxname:137233,"Forskål, 1775",accepted,Genus,720267,Animalia,Chordata,Thaliacea,Salpida,Salpidae,Salpa,NA
IYS:GoA2020_Stn1:trawl,IYS:GoA2020_Stn1:trawl:occ:12,present,33,Stenobrachius leucopsarus,urn:lsid:marinespecies.org:taxname:254363,"(Eigenmann & Eigenmann, 1890)",accepted,Species,254362,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Stenobrachius,NA
IYS:GoA2020_Stn1:trawl,IYS:GoA2020_Stn1:trawl:occ:13,present,51,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,"(Jordan & Gilbert, 1880)",accepted,Species,271040,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Tarletonbeania,NA
IYS:GoA2020_Stn1:trawl,IYS:GoA2020_Stn1:trawl:occ:14,present,1,Symbolophorus californiensis,urn:lsid:marinespecies.org:taxname:272733,"(Eigenmann & Eigenmann, 1889)",accepted,Species,125833,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Symbolophorus,NA
IYS:GoA2020_Stn2:trawl,IYS:GoA2020_Stn2:trawl:occ:15,present,NA,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",accepted,Genus,13553,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA
IYS:GoA2020_Stn2:trawl,IYS:GoA2020_Stn2:trawl:occ:16,present,7,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,106344,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,NA
IYS:GoA2020_Stn3:trawl,IYS:GoA2020_Stn3:trawl:occ:17,present,126,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,"(Walbaum, 1792)",accepted,Species,126140,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,NA
IYS:GoA2020_Stn3:trawl,IYS:GoA2020_Stn3:trawl:occ:18,present,165,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,"(Walbaum, 1792)",accepted,Species,126140,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,NA
IYS:GoA2020_Stn4:trawl,IYS:GoA2020_Stn4:trawl:occ:19,present,8,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,106344,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,NA
IYS:GoA2020_Stn4:trawl,IYS:GoA2020_Stn4:trawl:occ:20,present,10,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,"(Walbaum, 1792)",accepted,Species,126140,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,NA
IYS:GoA2020_Stn4:trawl,IYS:GoA2020_Stn4:trawl:occ:21,present,96,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,"(Walbaum, 1792)",accepted,Species,126140,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,NA
IYS:GoA2020_Stn4:trawl,IYS:GoA2020_Stn4:trawl:occ:22,present,6,Symbolophorus californiensis,urn:lsid:marinespecies.org:taxname:272733,"(Eigenmann & Eigenmann, 1889)",accepted,Species,125833,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Symbolophorus,NA
IYS:GoA2020_Stn4:trawl,IYS:GoA2020_Stn4:trawl:occ:23,present,301,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,"(Jordan & Gilbert, 1880)",accepted,Species,271040,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Tarletonbeania,NA
IYS:GoA2020_Stn4:trawl,IYS:GoA2020_Stn4:trawl:occ:24,present,44,Abraliopsis felis,urn:lsid:marinespecies.org:taxname:341849,"McGowan & Okutani, 1968",alternate representation,Species,137931,Animalia,Mollusca,Cephalopoda,Oegopsida,Enoploteuthidae,Abraliopsis,NA
IYS:GoA2020_Stn4:trawl,IYS:GoA2020_Stn4:trawl:occ:25,present,2,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,"(Sasaki, 1923)",unaccepted,Species,1468831,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,NA
IYS:GoA2020_Stn4:trawl,IYS:GoA2020_Stn4:trawl:occ:26,present,1,Okutania anonycha,urn:lsid:marinespecies.org:taxname:1468871,"(Pearcy & Voss, 1963)",unaccepted,Species,1468848,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Okutania,NA
IYS:GoA2020_Stn4:trawl,IYS:GoA2020_Stn4:trawl:occ:27,present,15,Onychoteuthis borealijaponica,urn:lsid:marinespecies.org:taxname:342069,"Okada, 1927",accepted,Species,138291,Animalia,Mollusca,Cephalopoda,Oegopsida,Onychoteuthidae,Onychoteuthis,NA
IYS:GoA2020_Stn4:trawl,IYS:GoA2020_Stn4:trawl:occ:28,present,NA,Corolla calceola,urn:lsid:marinespecies.org:taxname:532663,"(A. E. Verrill, 1880)",accepted,Species,137873,Animalia,Mollusca,Gastropoda,Pteropoda,Cymbuliidae,Corolla,NA
