eventID,occurrenceID,measurementID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID
IYS:GoA2020_Stn:8:bongo:Net2,NA,IYS:GoA2020_Stn:8:bongo:Net2:volume_filtered_depth_estimate,volume_filtered_depth_estimate, ,49.0625,NA,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/
IYS:GoA2020_Stn:8:bongo:Net2,NA,IYS:GoA2020_Stn:8:bongo:Net2:speed_tow,speed_tow,http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,1,NA,m/s,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/
IYS:GoA2020_Stn:9:bongo:Net1,NA,IYS:GoA2020_Stn:9:bongo:Net1:tow_distance,tow_distance,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,212.5466785,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:9:bongo:Net1,NA,IYS:GoA2020_Stn:9:bongo:Net1:volume_filtered_flowmeter,volume_filtered_flowmeter,http://vocab.nerc.ac.uk/collection/P09/current/VOLF/,41.71228566,NA,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/
IYS:GoA2020_Stn:9:bongo:Net1,NA,IYS:GoA2020_Stn:9:bongo:Net1:volume_filtered_depth_estimate,volume_filtered_depth_estimate, ,49.0625,NA,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/
IYS:GoA2020_Stn:9:bongo:Net1,NA,IYS:GoA2020_Stn:9:bongo:Net1:speed_tow,speed_tow,http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,1,NA,m/s,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/
IYS:GoA2020_Stn:9:bongo:Net2,NA,IYS:GoA2020_Stn:9:bongo:Net2:tow_distance,tow_distance,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,211.4985915,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:9:bongo:Net2,NA,IYS:GoA2020_Stn:9:bongo:Net2:volume_filtered_flowmeter,volume_filtered_flowmeter,http://vocab.nerc.ac.uk/collection/P09/current/VOLF/,41.50659858,NA,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/
IYS:GoA2020_Stn:9:bongo:Net2,NA,IYS:GoA2020_Stn:9:bongo:Net2:volume_filtered_depth_estimate,volume_filtered_depth_estimate, ,49.0625,NA,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/
IYS:GoA2020_Stn:9:bongo:Net2,NA,IYS:GoA2020_Stn:9:bongo:Net2:speed_tow,speed_tow,http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,1,NA,m/s,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/
IYS:GoA2020_Stn::bongo:Net1,NA,IYS:GoA2020_Stn::bongo:Net1:tow_distance,tow_distance,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,189.7575038,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn::bongo:Net1,NA,IYS:GoA2020_Stn::bongo:Net1:volume_filtered_flowmeter,volume_filtered_flowmeter,http://vocab.nerc.ac.uk/collection/P09/current/VOLF/,37.23991011,NA,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/
IYS:GoA2020_Stn::bongo:Net1,NA,IYS:GoA2020_Stn::bongo:Net1:volume_filtered_depth_estimate,volume_filtered_depth_estimate, ,49.0625,NA,m^3,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/
IYS:GoA2020_Stn::bongo:Net1,NA,IYS:GoA2020_Stn::bongo:Net1:speed_tow,speed_tow,http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,1,NA,m/s,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/
