eventID,parentEventID,eventDate,decimalLatitude,decimalLongitude,minimumDepthInMetres,maximumDepthInMetres,sampleSizeValue,eventRemarks,sampleSizeUnit,samplingProtocol,samplingEffort,footprintWKT,coordinateUncertaintyInMeters,type,geodeticDatum
IYS:GoA2020_Stn:AK,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:AL,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:AM,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:I,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:AV,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:AW,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:AX,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:1:bongo:Net1,IYS:GoA2020_Stn:1,2020-03-13T02:45:00Z,48.3975,-127.99611666666667,250,250,96.72566938,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -127.996116666667   48.3975 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:1:bongo:Net2,IYS:GoA2020_Stn:1,2020-03-13T02:45:00Z,48.3975,-127.99611666666667,250,250,97.8701334,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -127.996116666667   48.3975 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:2:bongo:Net1,IYS:GoA2020_Stn:2,2020-03-13T13:50:00Z,48.3758333333333,-129.51333333333332,250,250,88.15537424,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -129.513333333333   48.3758333333333 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:2:bongo:Net2,IYS:GoA2020_Stn:2,2020-03-13T13:50:00Z,48.3758333333333,-129.51333333333332,250,250,"NA",Cod end became dislodged at some point so it surfaced partially open. Sample was no longer quantitative so 7 species were picked for FA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -129.513333333333   48.3758333333333 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:3:bongo:Net1,IYS:GoA2020_Stn:3,2020-03-15T17:10:00Z,47.4338333333333,-136.958,250,250,79.91206883,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -136.958   47.4338333333333 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:3:bongo:Net2,IYS:GoA2020_Stn:3,2020-03-15T17:10:00Z,47.4338333333333,-136.958,250,250,93.07604216,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -136.958   47.4338333333333 ),0,PreservedSpecimen,EPSG:4326 WGS84
