eventID,occurrenceID,occurrenceStatus,scientificName,scientificNameID,organismQuantity,scientificAuthorityName,taxonRank,taxonomicStatus,lifeStage,sex,parentNameUsageID,kingdom,phylum,class,order,family,genus,occurrenceRemarks
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:1,present,Aequorea victoria,urn:lsid:marinespecies.org:taxname:283998,1,"(Murbach & Shearer, 1902)",Species,accepted,NA,NA,116998,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:2,present,Aglantha digitale,urn:lsid:marinespecies.org:taxname:117849,22,"(O. F. Müller, 1776)",Species,accepted,NA,NA,117212,Animalia,Cnidaria,Hydrozoa,Trachymedusae,Rhopalonematidae,Aglantha,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:3,present,Bathylagus pacificus,urn:lsid:marinespecies.org:taxname:272919,1,"Gilbert, 1890",Species,accepted,larva,NA,125888,Animalia,Chordata,Actinopterygii,Argentiniformes,Bathylagidae,Bathylagus,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:4,present,Chaetognatha,urn:lsid:marinespecies.org:taxname:2081,29,NA,Phylum,accepted,NA,NA,2,Animalia,Chaetognatha,NA,NA,NA,NA,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:5,present,Chelophyes appendiculata,urn:lsid:marinespecies.org:taxname:135417,1,"(Eschscholtz, 1829)",Species,accepted,NA,NA,135360,Animalia,Cnidaria,Hydrozoa,Siphonophorae,Diphyidae,Chelophyes,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:6,present,Clione limacina,urn:lsid:marinespecies.org:taxname:139178,1,"(Phipps, 1774)",Species,accepted,NA,NA,137793,Animalia,Mollusca,Gastropoda,Pteropoda,Clionidae,Clione,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:7,present,Corolla spectabilis,urn:lsid:marinespecies.org:taxname:139492,5,"Dall, 1871",Species,accepted,NA,NA,137873,Animalia,Mollusca,Gastropoda,Pteropoda,Cymbuliidae,Corolla,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:8,present,Doliolidae,urn:lsid:marinespecies.org:taxname:137215,6,"Bronn, 1862",Family,accepted,NA,NA,719942,Animalia,Chordata,Thaliacea,Doliolida,Doliolidae,NA,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:9,present,Eucalanus bungii,urn:lsid:marinespecies.org:taxname:196775,2,"Giesbrecht, 1893",Species,accepted,C5,F,104171,Animalia,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,Eucalanus,NA
IYS:GoA2020_Stn:1,IYS:GoA2020_Stn:1:bongo_occ:10,present,Eucalanus bungii,urn:lsid:marinespecies.org:taxname:196775,49,"Giesbrecht, 1893",Species,accepted,C6,F,104171,Animalia,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,Eucalanus,NA
