eventID,parentEventID,eventDate,decimalLatitude,decimalLongitude,footprintWKT,minimumDepthInMeters,maximumDepthInMeters,eventRemarks,type,geodeticDatum,samplingProtocol,occurrenceID,occurrenceStatus,scientificName,scientificNameID,scientificNameAuthorship,taxonomicStatus,taxonomicRank,parentNameUsageID,kingdom,phylum,class,order,family,genus,organismQuantity,organismQuantityType,basisOfRecord,associatedTaxa,institutionCode,collectionCode,catalogNumber,preparations
GoA2019,NA,NA,NA,NA,NA,NA,NA,cruise,HumanObservation,EPSG:4326, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,, , , , 
GoA2019_Stn3,GoA2019,NA,NA,NA,NA,NA,NA,station,HumanObservation,EPSG:4326, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,, , , , 
GoA2019_Stn4,GoA2019,NA,NA,NA,NA,NA,NA,station,HumanObservation,EPSG:4326, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,, , , , 
GoA2019_Stn5,GoA2019,NA,NA,NA,NA,NA,NA,station,HumanObservation,EPSG:4326, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,, , , , 
GoA2019_Stn6,GoA2019,NA,NA,NA,NA,NA,NA,station,HumanObservation,EPSG:4326, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,, , , , 
GoA2019_Stn8,GoA2019,NA,NA,NA,NA,NA,NA,station,HumanObservation,EPSG:4326, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,, , , , 
GoA2019_Stn9,GoA2019,NA,NA,NA,NA,NA,NA,station,HumanObservation,EPSG:4326, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,, , , , 
GoA2019_Stn10,GoA2019,NA,NA,NA,NA,NA,NA,station,HumanObservation,EPSG:4326, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,, , , , 
GoA2019_Stn11,GoA2019,NA,NA,NA,NA,NA,NA,station,HumanObservation,EPSG:4326, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,, , , , 
GoA2019_Stn12,GoA2019,NA,NA,NA,NA,NA,NA,station,HumanObservation,EPSG:4326, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,, , , , 
GoA2019_Stn13,GoA2019,NA,NA,NA,NA,NA,NA,station,HumanObservation,EPSG:4326, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,, , , , 
