measurementID,measurementType,measurementTypeID,measurementValue,measurementUnit,measurementUnitID
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:1-p:Comparative Feeding Index (CFI),Comparative Feeding Index (CFI), ,0.388601036,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:1-p:Forklength,Forklength,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,36,cm,http://vocab.nerc.ac.uk/collection/P06/current/ULCM/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:1-p:Gut Fullness Index (GFI),Gut Fullness Index (GFI), ,0.388601036,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:1-p:Mass,Mass,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,386,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:1-p:Mass digested food (unidentified),Mass digested food (unidentified),http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,NA,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:1-p:Mass stomach content,Mass stomach content,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,1.5,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:1-p:Stomachs examined,Stomachs examined, ,1,stomachs,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:1-pr1:Mass,Mass,NA,1.2,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:1-pr2:Mass,Mass,NA,0.3,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus kisutch:1-p:Comparative Feeding Index (CFI),Comparative Feeding Index (CFI), ,0,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
GoA2019_Stn3:trawl1:Oncorhynchus kisutch:1-p:Forklength,Forklength,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,39.1,cm,http://vocab.nerc.ac.uk/collection/P06/current/ULCM/
GoA2019_Stn3:trawl1:Oncorhynchus kisutch:1-p:Gut Fullness Index (GFI),Gut Fullness Index (GFI), ,0,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
GoA2019_Stn3:trawl1:Oncorhynchus kisutch:1-p:Mass,Mass,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,647,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus kisutch:1-p:Mass digested food (unidentified),Mass digested food (unidentified),http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,NA,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus kisutch:1-p:Mass stomach content,Mass stomach content,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,0,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus kisutch:1-p:Stomachs examined,Stomachs examined, ,1,stomachs,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/
GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:1-p:Comparative Feeding Index (CFI),Comparative Feeding Index (CFI), ,0,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:1-p:Forklength,Forklength,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,28.3,cm,http://vocab.nerc.ac.uk/collection/P06/current/ULCM/
GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:1-p:Gut Fullness Index (GFI),Gut Fullness Index (GFI), ,0,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:1-p:Mass,Mass,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,190,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:1-p:Mass digested food (unidentified),Mass digested food (unidentified),http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,NA,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:1-p:Mass stomach content,Mass stomach content,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,0,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:1-p:Stomachs examined,Stomachs examined, ,1,stomachs,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/
GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:2-p:Comparative Feeding Index (CFI),Comparative Feeding Index (CFI), ,0.206043956,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:2-p:Forklength,Forklength,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,35.1,cm,http://vocab.nerc.ac.uk/collection/P06/current/ULCM/
GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:2-p:Gut Fullness Index (GFI),Gut Fullness Index (GFI), ,1.442307692,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:2-p:Mass,Mass,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,416,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:2-p:Mass digested food (unidentified),Mass digested food (unidentified),http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,NA,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:2-p:Mass stomach content,Mass stomach content,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,6,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:2-p:Stomachs examined,Stomachs examined, ,7,stomachs,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/
GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:2-pr1:Mass,Mass,NA,1.5,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:2-pr2:Mass,Mass,NA,1.8,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:2-pr3:Mass,Mass,NA,0.3,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:2-pr4:Mass,Mass,NA,2.4,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn5:trawl1:Oncorhynchus gorbuscha:1-p:Comparative Feeding Index (CFI),Comparative Feeding Index (CFI), ,0.530397022,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
GoA2019_Stn5:trawl1:Oncorhynchus gorbuscha:1-p:Forklength,Forklength,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,34.8,cm,http://vocab.nerc.ac.uk/collection/P06/current/ULCM/
GoA2019_Stn5:trawl1:Oncorhynchus gorbuscha:1-p:Gut Fullness Index (GFI),Gut Fullness Index (GFI), ,1.060794045,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
GoA2019_Stn5:trawl1:Oncorhynchus gorbuscha:1-p:Mass,Mass,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,403,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn5:trawl1:Oncorhynchus gorbuscha:1-p:Mass digested food (unidentified),Mass digested food (unidentified),http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,NA,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn5:trawl1:Oncorhynchus gorbuscha:1-p:Mass stomach content,Mass stomach content,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,4.275,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn5:trawl1:Oncorhynchus gorbuscha:1-p:Stomachs examined,Stomachs examined, ,2,stomachs,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/
GoA2019_Stn5:trawl1:Oncorhynchus gorbuscha:1-pr1:Mass,Mass,NA,1.08,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn5:trawl1:Oncorhynchus gorbuscha:1-pr2:Mass,Mass,NA,1.8,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn5:trawl1:Oncorhynchus gorbuscha:1-pr3:Mass,Mass,NA,1.35,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn5:trawl1:Oncorhynchus gorbuscha:1-pr4:Mass,Mass,NA,0.045,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn5:trawl1:Oncorhynchus keta:1-p:Comparative Feeding Index (CFI),Comparative Feeding Index (CFI), ,3.019323671,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
GoA2019_Stn5:trawl1:Oncorhynchus keta:1-p:Forklength,Forklength,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,27.3,cm,http://vocab.nerc.ac.uk/collection/P06/current/ULCM/
GoA2019_Stn5:trawl1:Oncorhynchus keta:1-p:Gut Fullness Index (GFI),Gut Fullness Index (GFI), ,6.038647343,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
GoA2019_Stn5:trawl1:Oncorhynchus keta:1-p:Mass,Mass,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,207,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn5:trawl1:Oncorhynchus keta:1-p:Mass digested food (unidentified),Mass digested food (unidentified),http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,NA,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn5:trawl1:Oncorhynchus keta:1-p:Mass stomach content,Mass stomach content,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,12.5,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn5:trawl1:Oncorhynchus keta:1-p:Stomachs examined,Stomachs examined, ,2,stomachs,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/
GoA2019_Stn5:trawl1:Oncorhynchus keta:1-pr1:Mass,Mass,NA,12.5,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn5:trawl1:Oncorhynchus kisutch:1-p:Comparative Feeding Index (CFI),Comparative Feeding Index (CFI), ,0.225127088,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
GoA2019_Stn5:trawl1:Oncorhynchus kisutch:1-p:Forklength,Forklength,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,43.5,cm,http://vocab.nerc.ac.uk/collection/P06/current/ULCM/
GoA2019_Stn5:trawl1:Oncorhynchus kisutch:1-p:Gut Fullness Index (GFI),Gut Fullness Index (GFI), ,1.350762527,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
GoA2019_Stn5:trawl1:Oncorhynchus kisutch:1-p:Mass,Mass,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,918,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn5:trawl1:Oncorhynchus kisutch:1-p:Mass digested food (unidentified),Mass digested food (unidentified),http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,NA,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn5:trawl1:Oncorhynchus kisutch:1-p:Mass stomach content,Mass stomach content,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,12.4,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn5:trawl1:Oncorhynchus kisutch:1-p:Stomachs examined,Stomachs examined, ,6,stomachs,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/
GoA2019_Stn5:trawl1:Oncorhynchus kisutch:1-pr1:Mass,Mass,NA,7.44,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn5:trawl1:Oncorhynchus kisutch:1-pr2:Mass,Mass,NA,1.86,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn5:trawl1:Oncorhynchus kisutch:1-pr3:Mass,Mass,NA,1.86,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn6:trawl1:Oncorhynchus gorbuscha:1-p:Comparative Feeding Index (CFI),Comparative Feeding Index (CFI), ,0.008023256,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
GoA2019_Stn6:trawl1:Oncorhynchus gorbuscha:1-p:Forklength,Forklength,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,33.3,cm,http://vocab.nerc.ac.uk/collection/P06/current/ULCM/
GoA2019_Stn6:trawl1:Oncorhynchus gorbuscha:1-p:Gut Fullness Index (GFI),Gut Fullness Index (GFI), ,0.040116279,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
GoA2019_Stn6:trawl1:Oncorhynchus gorbuscha:1-p:Mass,Mass,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,344,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn6:trawl1:Oncorhynchus gorbuscha:1-p:Mass digested food (unidentified),Mass digested food (unidentified),http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,NA,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn6:trawl1:Oncorhynchus gorbuscha:1-p:Mass stomach content,Mass stomach content,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,0.138,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn6:trawl1:Oncorhynchus gorbuscha:1-p:Stomachs examined,Stomachs examined, ,5,stomachs,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/
GoA2019_Stn6:trawl1:Oncorhynchus gorbuscha:1-pr1:Mass,Mass,NA,0.003,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn6:trawl1:Oncorhynchus gorbuscha:1-pr2:Mass,Mass,NA,0.045,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn6:trawl1:Oncorhynchus gorbuscha:1-pr3:Mass,Mass,NA,0.015,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn6:trawl1:Oncorhynchus gorbuscha:1-pr4:Mass,Mass,NA,0.06,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn6:trawl1:Oncorhynchus gorbuscha:1-pr5:Mass,Mass,NA,0.015,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn6:trawl1:Oncorhynchus keta:1-p:Comparative Feeding Index (CFI),Comparative Feeding Index (CFI), ,0.966183575,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
GoA2019_Stn6:trawl1:Oncorhynchus keta:1-p:Forklength,Forklength,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,27.3,cm,http://vocab.nerc.ac.uk/collection/P06/current/ULCM/
GoA2019_Stn6:trawl1:Oncorhynchus keta:1-p:Gut Fullness Index (GFI),Gut Fullness Index (GFI), ,1.93236715,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
GoA2019_Stn6:trawl1:Oncorhynchus keta:1-p:Mass,Mass,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,207,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn6:trawl1:Oncorhynchus keta:1-p:Mass digested food (unidentified),Mass digested food (unidentified),http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,4,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn6:trawl1:Oncorhynchus keta:1-p:Mass stomach content,Mass stomach content,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,4,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn6:trawl1:Oncorhynchus keta:1-p:Stomachs examined,Stomachs examined, ,2,stomachs,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/
GoA2019_Stn8:trawl1:Oncorhynchus keta:1-p:Comparative Feeding Index (CFI),Comparative Feeding Index (CFI), ,0,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
GoA2019_Stn8:trawl1:Oncorhynchus keta:1-p:Forklength,Forklength,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,47.6,cm,http://vocab.nerc.ac.uk/collection/P06/current/ULCM/
GoA2019_Stn8:trawl1:Oncorhynchus keta:1-p:Gut Fullness Index (GFI),Gut Fullness Index (GFI), ,0,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
GoA2019_Stn8:trawl1:Oncorhynchus keta:1-p:Mass,Mass,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,930,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn8:trawl1:Oncorhynchus keta:1-p:Mass digested food (unidentified),Mass digested food (unidentified),http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,NA,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn8:trawl1:Oncorhynchus keta:1-p:Mass stomach content,Mass stomach content,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,0,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn8:trawl1:Oncorhynchus keta:1-p:Stomachs examined,Stomachs examined, ,2,stomachs,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/
GoA2019_Stn8:trawl1:Oncorhynchus keta:2-p:Comparative Feeding Index (CFI),Comparative Feeding Index (CFI), ,0.208561853,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
GoA2019_Stn8:trawl1:Oncorhynchus keta:2-p:Forklength,Forklength,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,54.1,cm,http://vocab.nerc.ac.uk/collection/P06/current/ULCM/
GoA2019_Stn8:trawl1:Oncorhynchus keta:2-p:Gut Fullness Index (GFI),Gut Fullness Index (GFI), ,0.83424741,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
GoA2019_Stn8:trawl1:Oncorhynchus keta:2-p:Mass,Mass,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,1641,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn8:trawl1:Oncorhynchus keta:2-p:Mass digested food (unidentified),Mass digested food (unidentified),http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,1.1,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn8:trawl1:Oncorhynchus keta:2-p:Mass stomach content,Mass stomach content,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,13.69,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn8:trawl1:Oncorhynchus keta:2-p:Stomachs examined,Stomachs examined, ,4,stomachs,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/
GoA2019_Stn8:trawl1:Oncorhynchus keta:2-pr1:Mass,Mass,NA,2.74,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn8:trawl1:Oncorhynchus keta:2-pr2:Mass,Mass,NA,3.42,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
