eventID,occurrenceID,scientificName,scientificNameID,occurrenceStatus
GoA2019_Stn19:trawl1,GoA2019_Stn19:trawl1:Oncorhynchus tschawytscha,Oncorhynchus tschawytscha,urn:lsid:marinespecies.org:taxname:158075,absent
GoA2019_Stn22:trawl1,GoA2019_Stn22:trawl1:Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,absent
GoA2019_Stn22:trawl1,GoA2019_Stn22:trawl1:Oncorhynchus keta,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,absent
GoA2019_Stn22:trawl1,GoA2019_Stn22:trawl1:Oncorhynchus kisutch,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,absent
GoA2019_Stn22:trawl1,GoA2019_Stn22:trawl1:Oncorhynchus nerka,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present
GoA2019_Stn22:trawl1,GoA2019_Stn22:trawl1:Oncorhynchus nerka,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present
GoA2019_Stn22:trawl1,GoA2019_Stn22:trawl1:Oncorhynchus tschawytscha,Oncorhynchus tschawytscha,urn:lsid:marinespecies.org:taxname:158075,absent
GoA2019_Stn23:trawl1,GoA2019_Stn23:trawl1:Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,absent
GoA2019_Stn23:trawl1,GoA2019_Stn23:trawl1:Oncorhynchus keta,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present
GoA2019_Stn23:trawl1,GoA2019_Stn23:trawl1:Oncorhynchus kisutch,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,absent
GoA2019_Stn23:trawl1,GoA2019_Stn23:trawl1:Oncorhynchus nerka,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,absent
GoA2019_Stn23:trawl1,GoA2019_Stn23:trawl1:Oncorhynchus tschawytscha,Oncorhynchus tschawytscha,urn:lsid:marinespecies.org:taxname:158075,absent
GoA2019_Stn24:trawl1,GoA2019_Stn24:trawl1:Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,absent
GoA2019_Stn24:trawl1,GoA2019_Stn24:trawl1:Oncorhynchus keta,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,absent
GoA2019_Stn24:trawl1,GoA2019_Stn24:trawl1:Oncorhynchus kisutch,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,present
GoA2019_Stn24:trawl1,GoA2019_Stn24:trawl1:Oncorhynchus nerka,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,absent
GoA2019_Stn24:trawl1,GoA2019_Stn24:trawl1:Oncorhynchus tschawytscha,Oncorhynchus tschawytscha,urn:lsid:marinespecies.org:taxname:158075,absent
GoA2019_Stn25:trawl1,GoA2019_Stn25:trawl1:Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,absent
GoA2019_Stn25:trawl1,GoA2019_Stn25:trawl1:Oncorhynchus keta,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present
GoA2019_Stn25:trawl1,GoA2019_Stn25:trawl1:Oncorhynchus keta,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present
GoA2019_Stn25:trawl1,GoA2019_Stn25:trawl1:Oncorhynchus kisutch,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,absent
GoA2019_Stn25:trawl1,GoA2019_Stn25:trawl1:Oncorhynchus nerka,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present
