eventID,occurrenceID,occurrenceStatus,scientificName,scientificNameID,scientificNameAuthorship,taxonomicStatus,taxonomicRank,parentNameUsageID,kingdom,phylum,class,order,family,genus,basisOfRecord,organismQuantity,organismQuantityType
GoA2019_Stn5:trawl1:Oncorhynchus gorbuscha:1,GoA2019_Stn5:trawl1:Oncorhynchus gorbuscha:1-p,present,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,"(Walbaum, 1792)",accepted,Species,126140,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,2,stomachs
GoA2019_Stn5:trawl1:Oncorhynchus gorbuscha:1,GoA2019_Stn5:trawl1:Oncorhynchus gorbuscha:1-pr1,present,Hyperia,urn:lsid:marinespecies.org:taxname:101796,"Latreille, 1823",accepted,Genus,101417,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperia,HumanObservation,NA,NA
GoA2019_Stn5:trawl1:Oncorhynchus gorbuscha:1,GoA2019_Stn5:trawl1:Oncorhynchus gorbuscha:1-pr2,present,Clione limacina,urn:lsid:marinespecies.org:taxname:139178,"(Phipps, 1774)",accepted,Species,137793,Animalia,Mollusca,Gastropoda,Pteropoda,Clionidae,Clione,HumanObservation,NA,NA
GoA2019_Stn5:trawl1:Oncorhynchus gorbuscha:1,GoA2019_Stn5:trawl1:Oncorhynchus gorbuscha:1-pr3,present,Thysanoessa spinifera,urn:lsid:marinespecies.org:taxname:237874,"Holmes, 1900",accepted,Species,110679,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,HumanObservation,NA,NA
GoA2019_Stn5:trawl1:Oncorhynchus gorbuscha:1,GoA2019_Stn5:trawl1:Oncorhynchus gorbuscha:1-pr4,present,Themisto pacifica,urn:lsid:marinespecies.org:taxname:254453,"(Stebbing, 1888)",accepted,Species,101800,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto,HumanObservation,NA,NA
GoA2019_Stn5:trawl1:Oncorhynchus keta:1,GoA2019_Stn5:trawl1:Oncorhynchus keta:1-p,present,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,"(Walbaum, 1792)",accepted,Species,126140,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,2,stomachs
GoA2019_Stn5:trawl1:Oncorhynchus keta:1,GoA2019_Stn5:trawl1:Oncorhynchus keta:1-pr1,present,Coelenterata,urn:lsid:marinespecies.org:taxname:152230,NA,nomen nudum,Phylum,2,Animalia,Coelenterata,NA,NA,NA,NA,HumanObservation,NA,NA
GoA2019_Stn5:trawl1:Oncorhynchus kisutch:1,GoA2019_Stn5:trawl1:Oncorhynchus kisutch:1-p,present,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,"(Walbaum, 1792)",accepted,Species,126140,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,6,stomachs
GoA2019_Stn5:trawl1:Oncorhynchus kisutch:1,GoA2019_Stn5:trawl1:Oncorhynchus kisutch:1-pr1,present,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,"(Sasaki, 1923)",unaccepted,Species,1468831,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,HumanObservation,NA,NA
GoA2019_Stn5:trawl1:Oncorhynchus kisutch:1,GoA2019_Stn5:trawl1:Oncorhynchus kisutch:1-pr2,present,Hyperia,urn:lsid:marinespecies.org:taxname:101796,"Latreille, 1823",accepted,Genus,101417,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperia,HumanObservation,NA,NA
GoA2019_Stn5:trawl1:Oncorhynchus kisutch:1,GoA2019_Stn5:trawl1:Oncorhynchus kisutch:1-pr3,present,Clio pyramidata,urn:lsid:marinespecies.org:taxname:139033,"Linnaeus, 1767",accepted,Species,137751,Animalia,Mollusca,Gastropoda,Pteropoda,Cliidae,Clio,HumanObservation,NA,NA
