occurrenceID,measurementType,measurementValue,measurementID,measurementUnit,measurementUnitID
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha,boreoteuthis_borealis,NA,GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:b.borealis,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha,neocalanus_cristatus,NA,GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:n.cristatus,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha,pisces,1.2,GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:pisces,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha,tomopteris,0.3,GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:tomopteris,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha,chuneola_major,NA,GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:c.major,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha,sergestes_pacificus,NA,GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:s.pacificus,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha,e_pacifica,NA,GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:e.pacifica,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha,tarletonbeania_crenularis,NA,GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:t.crenularis,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha,hyperia_sp,NA,GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:hyperia_sp,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha,clione_limacina,NA,GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:c.limacina,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha,th_spinifera,NA,GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:t.spinifera,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha,themisto_pacifica,NA,GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:t.pacifica,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha,limacina_helicina,NA,GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:l.helicina,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha,primno_macropa,NA,GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:p.macropa,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha,th_inspinata,NA,GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:t.inspinata,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha,coelenterata,NA,GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:coelenterata,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha,vanadis_sp,NA,GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:vanadis_sp,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha,sagitta_elegans,NA,GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:s.elegans,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha,salpa_aspera,NA,GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:s.aspera,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha,cyclosalpa,NA,GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:cyclosalpa,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha,th_longipes,NA,GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:t.longipes,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha,cephalopoda,NA,GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:cephalopoda,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha,phronima_sedentaria,NA,GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:p.sedentaria,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha,oikopleura,NA,GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:oikopleura,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha,isopoda,NA,GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:isopoda,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha,clio_pyramidata,NA,GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:c.pyramidata,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha,chormiphora_cucumis,NA,GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:c.cucumis,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha,symbolophorus_californiensis,NA,GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:s.californiensis,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha,okutania_anonycha,NA,GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:o.anonycha,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha,sebastes,NA,GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:sebastes,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha,mictostomus_pacificus,NA,GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:m.pacificus,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus kisutch,boreoteuthis_borealis,NA,GoA2019_Stn3:trawl1:Oncorhynchus kisutch:b.borealis,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus kisutch,neocalanus_cristatus,NA,GoA2019_Stn3:trawl1:Oncorhynchus kisutch:n.cristatus,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus kisutch,pisces,NA,GoA2019_Stn3:trawl1:Oncorhynchus kisutch:pisces,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus kisutch,tomopteris,NA,GoA2019_Stn3:trawl1:Oncorhynchus kisutch:tomopteris,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus kisutch,chuneola_major,NA,GoA2019_Stn3:trawl1:Oncorhynchus kisutch:c.major,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
