measurementID,measurementType,measurementTypeID,measurementValue,measurementUnit,measurementUnitID
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:FL,fl_cm, ,36,cm,http://vocab.nerc.ac.uk/collection/P06/current/ULCM/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:mass,mass_g, ,386,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:food_mass,food_mass_g, ,1.5,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:GFI,gfi_percent, ,0.38860103626943004,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:n_stomachs,n_stomachs, ,1,stomachs, 
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:CFI,cfi_percent_adj, ,0.38860103626943004,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
GoA2019_Stn3:trawl1:Oncorhynchus kisutch:FL,fl_cm, ,39.1,cm,http://vocab.nerc.ac.uk/collection/P06/current/ULCM/
GoA2019_Stn3:trawl1:Oncorhynchus kisutch:mass,mass_g, ,647,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus kisutch:food_mass,food_mass_g, ,0,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn3:trawl1:Oncorhynchus kisutch:GFI,gfi_percent, ,0,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
GoA2019_Stn3:trawl1:Oncorhynchus kisutch:n_stomachs,n_stomachs, ,1,stomachs, 
GoA2019_Stn3:trawl1:Oncorhynchus kisutch:CFI,cfi_percent_adj, ,0,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:FL,fl_cm, ,28.3,cm,http://vocab.nerc.ac.uk/collection/P06/current/ULCM/
GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:mass,mass_g, ,190,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:food_mass,food_mass_g, ,0,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:GFI,gfi_percent, ,0,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:n_stomachs,n_stomachs, ,1,stomachs, 
GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:CFI,cfi_percent_adj, ,0,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/
GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:FL,fl_cm, ,35.1,cm,http://vocab.nerc.ac.uk/collection/P06/current/ULCM/
GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:mass,mass_g, ,416,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:food_mass,food_mass_g, ,6,g,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/
