eventID,occurrenceID,occurrenceStatus,scientificName,scientificNameID,organismQuantity,organismQuantityType,scientificNameAuthorship,taxonomicRank,taxonomicStatus,kingdom,phylum,class,order,family,genus,basisOfRecord,associatedTaxa
IYS:GoA2019_Stn3:trawl,IYS:GoA2019_Stn3:trawl:Oncorhynchus gorbuscha:1-p,present,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,1,stomachs,"(Walbaum, 1792)",Species,accepted,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,
IYS:GoA2019_Stn3:trawl,IYS:GoA2019_Stn3:trawl:Oncorhynchus gorbuscha:1-pr1,present,Pisces,urn:lsid:marinespecies.org:taxname:11676,NA,NA,NA,Superclass,accepted,Animalia,Chordata,NA,NA,NA,NA,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn3:trawl:Oncorhynchus gorbuscha:1-p"""
IYS:GoA2019_Stn3:trawl,IYS:GoA2019_Stn3:trawl:Oncorhynchus gorbuscha:1-pr2,present,Tomopteris,urn:lsid:marinespecies.org:taxname:129715,NA,NA,"Eschscholtz, 1825",Genus,accepted,Animalia,Annelida,Polychaeta,Phyllodocida,Tomopteridae,Tomopteris,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn3:trawl:Oncorhynchus gorbuscha:1-p"""
IYS:GoA2019_Stn3:trawl,IYS:GoA2019_Stn3:trawl:Oncorhynchus kisutch:2-p,present,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,1,stomachs,"(Walbaum, 1792)",Species,accepted,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,
IYS:GoA2019_Stn4:trawl,IYS:GoA2019_Stn4:trawl:Oncorhynchus gorbuscha:1-p,present,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,1,stomachs,"(Walbaum, 1792)",Species,accepted,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,
IYS:GoA2019_Stn4:trawl,IYS:GoA2019_Stn4:trawl:Oncorhynchus gorbuscha:2-p,present,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,7,stomachs,"(Walbaum, 1792)",Species,accepted,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,
IYS:GoA2019_Stn4:trawl,IYS:GoA2019_Stn4:trawl:Oncorhynchus gorbuscha:2-pr1,present,Chuneola major,urn:lsid:marinespecies.org:taxname:431286,NA,NA,"M. Vinogradov, 1957",Species,accepted,Animalia,Arthropoda,Malacostraca,Amphipoda,Chuneolidae,Chuneola,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn4:trawl:Oncorhynchus gorbuscha:2-p"""
IYS:GoA2019_Stn4:trawl,IYS:GoA2019_Stn4:trawl:Oncorhynchus gorbuscha:2-pr2,present,Sergestes pacificus,urn:lsid:marinespecies.org:taxname:585590,NA,NA,"Stimpson, 1860",Species,unaccepted,Animalia,Arthropoda,Malacostraca,Decapoda,Sergestidae,Sergestes,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn4:trawl:Oncorhynchus gorbuscha:2-p"""
IYS:GoA2019_Stn4:trawl,IYS:GoA2019_Stn4:trawl:Oncorhynchus gorbuscha:2-pr3,present,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,NA,NA,"Hansen, 1911",Species,accepted,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn4:trawl:Oncorhynchus gorbuscha:2-p"""
IYS:GoA2019_Stn4:trawl,IYS:GoA2019_Stn4:trawl:Oncorhynchus gorbuscha:2-pr4,present,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,NA,NA,"(Jordan & Gilbert, 1880)",Species,accepted,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Tarletonbeania,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn4:trawl:Oncorhynchus gorbuscha:2-p"""
IYS:GoA2019_Stn5:trawl,IYS:GoA2019_Stn5:trawl:Oncorhynchus gorbuscha:1-p,present,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,2,stomachs,"(Walbaum, 1792)",Species,accepted,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,
IYS:GoA2019_Stn5:trawl,IYS:GoA2019_Stn5:trawl:Oncorhynchus gorbuscha:1-pr1,present,Hyperia,urn:lsid:marinespecies.org:taxname:101796,NA,NA,"Latreille, 1823",Genus,accepted,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperia,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn5:trawl:Oncorhynchus gorbuscha:1-p"""
IYS:GoA2019_Stn5:trawl,IYS:GoA2019_Stn5:trawl:Oncorhynchus gorbuscha:1-pr2,present,Clione limacina,urn:lsid:marinespecies.org:taxname:139178,NA,NA,"(Phipps, 1774)",Species,accepted,Animalia,Mollusca,Gastropoda,Pteropoda,Clionidae,Clione,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn5:trawl:Oncorhynchus gorbuscha:1-p"""
IYS:GoA2019_Stn5:trawl,IYS:GoA2019_Stn5:trawl:Oncorhynchus gorbuscha:1-pr3,present,Thysanoessa spinifera,urn:lsid:marinespecies.org:taxname:237874,NA,NA,"Holmes, 1900",Species,accepted,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn5:trawl:Oncorhynchus gorbuscha:1-p"""
IYS:GoA2019_Stn5:trawl,IYS:GoA2019_Stn5:trawl:Oncorhynchus gorbuscha:1-pr4,present,Themisto pacifica,urn:lsid:marinespecies.org:taxname:254453,NA,NA,"(Stebbing, 1888)",Species,accepted,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn5:trawl:Oncorhynchus gorbuscha:1-p"""
IYS:GoA2019_Stn5:trawl,IYS:GoA2019_Stn5:trawl:Oncorhynchus keta:2-p,present,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,2,stomachs,"(Walbaum, 1792)",Species,accepted,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,
IYS:GoA2019_Stn5:trawl,IYS:GoA2019_Stn5:trawl:Oncorhynchus keta:2-pr5,present,Coelenterata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn5:trawl:Oncorhynchus keta:2-p"""
IYS:GoA2019_Stn5:trawl,IYS:GoA2019_Stn5:trawl:Oncorhynchus kisutch:3-p,present,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,6,stomachs,"(Walbaum, 1792)",Species,accepted,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,
IYS:GoA2019_Stn5:trawl,IYS:GoA2019_Stn5:trawl:Oncorhynchus kisutch:3-pr6,present,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,NA,NA,"(Sasaki, 1923)",Species,unaccepted,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn5:trawl:Oncorhynchus kisutch:3-p"""
IYS:GoA2019_Stn5:trawl,IYS:GoA2019_Stn5:trawl:Oncorhynchus kisutch:3-pr7,present,Hyperia,urn:lsid:marinespecies.org:taxname:101796,NA,NA,"Latreille, 1823",Genus,accepted,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperia,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn5:trawl:Oncorhynchus kisutch:3-p"""
IYS:GoA2019_Stn5:trawl,IYS:GoA2019_Stn5:trawl:Oncorhynchus kisutch:3-pr8,present,Clio pyramidata,urn:lsid:marinespecies.org:taxname:139033,NA,NA,"Linnaeus, 1767",Species,accepted,Animalia,Mollusca,Gastropoda,Pteropoda,Cliidae,Clio,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn5:trawl:Oncorhynchus kisutch:3-p"""
IYS:GoA2019_Stn6:trawl,IYS:GoA2019_Stn6:trawl:Oncorhynchus gorbuscha:1-p,present,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,5,stomachs,"(Walbaum, 1792)",Species,accepted,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,
IYS:GoA2019_Stn6:trawl,IYS:GoA2019_Stn6:trawl:Oncorhynchus gorbuscha:1-pr1,present,Neocalanus cristatus,urn:lsid:marinespecies.org:taxname:104470,NA,NA,"(Krøyer, 1848)",Species,accepted,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,HumanObservation,"""prey of"" : ""IYS:GoA2019_Stn6:trawl:Oncorhynchus gorbuscha:1-p"""
