eventID,occurrenceID,occurrenceStatus,scientificName,scientificNameID,scientificNameAuthorship,taxonomicStatus,taxonomicRank,parentNameUsageID,kingdom,phylum,class,order,family,genus
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:1,GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:1:pr1,present,Pisces,urn:lsid:marinespecies.org:taxname:11676,NA,accepted,Superclass,1828,Animalia,Chordata,NA,NA,NA,NA
GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:1,GoA2019_Stn3:trawl1:Oncorhynchus gorbuscha:1:pr2,present,Tomopteris,urn:lsid:marinespecies.org:taxname:129715,"Eschscholtz, 1825",accepted,Genus,958,Animalia,Annelida,Polychaeta,Phyllodocida,Tomopteridae,Tomopteris
GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:2,GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:2:pr1,present,Chuneola major,urn:lsid:marinespecies.org:taxname:431286,"M. Vinogradov, 1957",accepted,Species,325373,Animalia,Arthropoda,Malacostraca,Amphipoda,Chuneolidae,Chuneola
GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:2,GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:2:pr2,present,Sergestes pacificus,urn:lsid:marinespecies.org:taxname:585590,"Stimpson, 1860",unaccepted,Species,106829,Animalia,Arthropoda,Malacostraca,Decapoda,Sergestidae,Sergestes
GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:2,GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:2:pr3,present,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,"Hansen, 1911",accepted,Species,110673,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia
GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:2,GoA2019_Stn4:trawl1:Oncorhynchus gorbuscha:2:pr4,present,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,"(Jordan & Gilbert, 1880)",accepted,Species,271040,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Tarletonbeania
GoA2019_Stn5:trawl1:Oncorhynchus gorbuscha:1,GoA2019_Stn5:trawl1:Oncorhynchus gorbuscha:1:pr1,present,Hyperia,urn:lsid:marinespecies.org:taxname:101796,"Latreille, 1823",accepted,Genus,101417,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperia
GoA2019_Stn5:trawl1:Oncorhynchus gorbuscha:1,GoA2019_Stn5:trawl1:Oncorhynchus gorbuscha:1:pr2,present,Clione limacina,urn:lsid:marinespecies.org:taxname:139178,"(Phipps, 1774)",accepted,Species,137793,Animalia,Mollusca,Gastropoda,Pteropoda,Clionidae,Clione
GoA2019_Stn5:trawl1:Oncorhynchus gorbuscha:1,GoA2019_Stn5:trawl1:Oncorhynchus gorbuscha:1:pr3,present,Thysanoessa spinifera,urn:lsid:marinespecies.org:taxname:237874,"Holmes, 1900",accepted,Species,110679,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa
GoA2019_Stn5:trawl1:Oncorhynchus gorbuscha:1,GoA2019_Stn5:trawl1:Oncorhynchus gorbuscha:1:pr4,present,Themisto pacifica,urn:lsid:marinespecies.org:taxname:254453,"(Stebbing, 1888)",accepted,Species,101800,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto
GoA2019_Stn5:trawl1:Oncorhynchus keta:1,GoA2019_Stn5:trawl1:Oncorhynchus keta:1:pr1,present,Coelenterata,urn:lsid:marinespecies.org:taxname:152230,NA,nomen nudum,Phylum,2,Animalia,Coelenterata,NA,NA,NA,NA
GoA2019_Stn5:trawl1:Oncorhynchus kisutch:1,GoA2019_Stn5:trawl1:Oncorhynchus kisutch:1:pr1,present,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,"(Sasaki, 1923)",unaccepted,Species,1468831,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis
GoA2019_Stn5:trawl1:Oncorhynchus kisutch:1,GoA2019_Stn5:trawl1:Oncorhynchus kisutch:1:pr2,present,Hyperia,urn:lsid:marinespecies.org:taxname:101796,"Latreille, 1823",accepted,Genus,101417,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperia
GoA2019_Stn5:trawl1:Oncorhynchus kisutch:1,GoA2019_Stn5:trawl1:Oncorhynchus kisutch:1:pr3,present,Clio pyramidata,urn:lsid:marinespecies.org:taxname:139033,"Linnaeus, 1767",accepted,Species,137751,Animalia,Mollusca,Gastropoda,Pteropoda,Cliidae,Clio
GoA2019_Stn6:trawl1:Oncorhynchus gorbuscha:1,GoA2019_Stn6:trawl1:Oncorhynchus gorbuscha:1:pr1,present,Neocalanus cristatus,urn:lsid:marinespecies.org:taxname:104470,"(Krøyer, 1848)",accepted,Species,104155,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus
GoA2019_Stn6:trawl1:Oncorhynchus gorbuscha:1,GoA2019_Stn6:trawl1:Oncorhynchus gorbuscha:1:pr2,present,Sergestes pacificus,urn:lsid:marinespecies.org:taxname:585590,"Stimpson, 1860",unaccepted,Species,106829,Animalia,Arthropoda,Malacostraca,Decapoda,Sergestidae,Sergestes
