eventID,parentEventID,eventDate,year,month,day,decimalLatitude,decimalLongitude,footprintWKT,coordinateUncertaintyInMeters,minimumDepthInMeters,maximumDepthInMeters,samplingProtocol,locality,locationID,type,fieldNotes
IYS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,project,NA
IYS:GoA2020,IYS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cruise,NA
IYS:GoA2020_Stn1,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,station,NA
IYS:GoA2020_Stn2,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,station,NA
IYS:GoA2020_Stn3,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,station,NA
IYS:GoA2020_Stn4,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,station,NA
IYS:GoA2020_Stn5,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,station,NA
IYS:GoA2020_Stn6,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,station,NA
IYS:GoA2020_Stn7,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,station,NA
IYS:GoA2020_Stn8,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,station,NA
IYS:GoA2020_Stn9,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,station,NA
IYS:GoA2020_Stn10,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,station,NA
IYS:GoA2020_Stn11,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,station,NA
IYS:GoA2020_Stn12,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,station,NA
