eventID,measurementID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID
IYS:GoA2020_Stn1:trawl,IYS:GoA2020_Stn1:trawl:wave_height,wave_height,http://vocab.nerc.ac.uk/collection/P07/current/JNQS0CMX/,1.8,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn1:trawl,IYS:GoA2020_Stn1:trawl:swell_height,swell_height,http://vocab.nerc.ac.uk/collection/P09/current/SWHT/,8.5,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn1:trawl,IYS:GoA2020_Stn1:trawl:sea_state_description,sea_state_description, ,NA,NA,NA,NA
IYS:GoA2020_Stn1:trawl,IYS:GoA2020_Stn1:trawl:wind_direction,wind_direction,http://vocab.nerc.ac.uk/collection/B39/current/relwinddir/,270,NA,degrees,http://vocab.nerc.ac.uk/collection/P06/current/UAAA/
IYS:GoA2020_Stn1:trawl,IYS:GoA2020_Stn1:trawl:wind_speed,wind_speed,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0038/,15,NA,knots,http://vocab.nerc.ac.uk/collection/P06/current/UKNT/
IYS:GoA2020_Stn1:trawl,IYS:GoA2020_Stn1:trawl:weather_description,weather_description, ,NA,NA,NA,NA
IYS:GoA2020_Stn2:trawl,IYS:GoA2020_Stn2:trawl:wave_height,wave_height,http://vocab.nerc.ac.uk/collection/P07/current/JNQS0CMX/,3,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn2:trawl,IYS:GoA2020_Stn2:trawl:swell_height,swell_height,http://vocab.nerc.ac.uk/collection/P09/current/SWHT/,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn2:trawl,IYS:GoA2020_Stn2:trawl:sea_state_description,sea_state_description, ,choppy,NA,NA,NA
IYS:GoA2020_Stn2:trawl,IYS:GoA2020_Stn2:trawl:wind_direction,wind_direction,http://vocab.nerc.ac.uk/collection/B39/current/relwinddir/,315,NA,degrees,http://vocab.nerc.ac.uk/collection/P06/current/UAAA/
IYS:GoA2020_Stn2:trawl,IYS:GoA2020_Stn2:trawl:wind_speed,wind_speed,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0038/,30,NA,knots,http://vocab.nerc.ac.uk/collection/P06/current/UKNT/
IYS:GoA2020_Stn2:trawl,IYS:GoA2020_Stn2:trawl:weather_description,weather_description, ,sunny,NA,NA,NA
IYS:GoA2020_Stn3:trawl,IYS:GoA2020_Stn3:trawl:wave_height,wave_height,http://vocab.nerc.ac.uk/collection/P07/current/JNQS0CMX/,2,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn3:trawl,IYS:GoA2020_Stn3:trawl:swell_height,swell_height,http://vocab.nerc.ac.uk/collection/P09/current/SWHT/,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn3:trawl,IYS:GoA2020_Stn3:trawl:sea_state_description,sea_state_description, ,white caps,NA,NA,NA
IYS:GoA2020_Stn3:trawl,IYS:GoA2020_Stn3:trawl:wind_direction,wind_direction,http://vocab.nerc.ac.uk/collection/B39/current/relwinddir/,45,NA,degrees,http://vocab.nerc.ac.uk/collection/P06/current/UAAA/
IYS:GoA2020_Stn3:trawl,IYS:GoA2020_Stn3:trawl:wind_speed,wind_speed,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0038/,20,NA,knots,http://vocab.nerc.ac.uk/collection/P06/current/UKNT/
IYS:GoA2020_Stn3:trawl,IYS:GoA2020_Stn3:trawl:weather_description,weather_description, ,overcast,NA,NA,NA
IYS:GoA2020_Stn4:trawl,IYS:GoA2020_Stn4:trawl:wave_height,wave_height,http://vocab.nerc.ac.uk/collection/P07/current/JNQS0CMX/,1,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn4:trawl,IYS:GoA2020_Stn4:trawl:swell_height,swell_height,http://vocab.nerc.ac.uk/collection/P09/current/SWHT/,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
