eventID,occurrenceID,occurrenceStatus,organismQuantity,organismQuantityType,scientificName,scientificNameID,scientificNameAuthorship,taxonomicStatus,taxonRank,parentNameUsageID,kingdom,phylum,class,order,family,genus,lifeStage,sex,occurrenceRemarks,identificationQualifier
IYS:GoA2020_Stn1:trawl,IYS:GoA2020_Stn1:trawl:occ-1,present,4,individuals,Abraliopsis felis,urn:lsid:marinespecies.org:taxname:341849,"McGowan & Okutani, 1968",alternate representation,Species,137931,Animalia,Mollusca,Cephalopoda,Oegopsida,Enoploteuthidae,Abraliopsis,NA,NA,NA,NA
IYS:GoA2020_Stn1:trawl,IYS:GoA2020_Stn1:trawl:occ-2,present,2,individuals,Aequorea victoria,urn:lsid:marinespecies.org:taxname:283998,"(Murbach & Shearer, 1902)",accepted,Species,116998,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA,NA,NA,NA
IYS:GoA2020_Stn1:trawl,IYS:GoA2020_Stn1:trawl:occ-3,present,7,individuals,Citharichthys sordidus,urn:lsid:marinespecies.org:taxname:275694,"(Girard, 1854)",accepted,Species,158786,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Citharichthys,NA,NA,NA,NA
IYS:GoA2020_Stn1:trawl,IYS:GoA2020_Stn1:trawl:occ-4,present,100,individuals,Paralichthyidae,urn:lsid:marinespecies.org:taxname:154168,"Regan, 1910",accepted,Family,10331,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,NA,NA,NA,NA,NA
IYS:GoA2020_Stn1:trawl,IYS:GoA2020_Stn1:trawl:occ-5,present,9,individuals,Diaphus theta,urn:lsid:marinespecies.org:taxname:272694,"Eigenmann & Eigenmann, 1890",accepted,Species,125819,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Diaphus,NA,NA,NA,NA
IYS:GoA2020_Stn1:trawl,IYS:GoA2020_Stn1:trawl:occ-6,present,57200,individuals,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,"Hansen, 1911",accepted,Species,110673,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,NA,NA,NA,NA
IYS:GoA2020_Stn1:trawl,IYS:GoA2020_Stn1:trawl:occ-7,present,1,individuals,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,106344,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,NA,NA,NA,NA
IYS:GoA2020_Stn1:trawl,IYS:GoA2020_Stn1:trawl:occ-8,present,2,individuals,Lipolagus ochotensis,urn:lsid:marinespecies.org:taxname:281374,"(Schmidt, 1938)",accepted,Species,269707,Animalia,Chordata,Actinopterygii,Argentiniformes,Bathylagidae,Lipolagus,NA,NA,NA,NA
IYS:GoA2020_Stn1:trawl,IYS:GoA2020_Stn1:trawl:occ-9,present,2,individuals,Paralepidapedon,urn:lsid:marinespecies.org:taxname:108578,"Shimazu & Shimura, 1984",accepted,Genus,744194,Animalia,Platyhelminthes,Trematoda,Plagiorchiida,Lepidapedidae,Paralepidapedon,NA,NA,NA,NA
IYS:GoA2020_Stn1:trawl,IYS:GoA2020_Stn1:trawl:occ-10,present,20,individuals,Sergestes similis,urn:lsid:marinespecies.org:taxname:240788,"Hansen, 1903",unaccepted,Species,106829,Animalia,Arthropoda,Malacostraca,Decapoda,Sergestidae,Sergestes,NA,NA,NA,NA
IYS:GoA2020_Stn1:trawl,IYS:GoA2020_Stn1:trawl:occ-11,present,1,individuals,Salpa,urn:lsid:marinespecies.org:taxname:137233,"Forskål, 1775",accepted,Genus,720267,Animalia,Chordata,Thaliacea,Salpida,Salpidae,Salpa,NA,NA,NA,NA
IYS:GoA2020_Stn1:trawl,IYS:GoA2020_Stn1:trawl:occ-12,present,33,individuals,Stenobrachius leucopsarus,urn:lsid:marinespecies.org:taxname:254363,"(Eigenmann & Eigenmann, 1890)",accepted,Species,254362,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Stenobrachius,NA,NA,NA,NA
IYS:GoA2020_Stn1:trawl,IYS:GoA2020_Stn1:trawl:occ-13,present,51,individuals,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,"(Jordan & Gilbert, 1880)",accepted,Species,271040,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Tarletonbeania,NA,NA,NA,NA
IYS:GoA2020_Stn1:trawl,IYS:GoA2020_Stn1:trawl:occ-14,present,1,individuals,Symbolophorus californiensis,urn:lsid:marinespecies.org:taxname:272733,"(Eigenmann & Eigenmann, 1889)",accepted,Species,125833,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Symbolophorus,NA,NA,NA,NA
IYS:GoA2020_Stn1:trawl:sample:1,IYS:GoA2020_Stn1:trawl:sample:1:occ-1,present,1,individual,Abraliopsis felis,urn:lsid:marinespecies.org:taxname:341849,"McGowan & Okutani, 1968",alternate representation,Species,137931,Animalia,Mollusca,Cephalopoda,Oegopsida,Enoploteuthidae,Abraliopsis,NA,NA,NA,NA
IYS:GoA2020_Stn1:trawl:sample:2,IYS:GoA2020_Stn1:trawl:sample:2:occ-2,present,1,individual,Abraliopsis felis,urn:lsid:marinespecies.org:taxname:341849,"McGowan & Okutani, 1968",alternate representation,Species,137931,Animalia,Mollusca,Cephalopoda,Oegopsida,Enoploteuthidae,Abraliopsis,NA,NA,NA,NA
IYS:GoA2020_Stn1:trawl:sample:3,IYS:GoA2020_Stn1:trawl:sample:3:occ-3,present,1,individual,Abraliopsis felis,urn:lsid:marinespecies.org:taxname:341849,"McGowan & Okutani, 1968",alternate representation,Species,137931,Animalia,Mollusca,Cephalopoda,Oegopsida,Enoploteuthidae,Abraliopsis,NA,NA,NA,NA
IYS:GoA2020_Stn1:trawl:sample:4,IYS:GoA2020_Stn1:trawl:sample:4:occ-4,present,1,individual,Abraliopsis felis,urn:lsid:marinespecies.org:taxname:341849,"McGowan & Okutani, 1968",alternate representation,Species,137931,Animalia,Mollusca,Cephalopoda,Oegopsida,Enoploteuthidae,Abraliopsis,NA,NA,NA,NA
IYS:GoA2020_Stn1:trawl:sample:5,IYS:GoA2020_Stn1:trawl:sample:5:occ-5,present,1,individual,Aequorea victoria,urn:lsid:marinespecies.org:taxname:283998,"(Murbach & Shearer, 1902)",accepted,Species,116998,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA,NA,NA,NA
IYS:GoA2020_Stn1:trawl:sample:6,IYS:GoA2020_Stn1:trawl:sample:6:occ-6,present,1,individual,Citharichthys sordidus,urn:lsid:marinespecies.org:taxname:275694,"(Girard, 1854)",accepted,Species,158786,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Citharichthys,NA,NA,NA,NA
IYS:GoA2020_Stn1:trawl:sample:7,IYS:GoA2020_Stn1:trawl:sample:7:occ-7,present,1,individual,Citharichthys sordidus,urn:lsid:marinespecies.org:taxname:275694,"(Girard, 1854)",accepted,Species,158786,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Citharichthys,NA,NA,NA,NA
IYS:GoA2020_Stn1:trawl:sample:8,IYS:GoA2020_Stn1:trawl:sample:8:occ-8,present,1,individual,Citharichthys sordidus,urn:lsid:marinespecies.org:taxname:275694,"(Girard, 1854)",accepted,Species,158786,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Citharichthys,NA,NA,NA,NA
IYS:GoA2020_Stn1:trawl:sample:9,IYS:GoA2020_Stn1:trawl:sample:9:occ-9,present,1,individual,Citharichthys sordidus,urn:lsid:marinespecies.org:taxname:275694,"(Girard, 1854)",accepted,Species,158786,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Citharichthys,NA,NA,NA,NA
IYS:GoA2020_Stn1:trawl:sample:10,IYS:GoA2020_Stn1:trawl:sample:10:occ-10,present,1,individual,Citharichthys sordidus,urn:lsid:marinespecies.org:taxname:275694,"(Girard, 1854)",accepted,Species,158786,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Citharichthys,NA,NA,NA,NA
