eventID,scientificName,scientificNameID,organismQuantity,scientificAuthorityName,taxonRank,taxonomicStatus,lifeStage,sex,parentNameUsageID,kingdom,phylum,class,order,family,genus,occurrenceID,occurrenceStatus
IYS:GoA2019_Stn1,Chaetognatha,urn:lsid:marinespecies.org:taxname:2081,36,NA,Phylum,accepted,NA,NA,2,Animalia,Chaetognatha,NA,NA,NA,NA,IYS:GoA2019_Stn1:bongo_occ:1,present
IYS:GoA2019_Stn1,Clione limacina,urn:lsid:marinespecies.org:taxname:139178,1,"(Phipps, 1774)",Species,accepted,NA,NA,137793,Animalia,Mollusca,Gastropoda,Pteropoda,Clionidae,Clione,IYS:GoA2019_Stn1:bongo_occ:2,present
IYS:GoA2019_Stn1,Eucalanus bungii,urn:lsid:marinespecies.org:taxname:196775,1,"Giesbrecht, 1893",Species,accepted,C6,M,104171,Animalia,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,Eucalanus,IYS:GoA2019_Stn1:bongo_occ:3,present
IYS:GoA2019_Stn1,Eukrohnia hamata,urn:lsid:marinespecies.org:taxname:105416,5,"(Möbius, 1875)",Species,accepted,NA,NA,105399,Animalia,Chaetognatha,Sagittoidea,Phragmophora,Eukrohniidae,Eukrohnia,IYS:GoA2019_Stn1:bongo_occ:4,present
IYS:GoA2019_Stn1,Neocalanus cristatus,urn:lsid:marinespecies.org:taxname:104470,1,"(Krøyer, 1848)",Species,accepted,C4,NA,104155,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,IYS:GoA2019_Stn1:bongo_occ:5,present
IYS:GoA2019_Stn1,Neocalanus cristatus,urn:lsid:marinespecies.org:taxname:104470,1,"(Krøyer, 1848)",Species,accepted,C5,NA,104155,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,IYS:GoA2019_Stn1:bongo_occ:6,present
IYS:GoA2019_Stn1,Parasagitta elegans,urn:lsid:marinespecies.org:taxname:105440,69,"(Verrill, 1873)",Species,accepted,NA,NA,105408,Animalia,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Parasagitta,IYS:GoA2019_Stn1:bongo_occ:7,present
IYS:GoA2019_Stn1,Acartia longiremis,urn:lsid:marinespecies.org:taxname:104257,4,"(Lilljeborg, 1853)",Species,alternate representation,C6,F,104108,Animalia,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,IYS:GoA2019_Stn1:bongo_occ:8,present
IYS:GoA2019_Stn1,Acartia longiremis,urn:lsid:marinespecies.org:taxname:104257,1,"(Lilljeborg, 1853)",Species,alternate representation,C6,M,104108,Animalia,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,IYS:GoA2019_Stn1:bongo_occ:9,present
IYS:GoA2019_Stn1,Calanus,urn:lsid:marinespecies.org:taxname:104152,1,"Leach, 1816",Genus,accepted,C1,NA,104079,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,IYS:GoA2019_Stn1:bongo_occ:10,present
IYS:GoA2019_Stn1,Calanus,urn:lsid:marinespecies.org:taxname:104152,3,"Leach, 1816",Genus,accepted,C2,NA,104079,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,IYS:GoA2019_Stn1:bongo_occ:11,present
IYS:GoA2019_Stn1,Calocalanus styliremis,urn:lsid:marinespecies.org:taxname:104673,1,"Giesbrecht, 1888",Species,accepted,C5,NA,104193,Animalia,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Calocalanus,IYS:GoA2019_Stn1:bongo_occ:12,present
IYS:GoA2019_Stn1,Candacia,urn:lsid:marinespecies.org:taxname:104157,1,"Dana, 1846",Genus,accepted,C1,NA,104080,Animalia,Arthropoda,Hexanauplia,Calanoida,Candaciidae,Candacia,IYS:GoA2019_Stn1:bongo_occ:13,present
IYS:GoA2019_Stn1,Chaetognatha,urn:lsid:marinespecies.org:taxname:2081,5,NA,Phylum,accepted,juvenile,NA,2,Animalia,Chaetognatha,NA,NA,NA,NA,IYS:GoA2019_Stn1:bongo_occ:14,present
IYS:GoA2019_Stn1,Clausocalanus parapergens,urn:lsid:marinespecies.org:taxname:104507,2,"Frost & Fleminger, 1968",Species,accepted,C6,F,104161,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,IYS:GoA2019_Stn1:bongo_occ:15,present
IYS:GoA2019_Stn1,Clausocalanus,urn:lsid:marinespecies.org:taxname:104161,12,"Giesbrecht, 1888",Genus,accepted,C5,NA,104082,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,IYS:GoA2019_Stn1:bongo_occ:16,present
IYS:GoA2019_Stn1,Clausocalanus,urn:lsid:marinespecies.org:taxname:104161,2,"Giesbrecht, 1888",Genus,accepted,C4,NA,104082,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,IYS:GoA2019_Stn1:bongo_occ:17,present
IYS:GoA2019_Stn1,Discoconchoecia elegans,urn:lsid:marinespecies.org:taxname:127782,2,"(Sars, 1866)",Species,accepted,NA,NA,127536,Animalia,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Discoconchoecia,IYS:GoA2019_Stn1:bongo_occ:18,present
IYS:GoA2019_Stn1,Eucalanus bungii,urn:lsid:marinespecies.org:taxname:196775,1,"Giesbrecht, 1893",Species,accepted,C4,NA,104171,Animalia,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,Eucalanus,IYS:GoA2019_Stn1:bongo_occ:19,present
IYS:GoA2019_Stn1,Euphausiidae,urn:lsid:marinespecies.org:taxname:110671,1,"Dana, 1852",Family,accepted,calyptopsis,NA,1128,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,NA,IYS:GoA2019_Stn1:bongo_occ:20,present
IYS:GoA2019_Stn1,Euphausiidae,urn:lsid:marinespecies.org:taxname:110671,7,"Dana, 1852",Family,accepted,egg,NA,1128,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,NA,IYS:GoA2019_Stn1:bongo_occ:21,present
IYS:GoA2019_Stn1,Halocyprididae,urn:lsid:marinespecies.org:taxname:127482,2,"Dana, 1853",Family,accepted,<0.5mm,NA,345822,Animalia,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,NA,IYS:GoA2019_Stn1:bongo_occ:22,present
IYS:GoA2019_Stn1,Heterostylites,urn:lsid:marinespecies.org:taxname:104179,1,"Sars G.O., 1920",Genus,accepted,C2,NA,104087,Animalia,Arthropoda,Hexanauplia,Calanoida,Heterorhabdidae,Heterostylites,IYS:GoA2019_Stn1:bongo_occ:23,present
IYS:GoA2019_Stn1,Limacina helicina,urn:lsid:marinespecies.org:taxname:140223,21,"(Phipps, 1774)",Species,accepted,NA,NA,138122,Animalia,Mollusca,Gastropoda,Pteropoda,Limacinidae,Limacina,IYS:GoA2019_Stn1:bongo_occ:24,present
IYS:GoA2019_Stn1,Metridia pacifica,urn:lsid:marinespecies.org:taxname:196784,9,"Brodsky, 1950",Species,accepted,C4,NA,104190,Animalia,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,IYS:GoA2019_Stn1:bongo_occ:25,present
IYS:GoA2019_Stn1,Metridia pacifica,urn:lsid:marinespecies.org:taxname:196784,3,"Brodsky, 1950",Species,accepted,C5,NA,104190,Animalia,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,IYS:GoA2019_Stn1:bongo_occ:26,present
IYS:GoA2019_Stn1,Metridia pacifica,urn:lsid:marinespecies.org:taxname:196784,1,"Brodsky, 1950",Species,accepted,C6,M,104190,Animalia,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,IYS:GoA2019_Stn1:bongo_occ:27,present
IYS:GoA2019_Stn1,Metridia,urn:lsid:marinespecies.org:taxname:104190,14,"Boeck, 1865",Genus,accepted,C2,NA,104092,Animalia,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,IYS:GoA2019_Stn1:bongo_occ:28,present
IYS:GoA2019_Stn1,Metridia,urn:lsid:marinespecies.org:taxname:104190,8,"Boeck, 1865",Genus,accepted,C3,NA,104092,Animalia,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,IYS:GoA2019_Stn1:bongo_occ:29,present
IYS:GoA2019_Stn1,Metridia,urn:lsid:marinespecies.org:taxname:104190,1,"Boeck, 1865",Genus,accepted,C1,NA,104092,Animalia,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,IYS:GoA2019_Stn1:bongo_occ:30,present
IYS:GoA2019_Stn1,Neocalanus,urn:lsid:marinespecies.org:taxname:104155,21,"Sars G.O., 1925",Genus,accepted,NA,NA,104079,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,IYS:GoA2019_Stn1:bongo_occ:31,present
IYS:GoA2019_Stn1,Neocalanus,urn:lsid:marinespecies.org:taxname:104155,6,"Sars G.O., 1925",Genus,accepted,NA,NA,104079,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,IYS:GoA2019_Stn1:bongo_occ:32,present
IYS:GoA2019_Stn1,Neocalanus,urn:lsid:marinespecies.org:taxname:104155,2,"Sars G.O., 1925",Genus,accepted,NA,NA,104079,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,IYS:GoA2019_Stn1:bongo_occ:33,present
IYS:GoA2019_Stn1,Oithona atlantica,urn:lsid:marinespecies.org:taxname:106642,21,"Farran, 1908",Species,accepted,C6,F,106485,Animalia,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,IYS:GoA2019_Stn1:bongo_occ:34,present
IYS:GoA2019_Stn1,Oithona similis,urn:lsid:marinespecies.org:taxname:106656,70,"Claus, 1866",Species,accepted,C6,F,106485,Animalia,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,IYS:GoA2019_Stn1:bongo_occ:35,present
IYS:GoA2019_Stn1,Oithona,urn:lsid:marinespecies.org:taxname:106485,70,"Baird, 1843",Genus,accepted,C5,NA,106422,Animalia,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,IYS:GoA2019_Stn1:bongo_occ:36,present
IYS:GoA2019_Stn1,Paracalanus indicus,urn:lsid:marinespecies.org:taxname:104683,4,"Wolfenden, 1905",Species,accepted,C6,F,104196,Animalia,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,IYS:GoA2019_Stn1:bongo_occ:37,present
IYS:GoA2019_Stn1,Paracalanus parvus,urn:lsid:marinespecies.org:taxname:104685,36,"(Claus, 1863)",Species,alternate representation,C6,F,104196,Animalia,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,IYS:GoA2019_Stn1:bongo_occ:38,present
IYS:GoA2019_Stn1,Paracalanus,urn:lsid:marinespecies.org:taxname:104196,26,"Boeck, 1865",Genus,accepted,C5,NA,104093,Animalia,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,IYS:GoA2019_Stn1:bongo_occ:39,present
IYS:GoA2019_Stn1,Paracalanus,urn:lsid:marinespecies.org:taxname:104196,4,"Boeck, 1865",Genus,accepted,C4,NA,104093,Animalia,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,IYS:GoA2019_Stn1:bongo_occ:40,present
IYS:GoA2019_Stn1,Paraeuchaeta,urn:lsid:marinespecies.org:taxname:196874,2,"Scott A., 1909",Genus,accepted,C1,NA,104086,Animalia,Arthropoda,Hexanauplia,Calanoida,Euchaetidae,Paraeuchaeta,IYS:GoA2019_Stn1:bongo_occ:41,present
IYS:GoA2019_Stn1,Pseudocalanus moultoni,urn:lsid:marinespecies.org:taxname:157678,3,"Frost, 1989",Species,accepted,C6,F,104165,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,IYS:GoA2019_Stn1:bongo_occ:42,present
IYS:GoA2019_Stn1,Pseudocalanus moultoni,urn:lsid:marinespecies.org:taxname:157678,1,"Frost, 1989",Species,accepted,C6,M,104165,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,IYS:GoA2019_Stn1:bongo_occ:43,present
IYS:GoA2019_Stn1,Pseudocalanus newmani,urn:lsid:marinespecies.org:taxname:157679,9,"Frost, 1989",Species,accepted,C6,F,104165,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,IYS:GoA2019_Stn1:bongo_occ:44,present
IYS:GoA2019_Stn1,Pseudocalanus newmani,urn:lsid:marinespecies.org:taxname:157679,3,"Frost, 1989",Species,accepted,C6,M,104165,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,IYS:GoA2019_Stn1:bongo_occ:45,present
IYS:GoA2019_Stn1,Pseudocalanus,urn:lsid:marinespecies.org:taxname:104165,7,"Boeck, 1872",Genus,accepted,C5,F,104082,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,IYS:GoA2019_Stn1:bongo_occ:46,present
IYS:GoA2019_Stn1,Pseudocalanus,urn:lsid:marinespecies.org:taxname:104165,13,"Boeck, 1872",Genus,accepted,C5,M,104082,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,IYS:GoA2019_Stn1:bongo_occ:47,present
