occurrenceID,measurementType,measurementValue,measurementID,measurementTypeID,measurementUnit,measurementUnitID,measurementValueID
IYS:GoA2019_Stn1:bongo_occ:5,abund_m3_flow_est,0.02358490566,IYS:GoA2019_Stn1:bongo_occ:5:abund_flow, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
IYS:GoA2019_Stn1:bongo_occ:5,abund_m3_depth_est,0.02037074761,IYS:GoA2019_Stn1:bongo_occ:5:abund_depth, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
IYS:GoA2019_Stn1:bongo_occ:6,stage,C5,IYS:GoA2019_Stn1:bongo_occ:6:stage, ,NA,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1112/
IYS:GoA2019_Stn1:bongo_occ:6,sex,NA,IYS:GoA2019_Stn1:bongo_occ:6:sex, ,NA,NA,NA
IYS:GoA2019_Stn1:bongo_occ:6,ind_counted,1,IYS:GoA2019_Stn1:bongo_occ:6:ind_counted, ,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2019_Stn1:bongo_occ:6,ind_total,1,IYS:GoA2019_Stn1:bongo_occ:6:ind_total, ,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2019_Stn1:bongo_occ:6,abund_m3_flow_est,0.02358490566,IYS:GoA2019_Stn1:bongo_occ:6:abund_flow, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
IYS:GoA2019_Stn1:bongo_occ:6,abund_m3_depth_est,0.02037074761,IYS:GoA2019_Stn1:bongo_occ:6:abund_depth, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
IYS:GoA2019_Stn1:bongo_occ:7,stage,NA,IYS:GoA2019_Stn1:bongo_occ:7:stage, ,NA,NA,NA
IYS:GoA2019_Stn1:bongo_occ:7,sex,NA,IYS:GoA2019_Stn1:bongo_occ:7:sex, ,NA,NA,NA
IYS:GoA2019_Stn1:bongo_occ:7,ind_counted,69,IYS:GoA2019_Stn1:bongo_occ:7:ind_counted, ,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2019_Stn1:bongo_occ:7,ind_total,69,IYS:GoA2019_Stn1:bongo_occ:7:ind_total, ,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2019_Stn1:bongo_occ:7,abund_m3_flow_est,1.627358491,IYS:GoA2019_Stn1:bongo_occ:7:abund_flow, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
IYS:GoA2019_Stn1:bongo_occ:7,abund_m3_depth_est,1.405581585,IYS:GoA2019_Stn1:bongo_occ:7:abund_depth, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
IYS:GoA2019_Stn1:bongo_occ:8,stage,C6,IYS:GoA2019_Stn1:bongo_occ:8:stage, ,NA,NA, 
IYS:GoA2019_Stn1:bongo_occ:8,sex,F,IYS:GoA2019_Stn1:bongo_occ:8:sex, ,NA,NA,http://vocab.nerc.ac.uk/collection/S10/current/S102/
IYS:GoA2019_Stn1:bongo_occ:8,ind_counted,4,IYS:GoA2019_Stn1:bongo_occ:8:ind_counted, ,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2019_Stn1:bongo_occ:8,ind_total,64,IYS:GoA2019_Stn1:bongo_occ:8:ind_total, ,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2019_Stn1:bongo_occ:8,abund_m3_flow_est,1.509433962,IYS:GoA2019_Stn1:bongo_occ:8:abund_flow, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
IYS:GoA2019_Stn1:bongo_occ:8,abund_m3_depth_est,1.303727847,IYS:GoA2019_Stn1:bongo_occ:8:abund_depth, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
IYS:GoA2019_Stn1:bongo_occ:9,stage,C6,IYS:GoA2019_Stn1:bongo_occ:9:stage, ,NA,NA, 
IYS:GoA2019_Stn1:bongo_occ:9,sex,M,IYS:GoA2019_Stn1:bongo_occ:9:sex, ,NA,NA,http://vocab.nerc.ac.uk/collection/S10/current/S103/
IYS:GoA2019_Stn1:bongo_occ:9,ind_counted,1,IYS:GoA2019_Stn1:bongo_occ:9:ind_counted, ,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2019_Stn1:bongo_occ:9,ind_total,16,IYS:GoA2019_Stn1:bongo_occ:9:ind_total, ,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2019_Stn1:bongo_occ:9,abund_m3_flow_est,0.3773584906,IYS:GoA2019_Stn1:bongo_occ:9:abund_flow, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
IYS:GoA2019_Stn1:bongo_occ:9,abund_m3_depth_est,0.3259319617,IYS:GoA2019_Stn1:bongo_occ:9:abund_depth, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
IYS:GoA2019_Stn1:bongo_occ:10,stage,C1,IYS:GoA2019_Stn1:bongo_occ:10:stage, ,NA,NA,http://vocab.nerc.ac.uk/collection/S11/current/S111/
IYS:GoA2019_Stn1:bongo_occ:10,sex,NA,IYS:GoA2019_Stn1:bongo_occ:10:sex, ,NA,NA,NA
IYS:GoA2019_Stn1:bongo_occ:10,ind_counted,1,IYS:GoA2019_Stn1:bongo_occ:10:ind_counted, ,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2019_Stn1:bongo_occ:10,ind_total,16,IYS:GoA2019_Stn1:bongo_occ:10:ind_total, ,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2019_Stn1:bongo_occ:10,abund_m3_flow_est,0.3773584906,IYS:GoA2019_Stn1:bongo_occ:10:abund_flow, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
IYS:GoA2019_Stn1:bongo_occ:10,abund_m3_depth_est,0.3259319617,IYS:GoA2019_Stn1:bongo_occ:10:abund_depth, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
IYS:GoA2019_Stn1:bongo_occ:11,stage,C2,IYS:GoA2019_Stn1:bongo_occ:11:stage, ,NA,NA,http://vocab.nerc.ac.uk/collection/S11/current/S117/
IYS:GoA2019_Stn1:bongo_occ:11,sex,NA,IYS:GoA2019_Stn1:bongo_occ:11:sex, ,NA,NA,NA
IYS:GoA2019_Stn1:bongo_occ:11,ind_counted,3,IYS:GoA2019_Stn1:bongo_occ:11:ind_counted, ,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2019_Stn1:bongo_occ:11,ind_total,48,IYS:GoA2019_Stn1:bongo_occ:11:ind_total, ,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2019_Stn1:bongo_occ:11,abund_m3_flow_est,1.132075472,IYS:GoA2019_Stn1:bongo_occ:11:abund_flow, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
IYS:GoA2019_Stn1:bongo_occ:11,abund_m3_depth_est,0.9777958851,IYS:GoA2019_Stn1:bongo_occ:11:abund_depth, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
IYS:GoA2019_Stn1:bongo_occ:12,stage,C5,IYS:GoA2019_Stn1:bongo_occ:12:stage, ,NA,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1112/
IYS:GoA2019_Stn1:bongo_occ:12,sex,NA,IYS:GoA2019_Stn1:bongo_occ:12:sex, ,NA,NA,NA
IYS:GoA2019_Stn1:bongo_occ:12,ind_counted,1,IYS:GoA2019_Stn1:bongo_occ:12:ind_counted, ,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2019_Stn1:bongo_occ:12,ind_total,16,IYS:GoA2019_Stn1:bongo_occ:12:ind_total, ,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2019_Stn1:bongo_occ:12,abund_m3_flow_est,0.3773584906,IYS:GoA2019_Stn1:bongo_occ:12:abund_flow, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
