eventID,occurrenceID,scientificName,scientificNameID,kingdom,phylum,class,order,family,genus,occurrenceStatus,Preparations,organismQuantity,organismQuantityType,stage,lifeStage,sex,reproductiveCondition,occurrenceRemarks
GoA2019_Stn44:bongo:Net2:SS125,IYS_GoA2019_zocc216,Radiolarians,urn:lsid:marinespecies.org:taxname:582421,Chromista,Radiozoa,NA,NA,NA,NA,present,size fractionated & frozen,2,individuals,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,NA,NA,NA
GoA2019_Stn44:bongo:Net2:SS126,IYS_GoA2019_zocc217,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,present,size fractionated & frozen,1,individuals,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,NA,NA,NA
GoA2019_Stn44:bongo:Net2:SS126,IYS_GoA2019_zocc218,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,present,size fractionated & frozen,1,individuals,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,NA,NA,NA
GoA2019_Stn44:bongo:Net2:SS127,IYS_GoA2019_zocc219,Neocalanus cristatus,urn:lsid:marinespecies.org:taxname:104470,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,present,size fractionated & frozen,3,individuals,CV,http://vocab.nerc.ac.uk/collection/S11/current/S1112/,NA,NA,NA
GoA2019_Stn44:bongo:Net2:SS128,IYS_GoA2019_zocc220,Neocalanus cristatus,urn:lsid:marinespecies.org:taxname:104470,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,present,size fractionated & frozen,3,individuals,CV,http://vocab.nerc.ac.uk/collection/S11/current/S1112/,NA,NA,NA
GoA2019_Stn44:bongo:Net2:SS129,IYS_GoA2019_zocc221,Neocalanus cristatus,urn:lsid:marinespecies.org:taxname:104470,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,present,size fractionated & frozen,3,individuals,CV,http://vocab.nerc.ac.uk/collection/S11/current/S1112/,NA,NA,NA
GoA2019_Stn44:bongo:Net2:Z678,IYS_GoA2019_zocc222,Aequorea sp.,urn:lsid:marinespecies.org:taxname:116998,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,present,size fractionated & frozen,1,individuals,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,NA,NA,NA
GoA2019_Stn45:bongo:Net1:SS130,IYS_GoA2019_zocc223,Neocalanus cristatus,urn:lsid:marinespecies.org:taxname:104470,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,present,formalin,3,individuals,CV,http://vocab.nerc.ac.uk/collection/S11/current/S1112/,NA,NA,NA
GoA2019_Stn45:bongo:Net1:SS131,IYS_GoA2019_zocc224,Neocalanus cristatus,urn:lsid:marinespecies.org:taxname:104470,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,present,formalin,3,individuals,CV,http://vocab.nerc.ac.uk/collection/S11/current/S1112/,NA,NA,NA
GoA2019_Stn45:bongo:Net1:SS132,IYS_GoA2019_zocc225,Neocalanus cristatus,urn:lsid:marinespecies.org:taxname:104470,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,present,formalin,3,individuals,CV,http://vocab.nerc.ac.uk/collection/S11/current/S1112/,NA,NA,NA
GoA2019_Stn45:bongo:Net2:SS133,IYS_GoA2019_zocc226,jellies,NA,NA,NA,NA,NA,NA,NA,present,size fractionated & frozen,2,individuals,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,NA,NA,NA
GoA2019_Stn45:bongo:Net2:SS133,IYS_GoA2019_zocc227,Sagitta,urn:lsid:marinespecies.org:taxname:105410,Animalia,Chaetognatha,Sagittoidea,Aphragmorphora,Sagittidae,Sagitta,present,size fractionated & frozen,1,individuals,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,NA,NA,NA
GoA2019_Stn45:bongo:Net2:SS133,IYS_GoA2019_zocc228,Sagitta,urn:lsid:marinespecies.org:taxname:105410,Animalia,Chaetognatha,Sagittoidea,Aphragmorphora,Sagittidae,Sagitta,present,size fractionated & frozen,1,individuals,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,NA,NA,NA
GoA2019_Stn45:bongo:Net2:SS133,IYS_GoA2019_zocc229,Sagitta,urn:lsid:marinespecies.org:taxname:105410,Animalia,Chaetognatha,Sagittoidea,Aphragmorphora,Sagittidae,Sagitta,present,size fractionated & frozen,1,individuals,NA,http://vocab.nerc.ac.uk/collection/S11/current/S1131/,NA,NA,NA
GoA2019_Stn46:bongo:Net1:SS142,IYS_GoA2019_zocc230,Neocalanus cristatus,urn:lsid:marinespecies.org:taxname:104470,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,present,formalin,3,individuals,CV,http://vocab.nerc.ac.uk/collection/S11/current/S1112/,NA,NA,NA
GoA2019_Stn46:bongo:Net1:SS143,IYS_GoA2019_zocc231,Neocalanus cristatus,urn:lsid:marinespecies.org:taxname:104470,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,present,formalin,3,individuals,CV,http://vocab.nerc.ac.uk/collection/S11/current/S1112/,NA,NA,NA
