eventID,scientificName,occurrenceID,occurrenceStatus,reproductiveCondition,scientificNameID,scientificAuthorityName,vernacularName,taxonRank,taxonomicStatus,sex,lifeStage,kingdom,phylum,class,order,family,genus,Preparations,occurrenceRemarks
IYS:GoA2019_Stn11:bongo:Net2:Z26,Animalia,IYS:GoA2019_Stn11:bongo:Net2:Z26:zoop_occ-98,present,NA,urn:lsid:marinespecies.org:taxname:2,NA,NA,Kingdom,accepted,NA,"NA",Animalia,NA,NA,NA,NA,NA,size fractionated & frozen,NA
IYS:GoA2019_Stn11:bongo:Net2:Z27,Animalia,IYS:GoA2019_Stn11:bongo:Net2:Z27:zoop_occ-99,present,NA,urn:lsid:marinespecies.org:taxname:2,NA,NA,Kingdom,accepted,NA,"NA",Animalia,NA,NA,NA,NA,NA,size fractionated & frozen,NA
IYS:GoA2019_Stn11:bongo:Net2:Z28,Animalia,IYS:GoA2019_Stn11:bongo:Net2:Z28:zoop_occ-100,present,NA,urn:lsid:marinespecies.org:taxname:2,NA,NA,Kingdom,accepted,NA,"NA",Animalia,NA,NA,NA,NA,NA,size fractionated & frozen,NA
IYS:GoA2019_Stn12:bongo:Net2:Z29,Animalia,IYS:GoA2019_Stn12:bongo:Net2:Z29:zoop_occ-101,present,NA,urn:lsid:marinespecies.org:taxname:2,NA,NA,Kingdom,accepted,NA,"NA",Animalia,NA,NA,NA,NA,NA,size fractionated & frozen,NA
IYS:GoA2019_Stn12:bongo:Net2:Z274,Animalia,IYS:GoA2019_Stn12:bongo:Net2:Z274:zoop_occ-102,present,NA,urn:lsid:marinespecies.org:taxname:2,NA,NA,Kingdom,accepted,NA,"NA",Animalia,NA,NA,NA,NA,NA,size fractionated & frozen,NA
IYS:GoA2019_Stn12:bongo:Net2:Z275,Animalia,IYS:GoA2019_Stn12:bongo:Net2:Z275:zoop_occ-103,present,NA,urn:lsid:marinespecies.org:taxname:2,NA,NA,Kingdom,accepted,NA,"NA",Animalia,NA,NA,NA,NA,NA,size fractionated & frozen,NA
IYS:GoA2019_Stn12:bongo:Net2:Z278,Animalia,IYS:GoA2019_Stn12:bongo:Net2:Z278:zoop_occ-104,present,NA,urn:lsid:marinespecies.org:taxname:2,NA,NA,Kingdom,accepted,NA,"NA",Animalia,NA,NA,NA,NA,NA,size fractionated & frozen,NA
IYS:GoA2019_Stn12:bongo:Net2:Z299,Animalia,IYS:GoA2019_Stn12:bongo:Net2:Z299:zoop_occ-105,present,NA,urn:lsid:marinespecies.org:taxname:2,NA,NA,Kingdom,accepted,NA,"NA",Animalia,NA,NA,NA,NA,NA,size fractionated & frozen,NA
IYS:GoA2019_Stn13:bongo:Net1:SS1,Neocalanus cristatus,IYS:GoA2019_Stn13:bongo:Net1:SS1:zoop_occ-106,present,NA,urn:lsid:marinespecies.org:taxname:104470,"(Krøyer, 1848)",NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,formalin,NA
IYS:GoA2019_Stn13:bongo:Net1:SS2,Neocalanus cristatus,IYS:GoA2019_Stn13:bongo:Net1:SS2:zoop_occ-107,present,NA,urn:lsid:marinespecies.org:taxname:104470,"(Krøyer, 1848)",NA,Species,accepted,NA,"NA",Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,formalin,NA
